
[00:00:00.000 --> 00:00:08.000]  這段經文是保羅教已不鎖人的功課
[00:00:08.000 --> 00:00:16.000]  「愛惜光陰」是今天和各位分享的主題
[00:00:16.000 --> 00:00:22.000]  因為人的歲月有限
[00:00:22.000 --> 00:00:26.000]  在生命的道路上
[00:00:27.000 --> 00:00:31.000]  要珍惜和善用時間
[00:00:31.000 --> 00:00:37.000]  做有意義的事情
[00:00:37.000 --> 00:00:42.000]  唐代的詩人寫這樣說
[00:00:42.000 --> 00:00:47.000]  一寸光陰一寸金
[00:00:47.000 --> 00:00:52.000]  後來明代的詩人加上一句
[00:00:54.000 --> 00:00:59.000]  寸金難買寸光陰
[00:00:59.000 --> 00:01:05.000]  小孩子都明白這兩句詩
[00:01:05.000 --> 00:01:13.000]  我的孫子在四歲的時候
[00:01:13.000 --> 00:01:18.000]  就已經開始珍惜時間
[00:01:19.000 --> 00:01:24.000]  他去廚房學焗西餅
[00:01:24.000 --> 00:01:33.000]  又抽出時間去學樂隊演奏
[00:01:33.000 --> 00:01:45.000]  我特別喜歡一個有創作力的一歲女嬰孩
[00:01:46.000 --> 00:01:52.000]  她知道要珍惜時間去吃奶的重要
[00:01:52.000 --> 00:02:03.000]  她等不及待自己發明了充饑的方法
[00:02:09.000 --> 00:02:16.000]  公元前第四世紀亞歷山大弟
[00:02:16.000 --> 00:02:22.000]  受希臘哲學家阿里士多德的教育
[00:02:22.000 --> 00:02:28.000]  二十歲就升為軍隊的總司令
[00:02:28.000 --> 00:02:35.000]  帶軍隊花了十年的時間
[00:02:39.000 --> 00:02:46.000]  征服了很多在非洲亞洲歐洲的國家
[00:02:46.000 --> 00:02:53.000]  她因為病只活了三十年
[00:02:53.000 --> 00:03:03.000]  她在短短的時間達到了她軍事的雄心
[00:03:05.000 --> 00:03:10.000]  我們可以看到她曉得怎樣愛惜光陰
[00:03:10.000 --> 00:03:18.000]  相傳在北洲的時候
[00:03:18.000 --> 00:03:24.000]  定州省有一個總管叫做竇毅
[00:03:24.000 --> 00:03:29.000]  他為他的女兒選擇夫婿
[00:03:29.000 --> 00:03:34.000]  在門上畫了兩隻孔雀
[00:03:35.000 --> 00:03:41.000]  求婚人要射中孔雀的眼睛
[00:03:41.000 --> 00:03:46.000]  當時很多人都射不中
[00:03:46.000 --> 00:03:50.000]  輪到唐高祖李淵的時候
