
[00:00:00.000 --> 00:00:03.920]  好,今日就想同大家分享一個題目
[00:00:03.920 --> 00:00:08.040]  就是《出於污泥而不染》
[00:00:08.040 --> 00:00:14.840]  你們有沒有人知道《出於污泥而不染》這篇文章是出自哪裏的?
[00:00:14.840 --> 00:00:17.640]  厲害,即是應該跟我差不多年紀了
[00:00:17.640 --> 00:00:22.160]  所以應該是年輕的
[00:00:22.160 --> 00:00:27.000]  愛蓮說在我那個年代中學是必讀的作品
[00:00:27.000 --> 00:00:33.640]  意思是雖然蓮花在充滿著泥辦的河塘裏生長
[00:00:33.640 --> 00:00:38.600]  但仍然可以保持那種純潔、高雅
[00:00:38.600 --> 00:00:48.520]  作者用花的品種去形容人在困難當中
[00:00:48.520 --> 00:00:53.920]  仍然像這種花一樣有高尚的品格
[00:00:56.120 --> 00:00:58.560]  很有趣的是有科學家曾經研究過
[00:00:58.560 --> 00:01:02.560]  為什麼蓮花可以在河塘裏仍然很乾淨
[00:01:02.560 --> 00:01:12.160]  因為原來荷花的植物組織可以防止污漬停留
[00:01:12.160 --> 00:01:14.480]  以致污水雖然會經過
[00:01:14.480 --> 00:01:17.160]  但也不會停留在那棵荷花裏
[00:01:17.160 --> 00:01:18.360]  這樣就很漂亮
[00:01:18.360 --> 00:01:20.960]  這個字節的功能有個名稱
[00:01:20.960 --> 00:01:24.160]  稱為蓮花效應
[00:01:24.160 --> 00:01:26.280]  如果我們的衣服有蓮花效應也不錯
[00:01:26.280 --> 00:01:28.240]  污漬就不會留在衣服上
[00:01:28.240 --> 00:01:31.560]  不過不知道該如何洗衣
[00:01:31.560 --> 00:01:34.480]  本週仍然有《羅馬書》第十二章
[00:01:34.480 --> 00:01:37.800]  第十七至二十一節最後五節的經文
[00:01:37.800 --> 00:01:41.760]  是關於愛仇敵的教導
[00:01:41.760 --> 00:01:43.320]  曾賢說得很好
[00:01:43.320 --> 00:01:47.640]  他說「恨能挑起爭端」
[00:01:47.640 --> 00:01:53.520]  有沒有聽過「先撩者賤,打死無怨」
[00:01:53.520 --> 00:01:57.200]  有沒有聽過「人不犯我,我不犯人
[00:01:57.200 --> 00:02:03.040]  人若犯我,斬草除根」
[00:02:03.040 --> 00:02:05.320]  有這樣的說話
[00:02:05.320 --> 00:02:07.360]  他的意思是
[00:02:07.360 --> 00:02:09.400]  我覺得不會主動去傷害別人
[00:02:09.400 --> 00:02:12.240]  不過如果我遇到一些人不小心傷害我
