
[00:00:00.000 --> 00:00:03.280]  頂姐妹 願你們平安
[00:00:03.280 --> 00:00:05.880]  讓我們先一起去禱告
[00:00:05.880 --> 00:00:09.080]  預備我們的心靈去聆聽上主的話
[00:00:09.080 --> 00:00:12.600]  我們同心低頭禱告
[00:00:12.600 --> 00:00:16.000]  親愛的主 我們再一次來到祢的根前
[00:00:16.000 --> 00:00:17.600]  我們要多謝祢
[00:00:17.600 --> 00:00:22.400]  多謝祢的臨在 多謝祢的同行
[00:00:22.400 --> 00:00:24.600]  在疫情生活的底下
[00:00:24.600 --> 00:00:26.800]  我們仍然要去感謝祢
[00:00:26.800 --> 00:00:29.200]  因為祢給我們有心靈氣息
[00:00:29.200 --> 00:00:32.200]  讓我們這個晚上可以藉著直播
[00:00:32.200 --> 00:00:35.600]  我們可以一起去敬拜 一起去唱詩
[00:00:35.600 --> 00:00:39.400]  現在又可以一起去聆聽主的教導
[00:00:39.400 --> 00:00:41.400]  求祢去預備我們的心
[00:00:41.400 --> 00:00:45.000]  讓我們聽的 講的都同得益處
[00:00:45.000 --> 00:00:46.800]  願祢這樣去帶領我們
[00:00:46.800 --> 00:00:48.800]  祝福我們接下來的時間
[00:00:48.800 --> 00:00:51.800]  奉主耶穌的聖名 阿門
[00:01:00.000 --> 00:01:03.200]  我不知道對於你們來說
[00:01:03.200 --> 00:01:06.200]  戴口罩有什麼感想
[00:01:06.200 --> 00:01:10.800]  我就漸漸習慣了戴口罩的日子
[00:01:10.800 --> 00:01:13.200]  這個已經成為我的日常
[00:01:13.200 --> 00:01:17.400]  不過老實說 我不是很喜歡戴口罩
[00:01:17.400 --> 00:01:21.800]  因為都很不舒服 都有點悶
[00:01:21.800 --> 00:01:25.200]  不過總算適應了下來
[00:01:25.200 --> 00:01:29.200]  話說回來 其實這一次我要戴口罩
[00:01:29.200 --> 00:01:32.200]  給我有些聯想
[00:01:32.200 --> 00:01:34.200]  就是其實當我戴口罩的時候
[00:01:34.200 --> 00:01:38.000]  我會想到 其實原來我很害怕
[00:01:38.000 --> 00:01:40.400]  我有那種軟弱
[00:01:40.400 --> 00:01:44.800]  就是怕什麼 怕被感染
[00:01:44.800 --> 00:01:48.600]  因為這樣的緣故 所以我就戴口罩
[00:01:48.600 --> 00:01:51.400]  這是一個保護自己的決定
[00:01:51.400 --> 00:01:56.000]  另外我會想到 除了我怕被傳染之外
[00:01:56.000 --> 00:01:59.600]  其實我都怕成為帶菌者
[00:01:59.600 --> 00:02:03.000]  將病毒傳給其他人
[00:02:03.000 --> 00:02:07.400]  所以為己為人 還是戴個口罩比較好
[00:02:07.400 --> 00:02:09.800]  我漸漸因為這個原因
[00:02:09.800 --> 00:02:13.400]  所以我開始沒那麼抗拒戴口罩
[00:02:13.400 --> 00:02:15.600]  甚至乎我現在接受了
[00:02:15.600 --> 00:02:19.600]  口罩成為我的必需品
[00:02:19.600 --> 00:02:23.200]  今天我們仍然要藉著網上的直播
[00:02:23.200 --> 00:02:25.200]  一同去敬拜主
[00:02:25.200 --> 00:02:29.400]  但其實我滿心期待 滿心的盼望
[00:02:29.400 --> 00:02:31.400]  能夠等到那一天
[00:02:31.400 --> 00:02:33.400]  那一天 即是哪一天
[00:02:33.400 --> 00:02:35.800]  就是可以脫下口罩
[00:02:35.800 --> 00:02:38.800]  可以回到實體的敬拜
[00:02:38.800 --> 00:02:42.400]  和弟兄姊妹們一起去讚美主
[00:02:42.400 --> 00:02:44.400]  去敬拜主
[00:02:44.400 --> 00:02:46.600]  這個是好得無比
[00:02:46.600 --> 00:02:52.600]  在疫情裡 其實我們遇到很多不明朗的時間
[00:02:52.600 --> 00:02:54.600]  艱難的日子
