
[00:00:00.000 --> 00:00:01.540]  開始指示我們一起祈禱
[00:00:01.540 --> 00:00:06.940]  天父上帝,我多謝祢,多謝祢,祢讓我們一起可以回到祢
[00:00:06.940 --> 00:00:09.940]  正如剛才所說,其實每個人來自
[00:00:09.940 --> 00:00:12.580]  今次是第幾次回教會,我們都不知道
[00:00:12.580 --> 00:00:16.280]  但我們可能在不同的時候,我們卻踏入教會
[00:00:16.280 --> 00:00:18.700]  以致我們今天能夠可以一起
[00:00:18.700 --> 00:00:22.860]  在這裏,去一起學習,一起去聽祢的說話
[00:00:22.860 --> 00:00:26.820]  所以神我求祢,願祢自己親自對我們每一個大興朝圓說話
[00:00:26.820 --> 00:00:30.740]  以致我們明白祢更多,以致我們貼近祢心意更多
[00:00:30.740 --> 00:00:32.460]  所以我們感謝祢,聽我們祈禱的吐口
[00:00:32.460 --> 00:00:34.960]  奉耶穌基督不成名字祈求
[00:00:34.960 --> 00:00:38.340]  好,我們先看今天的經文
[00:00:38.340 --> 00:00:42.100]  今天的經文是馬赫夫音的二章
[00:00:42.100 --> 00:00:45.100]  一至十二節,我們一二三一起讀,好嗎?
[00:00:45.100 --> 00:00:46.440]  一二三
[00:00:46.440 --> 00:00:50.700]  過了些日子,耶穌又進了加伯隆
[00:00:50.700 --> 00:00:55.660]  人聽見祂在房子裏,就有許多人聚集
[00:00:55.660 --> 00:00:59.000]  甚至連門前都沒有空地
[00:00:59.000 --> 00:01:01.540]  耶穌就對他們說道
[00:01:01.540 --> 00:01:05.220]  有人帶著一個毯子來見耶穌
[00:01:05.220 --> 00:01:07.820]  是用四個人抬來的
[00:01:07.820 --> 00:01:10.620]  因為人多,不得近前
[00:01:10.620 --> 00:01:15.140]  就把耶穌所在的房子拆了房頂
[00:01:15.140 --> 00:01:22.220]  既拆通了,就把毯子連所躺臥的玉子都除下來
[00:01:22.220 --> 00:01:26.460]  耶穌見他們的信心,就對毯子說
[00:01:26.460 --> 00:01:30.540]  「小子,你罪謝了」
[00:01:30.540 --> 00:01:32.620]  有幾個民事在在那裏
[00:01:32.620 --> 00:01:34.740]  心裏議論說
[00:01:34.740 --> 00:01:37.220]  這個人為什麽這樣說呢?
[00:01:37.220 --> 00:01:40.020]  他説了前往的華僚
[00:01:40.020 --> 00:01:43.460]  除了上帝以外,誰能赦罪呢?
[00:01:43.460 --> 00:01:48.460]  耶穌心中知道他們心裏這樣議論,就說
[00:01:48.460 --> 00:01:51.540]  你們心裏為什麽這樣議論呢?
[00:01:51.540 --> 00:01:53.340]  或對毯子說
[00:01:53.340 --> 00:01:54.660]  「你的罪謝了」
[00:01:54.660 --> 00:01:58.100]  或說「起來,拿你的玉子行走」
[00:01:58.100 --> 00:01:59.780]  哪一樣容易呢?
[00:01:59.780 --> 00:02:01.460]  但要叫你們知道
[00:02:01.460 --> 00:02:04.300]  人只在地上有謝罪的權柄
[00:02:04.300 --> 00:02:05.780]  就對毯子說
[00:02:05.780 --> 00:02:10.220]  「我吩咐你,起來,拿你的玉子回家去吧」
[00:02:10.220 --> 00:02:14.380]  那人就起來立刻拿著玉子
[00:02:14.380 --> 00:02:16.980]  當眾人面前出去了
[00:02:16.980 --> 00:02:22.060]  以致眾人都驚奇,歸榮耀與上帝說
[00:02:22.060 --> 00:02:27.140]  「我們從來沒有見過這樣的事」
[00:02:27.140 --> 00:02:28.540]  經文讀完了
[00:02:28.540 --> 00:02:32.340]  我想其實大多數對於我們這裏多數的人
[00:02:32.340 --> 00:02:33.940]  這個故事一點都不陌生
[00:02:33.940 --> 00:02:38.580]  所以就很快地嘗試和大家高呼整個故事的大綱
[00:02:38.580 --> 00:02:39.860]  這件事發生在哪裏呢?
[00:02:39.860 --> 00:02:42.460]  就是加伯隆的一個屋裏面
[00:02:42.460 --> 00:02:45.220]  出現的人物有耶穌
[00:02:45.220 --> 00:02:47.140]  有很多的人
[00:02:47.140 --> 00:02:49.860]  有毯子和抬他來的那四個人
[00:02:49.860 --> 00:02:51.780]  還有民事
[00:02:51.780 --> 00:02:53.820]  這件事發生在哪裏呢?
[00:02:53.820 --> 00:02:56.420]  就是耶穌醫了毯子
[00:02:56.420 --> 00:03:00.540]  也在之前說了赦免毯子的罪
[00:03:00.540 --> 00:03:04.980]  但是因為這樣就引起了民事對他的一些質疑
[00:03:04.980 --> 00:03:08.220]  質疑耶穌為何會有這個權柄
[00:03:08.220 --> 00:03:09.740]  去質問耶穌
[00:03:09.740 --> 00:03:11.940]  引起了一點點衝突
[00:03:11.940 --> 00:03:14.860]  耶穌面對這些質問之後
[00:03:14.860 --> 00:03:18.340]  他也宣告了他有射罪權柄等等
[00:03:18.340 --> 00:03:19.500]  結果是怎樣呢?
[00:03:19.500 --> 00:03:22.260]  就是毯子被醫治了
[00:03:22.260 --> 00:03:26.940]  而旁邊圍觀的那群群眾就稱眾為神
[00:03:26.940 --> 00:03:29.140]  歸榮耀比神
[00:03:29.140 --> 00:03:30.620]  故事很簡單
[00:03:30.620 --> 00:03:36.460]  也是我們很熟悉耶穌在地上行的眾神職裏面的其中一個
[00:03:36.460 --> 00:03:41.460]  基本上是一個很經典的耶穌醫治病人的故事
[00:03:41.460 --> 00:03:44.420]  整個故事的進路很簡單
[00:03:44.420 --> 00:03:48.620]  不過我想嘗試按照這個故事裏面的一些不同的細節
[00:03:48.620 --> 00:03:50.620]  去嘗試問幾個問題
[00:03:50.620 --> 00:03:54.340]  希望我們對這個故事有更多的認識
[00:03:54.340 --> 00:03:56.300]  有更好的理解
[00:03:56.300 --> 00:03:57.940]  第一個問題很簡單
[00:03:57.940 --> 00:04:02.820]  就是問為何加伯隆的人一聽見耶穌
[00:04:02.820 --> 00:04:06.180]  就會聚散出來呢?
[00:04:06.180 --> 00:04:08.660]  如果我們看回聖經的話
[00:04:08.660 --> 00:04:13.980]  其實原來這次不是耶穌第一次去加伯隆這個地方
[00:04:13.980 --> 00:04:15.980]  在馬可福音裏面見到
[00:04:15.980 --> 00:04:18.500]  其實原來耶穌之前已經來過加伯隆
[00:04:18.500 --> 00:04:23.460]  他還做過很多醫治、講鬼等工作
[00:04:23.460 --> 00:04:25.780]  以致出了名
[00:04:25.780 --> 00:04:28.700]  所以當他今天再來到這個地方的時候
[00:04:28.700 --> 00:04:30.900]  大家聽到耶穌又來了
[00:04:30.900 --> 00:04:33.100]  我們就一群人衝出來
[00:04:33.100 --> 00:04:36.660]  有些人可能為了要看看耶穌會說些什麼
[00:04:36.660 --> 00:04:39.140]  或者可能又想看看有些什麼神蹟
[00:04:39.140 --> 00:04:41.140]  但是無論怎樣都好
[00:04:41.140 --> 00:04:44.220]  他們可能為了要看看耶穌有多厲害
[00:04:44.220 --> 00:04:45.100]  其實是不難理解的
[00:04:45.100 --> 00:04:46.820]  就好像姜濤在維園打球
[00:04:46.820 --> 00:04:49.460]  那天晚上會特別多人
[00:04:49.460 --> 00:04:52.620]  不過就是因為這樣
[00:04:52.620 --> 00:04:56.820]  令到那四個人當他們抬了一個毯子來的時候
[00:04:56.820 --> 00:04:58.220]  就進不了屋了
[00:04:58.220 --> 00:05:01.060]  然後就要上那間屋的屋頂
[00:05:01.060 --> 00:05:04.140]  拆了部分的屋頂
[00:05:04.140 --> 00:05:06.660]  然後就將那個毯子吊進屋裡
[00:05:06.660 --> 00:05:12.660]  可能你看到這裡,其實你好像去想,這件事都挺誇張的
[00:05:12.660 --> 00:05:17.660]  是不是要花很多的功夫將一個人吊進屋裡
[00:05:17.660 --> 00:05:21.660]  他們又要爬上屋頂,又要拆屋頂
[00:05:21.660 --> 00:05:24.020]  還要想,他們拆屋頂的時候
