
[00:00:00.000 --> 00:00:03.820]  在人際關係的衝突的復活
[00:00:03.820 --> 00:00:04.560]  我再一次說
[00:00:04.560 --> 00:00:06.520]  人際關係是特別說
[00:00:06.520 --> 00:00:11.300]  我們彼此弟兄姊妹之間的關係
[00:00:11.300 --> 00:00:14.060]  根據University of Minnesota
[00:00:14.060 --> 00:00:15.780]  最近有一個關於
[00:00:15.780 --> 00:00:17.160]  有一個Article叫做
[00:00:17.160 --> 00:00:22.200]  "Taking charge of your well-being"
[00:00:22.200 --> 00:00:24.300]  或者叫做譯出來
[00:00:24.300 --> 00:00:25.300]  我有限的翻譯
[00:00:25.300 --> 00:00:29.640]  叫做"掌控你的幸福"的研究裏面
[00:00:29.640 --> 00:00:32.600]  他說健康的人際關係
[00:00:32.600 --> 00:00:37.400]  是帶給你健康和帶給你幸福的
[00:00:37.400 --> 00:00:39.280]  大家同不同意呢?
[00:00:39.280 --> 00:00:42.080]  而根據他的調查
[00:00:42.080 --> 00:00:44.480]  他說有很多證據證明
[00:00:44.480 --> 00:00:47.960]  如果一個人有健康的人際關係
[00:00:47.960 --> 00:00:50.160]  是會令到你長壽
[00:00:50.160 --> 00:00:53.080]  是會令到你身心健康
[00:00:53.080 --> 00:00:57.040]  亦都令到你有幸福的感覺
[00:00:57.040 --> 00:01:00.040]  而研究亦都最主要表明
[00:01:00.040 --> 00:01:02.760]  有健康的人際關係
[00:01:02.760 --> 00:01:08.480]  是會令到你比起一些沒有健康的人際關係
[00:01:08.480 --> 00:01:09.600]  比較沒那麼健康
[00:01:09.600 --> 00:01:10.600]  比較沒那麼好
[00:01:10.600 --> 00:01:13.000]  是長命多一點的
[00:01:13.000 --> 00:01:13.880]  而第二個
[00:01:13.880 --> 00:01:16.080]  他會令到你感覺富有
[00:01:16.080 --> 00:01:17.040]  好像小鳳姐說的
[00:01:17.040 --> 00:01:18.840]  在心中富有
[00:01:18.840 --> 00:01:21.040]  他就說如果
[00:01:21.040 --> 00:01:22.640]  根據他的調查
[00:01:22.640 --> 00:01:26.560]  一個叫做National Bureau of Economic Research
[00:01:26.560 --> 00:01:29.880]  一個叫做美國國家經濟研究局
[00:01:29.880 --> 00:01:33.960]  他對五千人進行了一個調查
[00:01:33.960 --> 00:01:36.440]  他發覺如果將你的朋友
[00:01:36.440 --> 00:01:37.160]  Double
[00:01:37.160 --> 00:01:39.720]  即是你的Number of Friends
[00:01:39.720 --> 00:01:41.320]  Double你的Size
[00:01:41.320 --> 00:01:44.160]  他說就會對你感覺良好
[00:01:44.160 --> 00:01:49.280]  那種良好等同你加了人工一半
[00:01:49.280 --> 00:01:52.880]  即是你今天譬如你賺十萬的
[00:01:52.880 --> 00:01:54.240]  加多你一半
[00:01:54.240 --> 00:01:57.720]  就等同你開心的程度
[00:01:57.720 --> 00:02:00.960]  就等同你Double了你的Friends
[00:02:00.960 --> 00:02:02.320]  我不知道是不是這個意思
[00:02:02.320 --> 00:02:03.320]  我不知道你們會不會
[00:02:03.320 --> 00:02:06.120]  或者你們說不如我加人工比較好
[00:02:06.120 --> 00:02:08.040]  Timothy Wilson
[00:02:08.040 --> 00:02:10.800]  這個Social Psychiatrist
[00:02:10.800 --> 00:02:12.000]  還是Psychologist
[00:02:12.000 --> 00:02:14.560]  我想要先回去查一查
[00:02:14.560 --> 00:02:18.000]  總之這個心理學家頗有名的
[00:02:18.000 --> 00:02:19.400]  他說了一句話
