
[00:00:00.000 --> 00:00:05.000]  今天開始我們會講這個耶穌的神蹟
[00:00:05.000 --> 00:00:11.000]  今天我的第一個神蹟就是聖經也記載的
[00:00:11.000 --> 00:00:17.000]  就是耶穌將水變酒的神蹟
[00:00:17.000 --> 00:00:26.000]  在之前我有一次機會在網上看到一則很有趣的新聞
[00:00:26.000 --> 00:00:28.000]  題目就是這樣的
[00:00:28.000 --> 00:00:31.000]  看看大家你看到時候有什麼感覺
[00:00:31.000 --> 00:00:32.000]  就是這樣
[00:00:32.000 --> 00:00:38.000]  新娘顯氣勢 緊掛約九十隻金鱷震驚網友
[00:00:38.000 --> 00:00:40.000]  哇 你如果去參加一個婚禮
[00:00:40.000 --> 00:00:42.000]  你看到那個新娘子是這樣子的
[00:00:42.000 --> 00:00:45.000]  你當時會有什麼感覺
[00:00:45.000 --> 00:00:49.000]  可能你就會 哇 一大聲
[00:00:49.000 --> 00:00:55.000]  可能你也會想 她到底那個腰怎麼能直起來的
[00:00:55.000 --> 00:00:59.000]  或者是她那個頭還能抬起來嗎
[00:00:59.000 --> 00:01:01.000]  我不知道如果掛在你身上的時候
[00:01:01.000 --> 00:01:04.000]  你會是怎麼樣
[00:01:04.000 --> 00:01:06.000]  那在華人社會呢
[00:01:06.000 --> 00:01:09.000]  好多人結婚很重視那個牌場
[00:01:09.000 --> 00:01:11.000]  新人結婚的時候
[00:01:11.000 --> 00:01:14.000]  他們身上佩戴的那些金銀珠寶
[00:01:14.000 --> 00:01:16.000]  珠寶首飾
[00:01:16.000 --> 00:01:20.000]  往往就是成為很多人關注的焦點
[00:01:20.000 --> 00:01:24.000]  如果你不戴上一點的金飾的話
[00:01:24.000 --> 00:01:27.000]  總會招來人異樣的眼光
[00:01:27.000 --> 00:01:30.000]  就會想這個人可能他嫁得不好
[00:01:30.000 --> 00:01:33.000]  他的夫家不知道怎麼樣等等
[00:01:33.000 --> 00:01:36.000]  可能有很多的幻想
[00:01:36.000 --> 00:01:38.000]  但是在猶太人的社會呢
[00:01:38.000 --> 00:01:41.000]  他們可能就沒有這種壓力了
[00:01:41.000 --> 00:01:44.000]  不過呢他們卻有另外一種的壓力
[00:01:44.000 --> 00:01:46.000]  就是怕那個婚宴上
[00:01:46.000 --> 00:01:51.000]  在那個婚宴的期間發生酒不夠用的情況
[00:01:51.000 --> 00:01:56.000]  因為這個會為主人帶來很羞恥的一個局面
[00:01:56.000 --> 00:01:57.000]  今天的經文呢
[00:01:57.000 --> 00:02:01.000]  就幾乎出現這樣的一種尷尬的局面
[00:02:01.000 --> 00:02:05.000]  讓我們一起去看看到底是怎麼回事
[00:02:05.000 --> 00:02:09.000]  那按照猶太人的傳統呢
[00:02:09.000 --> 00:02:12.000]  如果他們舉行一個婚宴
[00:02:12.000 --> 00:02:16.000]  這是一個他們非常重要的一個慶典
[00:02:16.000 --> 00:02:21.000]  他們對這個婚宴往往都準備的相當周詳的
[00:02:21.000 --> 00:02:25.000]  而且他們是預早來邀請來賓
[00:02:25.000 --> 00:02:28.000]  如果他邀請了你
[00:02:28.000 --> 00:02:30.000]  你本來說好我去
[00:02:30.000 --> 00:02:32.000]  然後過一段子一陣子
[00:02:32.000 --> 00:02:35.000]  你又說對不起我不能去了
[00:02:35.000 --> 00:02:36.000]  那你這樣子呢
[00:02:36.000 --> 00:02:40.000]  會對那個主人帶來極大的恥辱
[00:02:40.000 --> 00:02:42.000]  所以在猶太人的社會上
[00:02:42.000 --> 00:02:45.000]  你如果硬要去了你必須去
[00:02:45.000 --> 00:02:48.000]  不然的話你就很不給那個主人面子
[00:02:48.000 --> 00:02:52.000]  而且他們的婚宴一般是長達七天
[00:02:52.000 --> 00:02:54.000]  如果放在香港就糟糕了
[00:02:54.000 --> 00:02:55.000]  不知道怎麼辦
[00:02:55.000 --> 00:02:57.000]  七天這麼長
[00:02:57.000 --> 00:03:02.000]  七天裡面他們要給前來祝賀的親友提供流水席
[00:03:02.000 --> 00:03:08.000]  然後他們可以很歡樂的來暢飲喜酒
[00:03:08.000 --> 00:03:12.000]  而且他們慣例上都是先擺上這個好酒
[00:03:12.000 --> 00:03:14.000]  好的酒放在前頭
[00:03:14.000 --> 00:03:16.000]  所以那些人還沒有喝醉
[00:03:16.000 --> 00:03:19.000]  他能夠嘗到你的酒好還是不好
[00:03:19.000 --> 00:03:24.000]  他們可以享受那個美酒
[00:03:24.000 --> 00:03:28.000]  等到他們吃飽了喝醉的時候
[00:03:28.000 --> 00:03:31.000]  他們那時候就沒有那麼清醒了
[00:03:31.000 --> 00:03:34.000]  他們就會疏忽酒的品質
[00:03:34.000 --> 00:03:37.000]  然後你就擺上一些次一等的
[00:03:37.000 --> 00:03:42.000]  所以你可以見到那個酒是婚宴裡面必備的飲料
[00:03:42.000 --> 00:03:44.000]  非常的重要
[00:03:44.000 --> 00:03:48.000]  而且還有一點就是在耶穌時代的文化裡面
[00:03:48.000 --> 00:03:52.000]  如果一對新人你在研習中提供的一切
[00:03:52.000 --> 00:03:56.000]  沒有滿足客人的話
[00:03:56.000 --> 00:04:01.000]  那些的客人特別是新娘子那邊的那些的親戚
