
[00:00:00.000 --> 00:00:03.000]  好,各位電影姊妹,主內平安!
[00:00:03.000 --> 00:00:08.000]  今日講到的經文是兩個故事
[00:00:08.000 --> 00:00:12.000]  我想這兩個故事,大家回到教會內應該都不陌生
[00:00:12.000 --> 00:00:15.000]  甚至你反過來都會背
[00:00:15.000 --> 00:00:18.000]  今日會講的兩個故事就是
[00:00:18.000 --> 00:00:21.000]  耶穌平靜風浪,大家都很熟悉吧?
[00:00:21.000 --> 00:00:25.000]  第二個就是在格拉森趕鬼入豬群
[00:00:25.000 --> 00:00:29.000]  先問問大家,記得趕鬼入豬群最後有多少隻豬衝落山嗎?
[00:00:29.000 --> 00:00:32.000]  2000隻豬衝落海
[00:00:32.000 --> 00:00:35.000]  所以大家對這兩個故事是很熟悉的
[00:00:35.000 --> 00:00:38.000]  但當我們平時去看這兩個故事的時候
[00:00:38.000 --> 00:00:40.000]  我不知道大家有沒有一個習慣
[00:00:40.000 --> 00:00:42.000]  就是看完一個之後
[00:00:42.000 --> 00:00:46.000]  想一想平靜風浪對我有什麼意思、啟發
[00:00:46.000 --> 00:00:49.000]  然後再看,趕鬼入豬群
[00:00:49.000 --> 00:00:54.000]  再去想一想,這個故事上帝想和我說什麼話呢?
[00:00:54.000 --> 00:01:01.000]  今天特別在於我被分派了一個任務,就是要將這兩個故事一起去講
[00:01:01.000 --> 00:01:04.000]  所以今天我們會試一下
[00:01:04.000 --> 00:01:08.000]  如果我們將這兩個故事一起去讀
[00:01:08.000 --> 00:01:13.000]  去找一下、去留意一下這兩個故事當馬可寫的時候
[00:01:13.000 --> 00:01:17.000]  放了什麼共通點在裡面
[00:01:17.000 --> 00:01:20.000]  我們這樣一起去看,會有什麼不同?
[00:01:20.000 --> 00:01:25.000]  或者一些更加深入要去思考的問題
[00:01:25.000 --> 00:01:28.000]  其實當我稍後再講的時候
[00:01:28.000 --> 00:01:30.000]  你會發現這兩個故事還沒完的
[00:01:30.000 --> 00:01:34.000]  馬可其實是想我們將之後那個業佬
[00:01:34.000 --> 00:01:36.000]  或者我們艾佬的女兒
[00:01:36.000 --> 00:01:38.000]  還有那個還血佬,記得多少年嗎?
[00:01:38.000 --> 00:01:41.000]  是的,十二年那個女人的故事要一起看的
[00:01:41.000 --> 00:01:43.000]  但是今天我只會講頭兩個故事
[00:01:43.000 --> 00:01:45.000]  但是無論如何
[00:01:45.000 --> 00:01:52.000]  我們先很快地跟大家講平靜風浪和趕鬼入豬群這兩個故事
[00:01:52.000 --> 00:01:54.000]  究竟是講什麼的?
[00:01:54.000 --> 00:02:01.000]  耶穌大概就是在加里利湖,講了很多比喻
[00:02:01.000 --> 00:02:05.000]  然後到了晚上,跟門徒說不如我們去對面岸
[00:02:05.000 --> 00:02:08.000]  可能講了一晚,講了一整天就累了
[00:02:08.000 --> 00:02:15.000]  於是門徒和耶穌就一起開船去對面岸
[00:02:15.000 --> 00:02:21.000]  誰知道到了中間,不知道是否耶穌講得太累了
[00:02:21.000 --> 00:02:24.000]  耶穌就在船尾睡著了
[00:02:24.000 --> 00:02:28.000]  在耶穌睡著的時候,忽然之間
[00:02:28.000 --> 00:02:35.000]  狂風大作,波浪打入船,以致船滿了水
[00:02:35.000 --> 00:02:40.000]  就算當時耶穌有十二個門徒
[00:02:40.000 --> 00:02:42.000]  起碼有四個,都是專業的漁夫
[00:02:42.000 --> 00:02:44.000]  他們看到那麼大浪都害怕
[00:02:44.000 --> 00:02:48.000]  於是就很害怕,然後就叫醒耶穌
[00:02:48.000 --> 00:02:52.000]  就說,耶穌,老師,我們快點沒命了
[00:02:52.000 --> 00:02:54.000]  你不理我們嗎?
[00:02:54.000 --> 00:02:57.000]  於是我想,如果我睡覺的時候,兒子叫醒我
[00:02:57.000 --> 00:03:00.000]  那我應該起床罵,應該是罵兒子
[00:03:00.000 --> 00:03:03.000]  但是耶穌多好,起床不是罵門徒
[00:03:03.000 --> 00:03:08.000]  是斥責風和向海就說,住了罷,靜了罷
[00:03:08.000 --> 00:03:11.000]  接著很聽話,風就停了,海就停了
[00:03:11.000 --> 00:03:13.000]  於是大大的平靜
[00:03:13.000 --> 00:03:17.000]  然後耶穌,搞定風和海之後
[00:03:17.000 --> 00:03:21.000]  就先去跟門徒說,為什麼要膽怯呢?
[00:03:21.000 --> 00:03:24.000]  你們還沒有信心嗎?
[00:03:24.000 --> 00:03:26.000]  於是門徒就很害怕
[00:03:26.000 --> 00:03:28.000]  然後彼此就說,這個到底是誰?
[00:03:28.000 --> 00:03:30.000]  連風和海都要聽他說的
[00:03:30.000 --> 00:03:33.000]  這個是平靜風浪
[00:03:33.000 --> 00:03:36.000]  上了岸就到第二個故事
[00:03:36.000 --> 00:03:38.000]  原來他們去了一個叫做加拉森的地方
[00:03:38.000 --> 00:03:41.000]  一去到的時候,就馬上有人去迎接耶穌
[00:03:41.000 --> 00:03:43.000]  那個是誰呢?
[00:03:43.000 --> 00:03:47.000]  原來那個是一個被污靈或邪靈
[00:03:47.000 --> 00:03:51.000]  上了身的人,在墳墓裡面去找他
[00:03:51.000 --> 00:03:54.000]  那鬼去找耶穌做什麼呢?
[00:03:54.000 --> 00:03:58.000]  原來這隻鬼就求耶穌,你不要趕走我
[00:03:58.000 --> 00:04:01.000]  經文再說,這個人很厲害
[00:04:01.000 --> 00:04:03.000]  被鬼附身之後
[00:04:03.000 --> 00:04:05.000]  原來他有時會大叫,又會打自己
[00:04:05.000 --> 00:04:07.000]  但是他沒事
[00:04:07.000 --> 00:04:09.000]  於是村民很害怕他
[00:04:09.000 --> 00:04:11.000]  就用了很多鐵鏈、腳鐐綁著他
[00:04:11.000 --> 00:04:13.000]  又困著他不住
[00:04:13.000 --> 00:04:15.000]  於是這個人就
[00:04:15.000 --> 00:04:17.000]  不知道他是自願還是被迫
[00:04:17.000 --> 00:04:19.000]  就去了墳墓那裡住
[00:04:19.000 --> 00:04:21.000]  就遠離人煙
[00:04:21.000 --> 00:04:23.000]  耶穌上岸之後
[00:04:23.000 --> 00:04:25.000]  這個被鬼附身的人
