
[00:00:00.000 --> 00:00:03.080]  今天我們講的題目叫「嚴和光」
[00:00:03.080 --> 00:00:05.560]  我們完八幅之後
[00:00:05.560 --> 00:00:09.800]  我們就看耶穌繼續講登山補訓的信息
[00:00:09.800 --> 00:00:10.960]  一個很簡單
[00:00:10.960 --> 00:00:13.640]  但是它很重要的一段經文
[00:00:13.640 --> 00:00:16.120]  在馬太封五章十三至十六節
[00:00:16.120 --> 00:00:18.360]  也是和修本的經文
[00:00:18.360 --> 00:00:19.760]  請聽我讀出
[00:00:19.760 --> 00:00:21.840]  聖經說:「你們是地上的鹽,
[00:00:21.840 --> 00:00:25.440]  鹽若失了味,怎能叫它再鹹呢?
[00:00:25.440 --> 00:00:29.960]  它不再有用,只好被雕在外面,任人踐踏;
[00:00:29.960 --> 00:00:31.760]  你們是世上的光,
[00:00:31.760 --> 00:00:35.080]  成造在山上,是不能隱藏的。
[00:00:35.080 --> 00:00:37.560]  人點燈,不放在斗底下,
[00:00:37.560 --> 00:00:41.160]  而是放在燈台上,就照亮一家的人。
[00:00:41.160 --> 00:00:43.720]  你們的光,也要這樣照在人前,
[00:00:43.720 --> 00:00:46.120]  叫他們看見你們的好行為,
[00:00:46.120 --> 00:00:51.480]  把榮耀歸給你們在天上的父。」
[00:00:51.480 --> 00:00:53.080]  我們也講過
[00:00:53.080 --> 00:00:54.960]  當耶穌登山補訓的時候
[00:00:54.960 --> 00:00:57.480]  要告訴一群跟從的人
[00:00:57.480 --> 00:01:02.200]  什麼叫「信耶穌」,或者「基督徒」
[00:01:02.200 --> 00:01:04.560]  我們期望一講到
[00:01:04.560 --> 00:01:06.880]  為什麼要有基督徒
[00:01:06.880 --> 00:01:10.640]  或者基督徒的一個訓誨的時候
[00:01:10.640 --> 00:01:11.720]  一開始的時候
[00:01:11.720 --> 00:01:14.680]  我們在想通常教會教導的
[00:01:14.680 --> 00:01:16.920]  你們的信仰基礎班
[00:01:16.920 --> 00:01:19.280]  或者初信成長班
[00:01:19.280 --> 00:01:22.040]  一開始的時候當然是講「救恩」
[00:01:22.040 --> 00:01:24.880]  接著就講基督徒要做些什麼
[00:01:24.880 --> 00:01:31.880]  就是祈禱、讀經、奉獻、崇拜、見證、生命的改變
[00:01:31.880 --> 00:01:34.600]  這些都是基督徒要做的行為
[00:01:34.600 --> 00:01:38.840]  我們自小教會裏面的教導都是這樣的
[00:01:38.840 --> 00:01:40.360]  但如果你看耶穌
[00:01:40.360 --> 00:01:43.320]  很特別的是為什麼人們覺得耶穌說話
[00:01:43.320 --> 00:01:48.320]  他們很驚訝
[00:01:48.320 --> 00:01:51.320]  覺得耶穌說話令他們很驚奇
[00:01:51.320 --> 00:01:56.800]  耶穌不是講基督徒要做些什麼
[00:01:56.800 --> 00:01:58.200]  一開始的時候
[00:01:58.200 --> 00:02:03.120]  當然耶穌常常在裏面講到關於基督徒要做的事
[00:02:03.120 --> 00:02:05.000]  但一開始的時候
[00:02:05.000 --> 00:02:07.080]  耶穌不是講要做些什麼
[00:02:07.080 --> 00:02:08.200]  耶穌講的是
[00:02:08.200 --> 00:02:09.880]  如果你要做基督徒
[00:02:09.880 --> 00:02:15.560]  你首先要擁有八個屬靈的福氣、屬靈的特質
[00:02:15.560 --> 00:02:21.480]  就是你自己的本質是什麼
[00:02:21.480 --> 00:02:24.120]  我們要看一下信耶穌是什麼
[00:02:24.120 --> 00:02:26.200]  接著我們就期望
[00:02:26.200 --> 00:02:29.440]  耶穌應該下去講一下我們應該做些什麼
[00:02:29.440 --> 00:02:34.320]  應該講一下基督徒如何跟上帝有一個親密的關係
[00:02:34.320 --> 00:02:36.280]  但一下去講完八福之後
[00:02:36.280 --> 00:02:39.120]  耶穌開了另一個段落
[00:02:39.120 --> 00:02:41.640]  又不是在講跟神的關係
[00:02:41.640 --> 00:02:46.280]  又不是在講我們基督徒的行為應該做些什麼
[00:02:46.280 --> 00:02:50.080]  而是在講一個很重要的使命
[00:02:50.080 --> 00:02:51.800]  很重要的使命就是
[00:02:51.800 --> 00:02:54.640]  基督徒在人海當中
[00:02:54.640 --> 00:02:57.840]  我們應該是什麼樣的身份
[00:02:57.840 --> 00:03:00.200]  基督徒八福是我們自己的本質
[00:03:00.200 --> 00:03:04.200]  而基督徒在世的身份應該是怎樣呢
[00:03:04.200 --> 00:03:07.080]  就是焉和光
[00:03:07.080 --> 00:03:12.320]  我們經常都受以往那些電影也好
[00:03:12.320 --> 00:03:13.960]  幕入小說也好
[00:03:13.960 --> 00:03:17.040]  或者我們錯誤的觀念去看的就是
[00:03:17.040 --> 00:03:20.200]  我們覺得一些所謂屬靈的基督徒
[00:03:20.200 --> 00:03:26.120]  或者一些很有高深的造詣的基督徒
[00:03:26.120 --> 00:03:28.320]  又或者一些叫Spiritual Giants
[00:03:28.320 --> 00:03:30.480]  就是那些屬靈的偉人
[00:03:30.480 --> 00:03:32.480]  通常都有一個特色的
[00:03:32.480 --> 00:03:38.440]  就是你必須要去到一個很遠很遠宇宙的星球的外面
[00:03:38.440 --> 00:03:39.600]  才能找到這些人
[00:03:39.600 --> 00:03:41.880]  好像在深山裡面
[00:03:41.880 --> 00:03:43.800]  我們就能找到那些師傅
[00:03:43.800 --> 00:03:48.320]  就是你要去看電影裡面
[00:03:48.320 --> 00:03:50.160]  這些全部都是電影的那些
[00:03:50.160 --> 00:03:52.800]  除了中間上面那個
[00:03:52.800 --> 00:03:56.040]  那些師傅就是很高深的
[00:03:56.040 --> 00:03:58.320]  你好像火人邪神那樣
[00:03:58.320 --> 00:04:02.960]  就是學萬福朝宗
[00:04:02.960 --> 00:04:10.000]  你才能夠學到一些高深的造詣
[00:04:10.000 --> 00:04:12.360]  要走入深山裡面
[00:04:12.360 --> 00:04:14.080]  或者荒島那裡
[00:04:14.080 --> 00:04:16.880]  因為他已經很清高地離世了
[00:04:16.880 --> 00:04:19.680]  所以那些高深的屬靈偉人
[00:04:19.680 --> 00:04:21.480]  應該就在修道院裡面
[00:04:21.480 --> 00:04:23.240]  應該在深山裡面
[00:04:23.240 --> 00:04:24.480]  在叢林裡面
[00:04:24.480 --> 00:04:28.240]  或者初期的教父在沙漠那裡
[00:04:28.240 --> 00:04:29.840]  你才能找到的
[00:04:29.840 --> 00:04:32.960]  你不會在那麼多人裡面找到的
[00:04:32.960 --> 00:04:36.040]  你要走到Tracy才能找到那個師傅
[00:04:36.040 --> 00:04:39.640]  這些才叫屬靈偉人
[00:04:39.640 --> 00:04:40.640]  因為他們很清高
[00:04:40.640 --> 00:04:44.440]  他們退居在人群的外面
[00:04:44.440 --> 00:04:50.520]  去尋找這個高深和貪獨於神的同在
[00:04:50.520 --> 00:04:51.440]  但等於說
[00:04:51.440 --> 00:04:54.440]  耶穌為什麼這麼不同的地方就是
[00:04:54.440 --> 00:04:55.000]  因為他說
[00:04:55.000 --> 00:04:57.800]  我們對上帝的觀念就是這麼錯誤
[00:04:57.800 --> 00:04:59.720]  我們覺得上帝是高高在上
[00:04:59.720 --> 00:05:01.440]  距離我們很遠
[00:05:01.440 --> 00:05:03.000]  我們沒有辦法去接觸到祂
[00:05:03.000 --> 00:05:04.840]  我們只能夠去降服
[00:05:04.840 --> 00:05:06.040]  我們是一幫罪人
[00:05:06.040 --> 00:05:07.280]  叫耶穌基督
[00:05:07.280 --> 00:05:08.680]  我說我是一個罪人
[00:05:08.680 --> 00:05:10.360]  你遠離我吧
[00:05:10.360 --> 00:05:11.800]  但耶穌來到世上
[00:05:11.800 --> 00:05:14.680]  到時他身上就要告訴我們一件很重要的事
[00:05:14.680 --> 00:05:16.400]  我們這個信仰
[00:05:16.400 --> 00:05:20.600]  是一個活在人群當中的信仰
[00:05:20.600 --> 00:05:22.000]  耶穌不是清高到那個地步
