
[00:00:00.000 --> 00:00:05.160]  今日我們會繼續思想教會的聖經教導
[00:00:05.160 --> 00:00:10.820]  今天好像屏幕有些問題
[00:00:10.820 --> 00:00:14.420]  看看是否可行
[00:00:14.420 --> 00:00:17.300]  有些可行,有些不可行,有些可行,有些不可行
[00:00:17.300 --> 00:00:19.300]  因為我們又換了新電腦
[00:00:19.300 --> 00:00:27.400]  我已經說過,教會的本質是一群相信耶穌為主的人
[00:00:27.400 --> 00:00:29.980]  也是被聖靈重生的人
[00:00:29.980 --> 00:00:33.840]  由於他們有共同的信仰
[00:00:33.840 --> 00:00:36.500]  就會一起團契
[00:00:36.500 --> 00:00:38.180]  團契是甚麼意思呢?
[00:00:38.180 --> 00:00:43.360]  就是一群有共同信仰的人一起祈禱學習聖經
[00:00:43.360 --> 00:00:45.360]  他們也會分享愛言
[00:00:45.360 --> 00:00:47.960]  愛言其實是指守聖餐
[00:00:47.960 --> 00:00:51.420]  他們還會一起禱告
[00:00:51.420 --> 00:00:56.580]  教會還可以分為地方教會和普世教會
[00:00:56.580 --> 00:01:00.580]  我們這裡的教會是一間地方的教會
[00:01:00.580 --> 00:01:04.680]  但地方的教會從來不是一間聖人院
[00:01:04.680 --> 00:01:07.180]  如果有人期望來到教會
[00:01:07.180 --> 00:01:11.680]  看到所有基督徒都像天使一樣頭上有光圈的話
[00:01:11.680 --> 00:01:15.080]  就會對教會有些誤會
[00:01:15.080 --> 00:01:19.880]  地方教會其實是由人組織的
[00:01:19.880 --> 00:01:24.580]  而當一個人信了耶穌之後,進入教會接受栽培
[00:01:24.580 --> 00:01:26.580]  有些人會成長得快一些
[00:01:26.580 --> 00:01:28.580]  有些人會成長得慢一些
[00:01:28.580 --> 00:01:32.580]  所以我很喜歡用療養院來做比喻
[00:01:32.580 --> 00:01:35.080]  教會就像一間療養院
[00:01:35.080 --> 00:01:37.780]  有序的人接受了主耶穌的救恩
[00:01:37.780 --> 00:01:41.880]  來到這裡繼續療養
[00:01:41.880 --> 00:01:44.180]  在療養的過程當中
[00:01:44.180 --> 00:01:46.880]  有些人肯聽醫生的話
[00:01:46.880 --> 00:01:49.680]  肯吃藥就會康復得快一些
[00:01:49.680 --> 00:01:51.680]  有些人不肯聽醫生的話
[00:01:51.680 --> 00:01:54.080]  不肯吃藥就會康復得慢一些
[00:01:54.080 --> 00:01:58.180]  有些人甚至不經醫生批准就自行出院
[00:01:58.180 --> 00:02:00.180]  離開教會
[00:02:00.180 --> 00:02:01.680]  即使信了耶穌
[00:02:01.680 --> 00:02:05.380]  可能會得救,但也不會成長成熟
[00:02:05.380 --> 00:02:09.180]  今天要跟大家一起思想《啟示錄》第二章
[00:02:09.180 --> 00:02:14.380]  開始思想《啟示錄》第二章和第三章的七間教會
[00:02:14.380 --> 00:02:16.780]  今天看頭兩間
[00:02:16.780 --> 00:02:19.680]  在《啟示錄》這兩章的經文當中
[00:02:19.680 --> 00:02:25.480]  主耶穌是為第一世紀末期的教會把脈
[00:02:25.480 --> 00:02:28.280]  指出一些教會的長處
[00:02:28.280 --> 00:02:31.380]  也都指出他們的缺點
[00:02:31.380 --> 00:02:33.780]  如果我們盼望我們的教會
[00:02:33.780 --> 00:02:38.180]  是一間被主耶穌讚賞的教會的話
[00:02:38.180 --> 00:02:41.880]  我們要留意主耶穌所讚賞的教會
[00:02:41.880 --> 00:02:44.280]  有些什麼的優點
[00:02:44.280 --> 00:02:45.980]  我們就學習
[00:02:45.980 --> 00:02:48.780]  而被主耶穌批評的地方
[00:02:48.780 --> 00:02:52.480]  我們就要去留意,去改正
[00:03:18.780 --> 00:03:22.280]  主耶穌是屬於啟示文學或者是寓言
[00:03:22.280 --> 00:03:26.480]  很多時候除了字面的直接意義之外
[00:03:26.480 --> 00:03:30.380]  其實裡面的文字還是有象徵性
[00:03:30.380 --> 00:03:33.380]  有其他的寓意
[00:03:33.380 --> 00:03:36.180]  在《啟示錄》第二章開始的時候
[00:03:36.180 --> 00:03:38.980]  已經復活升天的主耶穌
[00:03:38.980 --> 00:03:44.080]  就是藉著一個異象來向約翰顯現
[00:03:44.080 --> 00:03:49.580]  並且吩咐約翰寫信給當時的七間教會
[00:03:49.580 --> 00:03:53.480]  那七間教會在約翰寫信給他們的時候
[00:03:53.480 --> 00:03:58.280]  大概都起碼有四五十年的歷史
[00:03:58.280 --> 00:04:00.280]  教會的主耶穌基督
[00:04:00.280 --> 00:04:02.880]  首先是為他們每間教會把脈
[00:04:02.880 --> 00:04:05.480]  說說那裡教會的情況
[00:04:05.480 --> 00:04:07.380]  有讚揚也有責備
[00:04:07.380 --> 00:04:12.380]  但是當把完脈之後
[00:04:12.380 --> 00:04:14.980]  最後一句話總是說
[00:04:14.980 --> 00:04:18.180]  聖靈向宗教會所說的話
[00:04:18.180 --> 00:04:21.980]  凡有異的就應當聽
[00:04:21.980 --> 00:04:26.280]  因此表面上主耶穌是為一間指定的教會把脈
[00:04:26.280 --> 00:04:31.780]  但是他也同時說是向宗教會說話
[00:04:31.780 --> 00:04:34.680]  所以我們都應該留心聽
[00:04:34.680 --> 00:04:36.980]  我們先看第二章第一節
[00:04:36.980 --> 00:04:40.680]  這裡對主耶穌的描寫就是說
[00:04:40.680 --> 00:04:42.880]  拿右手拿著七火星
[00:04:42.880 --> 00:04:47.780]  在七個金燈台中間行走
[00:04:47.780 --> 00:04:52.280]  在啟示錄裡面的七字其實是很有象徵性的
[00:04:52.280 --> 00:04:55.380]  那個是一個上帝的數字
[00:04:55.380 --> 00:04:59.780]  是代表完整或者是完全的意思
[00:04:59.780 --> 00:05:01.780]  在舊約創世紀一開始
[00:05:01.780 --> 00:05:05.080]  我們就看到上帝是用七天的時間
[00:05:05.080 --> 00:05:07.480]  是造成這個完美的世界
[00:05:07.480 --> 00:05:10.280]  從一個空虛混亂的宇宙
[00:05:10.280 --> 00:05:12.780]  創造出一個井然有序
[00:05:12.780 --> 00:05:15.480]  充滿一切自然生態
[00:05:15.480 --> 00:05:18.580]  可以生生不息的世界
[00:05:18.580 --> 00:05:22.980]  是要讓上帝和人享受安息的
[00:05:22.980 --> 00:05:30.180]  然後七天之後就開展出人類的故事了
[00:05:30.180 --> 00:05:34.680]  在第一章第二十節就告訴我們
[00:05:34.680 --> 00:05:39.580]  七火星和七個燈台的代表是什麼
[00:05:39.580 --> 00:05:43.180]  七火星就是七個教會的天使
[00:05:43.180 --> 00:05:46.580]  七個燈台就是七個教會
[00:05:46.580 --> 00:05:49.180]  教會的天使是指誰呢?
[00:05:49.180 --> 00:05:51.280]  神學家有不同的看法
[00:05:51.280 --> 00:05:54.280]  我認為天使是指牧師
[00:05:54.280 --> 00:05:56.780]  原因是一般來說
[00:05:56.780 --> 00:05:59.580]  在聖經中每逢看到天使出現
[00:05:59.580 --> 00:06:04.880]  主要的職責都是傳遞上帝的訊息
[00:06:04.880 --> 00:06:06.980]  當然天使也有其他職務
[00:06:06.980 --> 00:06:11.180]  但是在聖經中每逢看到天使出現
[00:06:11.180 --> 00:06:13.580]  多數是傳遞訊息的
[00:06:13.580 --> 00:06:16.980]  故事上帝有話要對教會說的時候
[00:06:16.980 --> 00:06:19.280]  就先告訴教會的天使
[00:06:19.280 --> 00:06:20.380]  就是牧師
[00:06:20.380 --> 00:06:24.180]  由牧師告訴教會
[00:06:24.180 --> 00:06:26.080]  但是我們要記得
[00:06:26.080 --> 00:06:30.580]  牧師不是教會的主
[00:06:30.580 --> 00:06:34.080]  牧師在約翰的異象當中
[00:06:34.080 --> 00:06:38.380]  是被騙在耶穌的手中
[00:06:38.380 --> 00:06:43.180]  並且主耶穌是在七個金燈台中間行走
