
[00:00:00.000 --> 00:00:02.000]  弟子們午安
[00:00:02.000 --> 00:00:05.000]  今天用這個主題跟大家分享
[00:00:05.000 --> 00:00:08.000]  因為這個月是六月
[00:00:08.000 --> 00:00:10.000]  亦會有父親節
[00:00:10.000 --> 00:00:12.000]  教會編排年期
[00:00:12.000 --> 00:00:14.000]  我們怎樣去講談
[00:00:14.000 --> 00:00:18.000]  特別我們今天是一個門訓的專題
[00:00:18.000 --> 00:00:22.000]  我很想和大家一起去學習這個功課
[00:00:22.000 --> 00:00:26.000]  原來我們作為一個跟隨主耶穌的人
[00:00:26.000 --> 00:00:29.000]  我們必須要有一個體會
[00:00:29.000 --> 00:00:31.000]  我們要明白
[00:00:31.000 --> 00:00:36.000]  上帝的心其實透過整本聖經向我們展示
[00:00:36.000 --> 00:00:39.000]  是一個關係
[00:00:39.000 --> 00:00:43.000]  歷代基督教有一個很重要的教義
[00:00:43.000 --> 00:00:45.000]  就是三為一體
[00:00:45.000 --> 00:00:48.000]  聖父、聖子、聖靈在永恆裏
[00:00:48.000 --> 00:00:51.000]  他們彼此相愛
[00:00:51.000 --> 00:00:54.000]  但不是三個神 是一位的神
[00:00:54.000 --> 00:00:57.000]  同一位的上帝 同一位的神
[00:00:57.000 --> 00:00:59.000]  但他們有三個位格
[00:00:59.000 --> 00:01:04.000]  彼此不會矛盾 亦不會不協調
[00:01:04.000 --> 00:01:07.000]  由創造世界到救贖人類
[00:01:07.000 --> 00:01:11.000]  以至將來永恆的天國的建立
[00:01:11.000 --> 00:01:15.000]  都有三為一體的真神的參與在其中
[00:01:15.000 --> 00:01:20.000]  所以當我們去體會人類歷史
[00:01:20.000 --> 00:01:22.000]  由始祖亞當夏娃
[00:01:22.000 --> 00:01:25.000]  怎樣吃了禁果離開了神之後
[00:01:25.000 --> 00:01:27.000]  神是主動去尋找人
[00:01:27.000 --> 00:01:29.000]  人去逃避神
[00:01:29.000 --> 00:01:31.000]  但上帝是主動要挽回
[00:01:31.000 --> 00:01:34.000]  這種人與神破裂的關係
[00:01:34.000 --> 00:01:37.000]  上帝要亞當夏娃
[00:01:37.000 --> 00:01:41.000]  一路世世代代每一代的人都要清清楚楚
[00:01:41.000 --> 00:01:44.000]  認識上帝的說話
[00:01:44.000 --> 00:01:49.000]  唯有神的話語成為我們在人生裏面
[00:01:49.000 --> 00:01:51.000]  真正的一個指引
[00:01:51.000 --> 00:01:55.000]  亦成為我們每一天生活的亮光
[00:01:55.000 --> 00:01:57.000]  我們能夠分辨是非
[00:01:57.000 --> 00:01:59.000]  能夠明白黑與暗
[00:01:59.000 --> 00:02:02.000]  是因為我們有上帝的說話
[00:02:02.000 --> 00:02:05.000]  人是很淪盡
[00:02:05.000 --> 00:02:06.000]  人有很多問題
[00:02:06.000 --> 00:02:10.000]  但上帝永遠都沒有放棄
[00:02:10.000 --> 00:02:15.000]  他就好像一個父親去愛自己的子女一樣
[00:02:15.000 --> 00:02:17.000]  當自己的子女不聽話
[00:02:17.000 --> 00:02:19.000]  頂撞自己
