
[00:00:00.000 --> 00:00:04.000]  多謝主席為我們讀出這段經文
[00:00:04.000 --> 00:00:08.000]  我想跟大家講這段經文其實是接觸著先前
[00:00:08.000 --> 00:00:13.000]  主耶穌差派七十二人出去傳福音之後
[00:00:13.000 --> 00:00:17.000]  回來的情景
[00:00:17.000 --> 00:00:21.000]  前面就講了他們出去做了很多事
[00:00:21.000 --> 00:00:23.000]  然後回來就匯報的階段
[00:00:23.000 --> 00:00:25.000]  匯報的一個成果
[00:00:25.000 --> 00:00:28.000]  而在這個由十七至二十四節裏面
[00:00:28.000 --> 00:00:31.000]  我看到有三個論述
[00:00:31.000 --> 00:00:33.000]  是耶穌列的論述
[00:00:33.000 --> 00:00:35.000]  而在這個論述當中裏面
[00:00:35.000 --> 00:00:39.000]  有兩個喜樂的場景的對比
[00:00:39.000 --> 00:00:42.000]  而當中也有一個祝福的說話
[00:00:42.000 --> 00:00:44.000]  而三個段落裏面
[00:00:44.000 --> 00:00:49.000]  我就想用一個明治的意義
[00:00:49.000 --> 00:00:53.000]  來思考耶穌在這裏的說話
[00:00:53.000 --> 00:00:55.000]  給我們甚麼教導呢
[00:00:55.000 --> 00:00:58.000]  明治是很特別的事情
[00:00:58.000 --> 00:01:01.000]  或者可以先這樣想
[00:01:01.000 --> 00:01:06.000]  爸爸媽媽給孩子們第一個禮物是甚麼呢
[00:01:06.000 --> 00:01:08.000]  名字
[00:01:08.000 --> 00:01:12.000]  他未出生的時候就已經給了他一個名字
[00:01:12.000 --> 00:01:15.000]  一個很特別的禮物
[00:01:15.000 --> 00:01:20.000]  而且這個禮物是一生一世的
[00:01:20.000 --> 00:01:23.000]  你去到結束的時候
[00:01:23.000 --> 00:01:24.000]  除非你自己真的不要
[00:01:24.000 --> 00:01:27.000]  否則這個名字陪伴著你一生
[00:01:27.000 --> 00:01:28.000]  而當中的明治
[00:01:28.000 --> 00:01:31.000]  其實背後有很多很多的意義在當中
[00:01:31.000 --> 00:01:35.000]  可能是你父親母親給你的心願
[00:01:35.000 --> 00:01:37.000]  期盼、祝福
[00:01:37.000 --> 00:01:39.000]  很多很多的意義在當中
[00:01:39.000 --> 00:01:41.000]  同樣的
[00:01:41.000 --> 00:01:46.000]  如果這個名字是天父預定給你的話
[00:01:46.000 --> 00:01:50.000]  會不會有一種更加深層的意義呢
[00:01:50.000 --> 00:01:51.000]  這就是我今天的思路
[00:01:51.000 --> 00:01:54.000]  我想跟大家從明治再次看回
[00:01:54.000 --> 00:01:58.000]  主耶穌在這三段論述裏面給我們的教導
[00:01:58.000 --> 00:02:01.000]  一起同心禱告
[00:02:01.000 --> 00:02:05.000]  祈求你的聖靈來臨到我們當中
[00:02:05.000 --> 00:02:09.000]  讓我們一起有你的說話
[00:02:09.000 --> 00:02:13.000]  有你的聖靈來審查我們的心
[00:02:13.000 --> 00:02:17.000]  我們更好地去認識這位創造生命的主
[00:02:17.000 --> 00:02:20.000]  更加認識到我們和祂的關係
[00:02:20.000 --> 00:02:24.000]  又好叫我們思索在這份關係當中
[00:02:24.000 --> 00:02:28.000]  對我們今天生活的一切
