
[00:00:00.000 --> 00:00:04.000]  好開心今日同大家黎到思想呢個八福嘅經文
[00:00:04.000 --> 00:00:07.000]  係新春嘅期間黎到講到呢個福
[00:00:07.000 --> 00:00:09.000]  我相信都係好應節嘅
[00:00:09.000 --> 00:00:12.000]  不過呢 大家千祈唔好以為
[00:00:12.000 --> 00:00:14.000]  我哋今日講嘅福
[00:00:14.000 --> 00:00:16.000]  同埋一般人所講嘅福
[00:00:16.000 --> 00:00:18.000]  係一樣
[00:00:18.000 --> 00:00:20.000]  一般人嘅福呢
[00:00:20.000 --> 00:00:24.000]  係好基本上都係集中於自我嘅
[00:00:24.000 --> 00:00:28.000]  係 特別係你睇電視嘅鏡頭
[00:00:28.000 --> 00:00:30.000]  我每逢見到電視台
[00:00:30.000 --> 00:00:33.000]  播出啲投注香嘅情況呢
[00:00:33.000 --> 00:00:36.000]  就覺得係心裏面真係非常之難過
[00:00:36.000 --> 00:00:39.000]  真係點解唔係個個都一齊
[00:00:39.000 --> 00:00:41.000]  得到最好嘅福
[00:00:41.000 --> 00:00:43.000]  點解要 即係
[00:00:43.000 --> 00:00:46.000]  仲行得郁走得郁仲係可以爆得開人嘅
[00:00:46.000 --> 00:00:50.000]  先至係可以去插到嗰一支咁樣
[00:00:50.000 --> 00:00:54.000]  咁當然啦 福呢我哋好自然都係會諗到
[00:00:54.000 --> 00:00:57.000]  總言之係長壽呀 平安呀
[00:00:57.000 --> 00:01:00.000]  無驚無夢做到收工呀
[00:01:00.000 --> 00:01:03.000]  咁又放工呀 咁樣就係好事
[00:01:03.000 --> 00:01:05.000]  其實人生真係唔係咁樣
[00:01:05.000 --> 00:01:07.000]  主耶穌俾我哋嘅福
[00:01:07.000 --> 00:01:10.000]  祂宣告 你個虛心嘅人有福
[00:01:10.000 --> 00:01:12.000]  哀動嘅人有福
[00:01:12.000 --> 00:01:14.000]  溫柔嘅人有福
[00:01:14.000 --> 00:01:16.000]  饑渴無意嘅人有福
[00:01:16.000 --> 00:01:17.000]  憐恤人嘅人有福
[00:01:17.000 --> 00:01:19.000]  清心嘅人有福
[00:01:19.000 --> 00:01:21.000]  洗人和睦嘅人有福
[00:01:21.000 --> 00:01:23.000]  為易受逼迫嘅人有福
[00:01:23.000 --> 00:01:26.000]  人因為基督嘅緣故
[00:01:26.000 --> 00:01:28.000]  因為天國嘅緣故
[00:01:28.000 --> 00:01:32.000]  係被辱罵被迫害就有福
[00:01:32.000 --> 00:01:33.000]  親愛嘅弟兄姊妹
[00:01:33.000 --> 00:01:38.000]  我哋覺得其實呢一啲都係異常嘅福
[00:01:38.000 --> 00:01:43.000]  係異於世俗嘅思想嘅福
[00:01:43.000 --> 00:01:47.000]  到底呢個福係乜嘢嚟㗎
[00:01:47.000 --> 00:01:49.000]  我哋諗得清唔清楚
[00:01:49.000 --> 00:01:54.000]  如果我哋真係好確定呢一個嘅福
[00:01:54.000 --> 00:01:57.000]  能夠係令到我哋
[00:01:57.000 --> 00:02:01.000]  超越呢一個嘅俗世嘅思想
[00:02:01.000 --> 00:02:04.000]  咁到底又係乜一回事呢
[00:02:04.000 --> 00:02:06.000]  會唔會係講緊
[00:02:06.000 --> 00:02:09.000]  我哋呢一班天國裏面嘅人
[00:02:09.000 --> 00:02:10.000]  有福嘅人
[00:02:10.000 --> 00:02:13.000]  就係在品格上
[00:02:13.000 --> 00:02:16.000]  係依附上人
[00:02:16.000 --> 00:02:19.000]  我哋實在係實現緊呢一個
[00:02:19.000 --> 00:02:22.000]  甚至比中國人嘅理想嘅品格
[00:02:22.000 --> 00:02:24.000]  更加高超嘅品格
[00:02:24.000 --> 00:02:26.000]  我哋唔止係君子
[00:02:26.000 --> 00:02:28.000]  仲係君子嘅君子
[00:02:28.000 --> 00:02:30.000]  我哋係有呢一種嘅美德
[00:02:30.000 --> 00:02:33.000]  咁我哋就有福呢
[00:02:33.000 --> 00:02:37.000]  講咗百福都講咗好多年
[00:02:37.000 --> 00:02:39.000]  其實都好容易
[00:02:39.000 --> 00:02:41.000]  係從嗰個氣質
[00:02:41.000 --> 00:02:43.000]  從嗰個性情
[00:02:43.000 --> 00:02:46.000]  你係否這樣的人
[00:02:46.000 --> 00:02:47.000]  嚟到問自己
[00:02:47.000 --> 00:02:49.000]  或者嚟到問別人
