
[00:00:00.000 --> 00:00:03.680]  好 我們今天的講題就是「不變的真理」
[00:00:03.680 --> 00:00:13.120]  今天的經文剛好就是我們程序表的宣召的經文
[00:00:13.120 --> 00:00:15.560]  好讓我們一同讀一次
[00:00:15.560 --> 00:00:19.880]  可以在我們程序表的第一版宣召那一段
[00:00:19.880 --> 00:00:26.760]  我們一同去讀這個詩篇65篇第11節
[00:00:26.760 --> 00:00:34.360]  「你以恩典為連瑞的冠冕 你的路徑都敵下之尤」
[00:00:34.360 --> 00:00:35.680]  我們再讀一次
[00:00:35.680 --> 00:00:42.080]  「你以恩典為連瑞的冠冕 你的路徑都敵下之尤」
[00:00:42.080 --> 00:00:45.920]  冠冕的意思其實是講一生
[00:00:45.920 --> 00:00:48.640]  我們一生裏面所經歷的事
[00:00:48.640 --> 00:00:51.640]  其實往往是有上帝的安排
[00:00:51.640 --> 00:00:54.760]  是有上帝的恩典充滿在裏面
[00:00:54.760 --> 00:00:57.120]  所以將祂堆積成位
[00:00:57.120 --> 00:01:00.760]  放在我們的頭上就好像一個冠冕一樣
[00:01:00.760 --> 00:01:04.280]  我們每一個人的頭上所戴的冠冕
[00:01:04.280 --> 00:01:06.200]  每一個都不相同
[00:01:06.200 --> 00:01:08.120]  但我們深信每一個人
[00:01:08.120 --> 00:01:12.360]  我們人生的道路上都在神的手裏面
[00:01:12.360 --> 00:01:15.200]  我們一同去禱告
[00:01:15.200 --> 00:01:18.840]  「差主 今日我們眾人來到祢的面前
[00:01:18.840 --> 00:01:21.840]  都向祢屈膝敬拜
[00:01:21.840 --> 00:01:26.120]  主祢讓我們在這個時間我們有心靈重擔的
[00:01:26.120 --> 00:01:27.880]  放在祢的面前
[00:01:27.880 --> 00:01:29.400]  我們有勞苦的
[00:01:29.400 --> 00:01:31.280]  我們都放在祢的面前
[00:01:31.280 --> 00:01:32.920]  我們有困乏的
[00:01:32.920 --> 00:01:35.040]  都放在祢的面前
[00:01:35.040 --> 00:01:39.200]  讓主祢的聖靈去幫助我們成為一個輕省的人
[00:01:39.200 --> 00:01:42.160]  以致我們在十字架面前的時候
[00:01:42.160 --> 00:01:44.760]  能夠得聽主祢的話語
[00:01:44.760 --> 00:01:46.680]  被主祢去幫助
[00:01:46.680 --> 00:01:48.000]  我們多謝主
[00:01:48.000 --> 00:01:49.600]  祈禱奉主名頭
[00:01:49.600 --> 00:01:51.320]  阿門」
[00:01:51.320 --> 00:01:56.320]  近這幾年裏面很多話題
[00:01:56.320 --> 00:01:59.280]  其中一個我們最關注的話題
[00:01:59.280 --> 00:02:03.400]  差不多每一個星期都提醒我們的一樣
[00:02:03.400 --> 00:02:05.760]  無論新聞、信息、生活
[00:02:05.760 --> 00:02:08.600]  身邊的朋友都提醒我們
[00:02:08.600 --> 00:02:10.960]  全世界正面對的
[00:02:10.960 --> 00:02:13.720]  正是人口老化的問題
[00:02:13.720 --> 00:02:17.120]  年紀大老化帶來很多方面的事情
[00:02:17.120 --> 00:02:19.000]  我們需要關注
[00:02:19.000 --> 00:02:23.440]  無論生活、設施、需要、各樣
[00:02:23.440 --> 00:02:26.520]  我們都需要去調整
[00:02:26.520 --> 00:02:28.560]  為甚麼要這樣說呢
[00:02:28.560 --> 00:02:31.280]  當我們去找回的時候
[00:02:31.280 --> 00:02:35.800]  很多很多的報告都在談論一些年月日
[00:02:35.800 --> 00:02:38.600]  由1946年至64年來說
[00:02:38.600 --> 00:02:42.440]  這個是大戰之後出生的一群嬰兒特別多
[00:02:42.440 --> 00:02:46.160]  統稱是嬰兒時期出生的人
[00:02:46.160 --> 00:02:49.080]  我們在座的當中
[00:02:49.080 --> 00:02:52.920]  我都看到有部分都應該是這個時期出生的
[00:02:52.920 --> 00:02:54.920]  一些弟兄姊妹
[00:02:54.920 --> 00:02:59.400]  我們都為著我們今天敬老主日
[00:02:59.400 --> 00:03:02.920]  能夠在座在我們當中的一群年長者
[00:03:02.920 --> 00:03:05.800]  我們首先都向他們示意一個尊敬
[00:03:05.800 --> 00:03:07.720]  跟他們向聲問好
[00:03:07.720 --> 00:03:10.720]  因為實在真是不輕易的事情
[00:03:10.720 --> 00:03:13.840]  去到70年代群嬰兒開始長大
[00:03:13.840 --> 00:03:16.880]  帶來給社會的就是很多青年事務
[00:03:16.880 --> 00:03:19.280]  青年的問題陸續發生
[00:03:19.280 --> 00:03:22.600]  去到2018年左右今年2012年
[00:03:22.600 --> 00:03:25.760]  過多幾年甚至是現在已經開始的
[00:03:25.760 --> 00:03:28.760]  就是這一群嬰兒不斷去長大的時候
[00:03:28.760 --> 00:03:31.280]  踏入人生的另一個階段
[00:03:31.280 --> 00:03:35.920]  引伸出很多的事情我們需要關注
[00:03:35.920 --> 00:03:37.840]  我們無可否認一樣東西
[00:03:37.840 --> 00:03:39.440]  亦都是一個事實
[00:03:39.440 --> 00:03:44.040]  原來生老病死就好像四時的節後一樣
[00:03:44.040 --> 00:03:46.680]  春夏秋冬的一樣
[00:03:46.680 --> 00:03:52.920]  留了一個大家去猜遊戲的時間
[00:03:52.920 --> 00:03:55.480]  我們在四時節慶之前
[00:03:55.480 --> 00:03:58.200]  我們給大家去尋一尋索先
[00:03:58.200 --> 00:04:01.000]  香港的人均壽命最近都有報告
[00:04:01.000 --> 00:04:05.120]  2011年男性和女性
[00:04:05.120 --> 00:04:08.240]  原來男士已經去到80歲了
[00:04:08.240 --> 00:04:14.680]  女士去到85.9歲平均年齡
[00:04:14.680 --> 00:04:21.480]  2041年差不多30年之後
[00:04:21.480 --> 00:04:24.960]  男性的歲數去到83.7
[00:04:24.960 --> 00:04:29.400]  而女性去到超過90
[00:04:29.400 --> 00:04:32.600]  前一兩個星期長青區有一位老姐妹
[00:04:32.600 --> 00:04:39.400]  她是高壽的一位姐妹去到97歲
[00:04:39.400 --> 00:04:44.440]  長青區最年紀最為高壽的
[00:04:44.440 --> 00:04:50.520]  目前來講知不知道幾多歲?
[00:04:50.520 --> 00:04:53.320]  90? 未到90
[00:04:53.320 --> 00:04:55.320]  88? 有沒有88?
[00:04:55.320 --> 00:04:56.520]  有了差不多到的
[00:04:56.520 --> 00:04:59.800]  我猜應該是87了
[00:04:59.800 --> 00:05:01.560]  2013年是87
[00:05:01.560 --> 00:05:03.560]  我們有一位姐妹
[00:05:03.560 --> 00:05:06.320]  暫時來講是最高壽在長青區
[00:05:06.320 --> 00:05:08.600]  她每一個星期都坐兩次車
[00:05:08.600 --> 00:05:10.040]  她住得很遠
[00:05:10.040 --> 00:05:11.920]  她轉完一架巴士再轉一架巴士
[00:05:11.920 --> 00:05:15.000]  才來到我們當中去敬拜神
[00:05:15.000 --> 00:05:16.800]  我都會問有什麼動力
