
[00:00:00.000 --> 00:00:02.000]  (主席) 各位電影姊妹,主要來平安
[00:00:02.000 --> 00:00:06.460]  (主席) 今早我會跟大家去討論有關摩西的
[00:00:06.460 --> 00:00:09.460]  (主席) 說到摩西,你認識他有多少?
[00:00:09.460 --> 00:00:11.460]  (主席) 大聲一點說出來
[00:00:11.460 --> 00:00:15.940]  (主席) 大力意識形人張埃及還有沒有?
[00:00:15.940 --> 00:00:20.660]  (主席) 大家不是很習慣我這樣問,然後大聲說出來是不是?
[00:00:20.660 --> 00:00:24.480]  (主席) 埃及王子還有沒有?
[00:00:24.480 --> 00:00:26.480]  (主席) 在前面的全部都在這邊,有沒有?
[00:00:26.480 --> 00:00:29.480]  (主席) 哈哈哈哈,我們沒有串通過的
[00:00:29.480 --> 00:00:31.480]  (主席) 還有呢?
[00:00:31.480 --> 00:00:35.480]  (主席) 我們看一下,我選了幾個他的生平
[00:00:35.480 --> 00:00:37.480]  (主席) 記不記得他在哪裏出生?
[00:00:37.480 --> 00:00:39.480]  (主席) 是不是在河邊?
[00:00:39.480 --> 00:00:41.480]  (主席) 不是在河邊出生
[00:00:41.480 --> 00:00:44.480]  (主席) 他媽媽把他放在蒲草那裏
[00:00:44.480 --> 00:00:47.480]  (主席) 然後由埃及的公主救了他
[00:00:47.480 --> 00:00:49.480]  (主席) 這個大家一看就知道了,是怎樣的
[00:00:49.480 --> 00:00:51.480]  (主席) 過紅海,是不是?
[00:00:51.480 --> 00:00:54.480]  (主席) 然後就攀步十界
[00:00:54.480 --> 00:00:58.480]  (主席) 摩西的生平可以說是一個
[00:00:58.480 --> 00:01:00.480]  (主席) 很傳奇的人物
[00:01:00.480 --> 00:01:02.480]  (主席) 摩西是一個傳奇的人物
[00:01:02.480 --> 00:01:04.480]  (主席) 出生的時候,在皇宮
[00:01:04.480 --> 00:01:06.480]  (主席) 有很長時間,四十年的時間
[00:01:06.480 --> 00:01:08.480]  (主席) 在皇宮長大
[00:01:08.480 --> 00:01:10.480]  (主席) 看他的背景
[00:01:10.480 --> 00:01:12.480]  (主席) 我們說,如果用今天來說
[00:01:12.480 --> 00:01:14.480]  (主席) 摩西都很厚底的,是不是?
[00:01:14.480 --> 00:01:16.480]  (主席) 有很好的背景
[00:01:16.480 --> 00:01:18.480]  (主席) 摩西的生涯分為三個四十年
[00:01:18.480 --> 00:01:20.480]  (主席) 第一個四十年就是在皇宮長大
[00:01:20.480 --> 00:01:22.480]  (主席) 施行尊這樣形容
[00:01:22.480 --> 00:01:24.480]  (主席) 摩西學了埃及人一切的學問
[00:01:24.480 --> 00:01:28.480]  (主席) 說話,行事,都有才能
[00:01:28.480 --> 00:01:30.480]  (主席) 是一個造就他,訓練他
[00:01:30.480 --> 00:01:32.480]  (主席) 一個學習的四十年
[00:01:32.480 --> 00:01:34.480]  (主席) 然後,他將到四十歲
