
[00:00:00.000 --> 00:00:02.780]  撒母二傳的第七講
[00:00:02.780 --> 00:00:06.600]  撒母以上的第九章和第十章
[00:00:06.600 --> 00:00:09.160]  今天要講兩章的經文
[00:00:09.160 --> 00:00:11.880]  很多很多的經文我們要分享
[00:00:11.880 --> 00:00:13.420]  題目是什麼?
[00:00:13.420 --> 00:00:17.520]  是「人生不如意是與神約會」
[00:00:17.520 --> 00:00:22.560]  我們英文「不如意失意」是什麼?
[00:00:22.560 --> 00:00:25.000]  是disappointment
[00:00:25.000 --> 00:00:28.400]  約會是appointment
[00:00:28.400 --> 00:00:30.880]  很多時候當我們失意的時候
[00:00:30.880 --> 00:00:32.600]  其實我們需要想一想
[00:00:32.600 --> 00:00:36.720]  是否神和我們有appointment呢?
[00:00:36.720 --> 00:00:38.240]  今天我們看到
[00:00:38.240 --> 00:00:41.520]  掃羅為了他父親的奴不見了
[00:00:41.520 --> 00:00:42.880]  到處去尋找
[00:00:42.880 --> 00:00:45.600]  結果遇上了撒母二
[00:00:45.600 --> 00:00:48.320]  原來神和他有約會
[00:00:48.320 --> 00:00:51.720]  神還安立他成為以色列人的王
[00:00:51.720 --> 00:00:56.200]  「安立」這個字也是appoint這個字
[00:00:56.200 --> 00:00:58.600]  所以一個人的失望
[00:00:58.600 --> 00:01:01.960]  很多時候會變成我們與神的約會
[00:01:01.960 --> 00:01:05.000]  這就是我們今天的主題
[00:01:05.000 --> 00:01:06.840]  一些背景
[00:01:06.840 --> 00:01:09.360]  撒母二記的一章到八章
[00:01:09.360 --> 00:01:12.120]  是講到撒母二的故事
[00:01:12.120 --> 00:01:14.400]  但是由第九章開始
[00:01:14.400 --> 00:01:19.200]  就將目標 將重心轉移到掃羅身上
[00:01:19.200 --> 00:01:22.120]  掃羅就成為主角
[00:01:22.120 --> 00:01:24.920]  掃羅一出現的時候
[00:01:24.920 --> 00:01:27.280]  在撒母二上的九章一節
[00:01:27.280 --> 00:01:29.840]  稱他為「大能的勇士」
[00:01:29.840 --> 00:01:31.960]  這樣的稱呼
[00:01:31.960 --> 00:01:34.320]  似曾相識
[00:01:34.320 --> 00:01:38.120]  曾幾何時我才和大家講了路德記
[00:01:38.120 --> 00:01:41.480]  記不記得波阿斯 路德的丈夫
[00:01:41.480 --> 00:01:44.120]  在路德記二章一節
[00:01:44.120 --> 00:01:45.840]  波阿斯出現的時候
[00:01:45.840 --> 00:01:48.360]  都稱他為「大能的勇士」
[00:01:48.360 --> 00:01:50.600]  但是那裡的意思是什麼?
[00:01:50.600 --> 00:01:53.560]  他是一個大才主
[00:01:53.560 --> 00:01:55.360]  其實今天的掃羅
[00:01:55.360 --> 00:01:57.280]  都不是一個窮人
[00:01:57.280 --> 00:01:59.680]  他的家族都是很有錢的
[00:01:59.680 --> 00:02:02.760]  儘管他和撒母二很謙虛
[00:02:02.760 --> 00:02:05.920]  在《屬於撒母二上的九章》二十一節
[00:02:05.920 --> 00:02:09.480]  他說 變亞敏支派是十二支派當中
[00:02:09.480 --> 00:02:11.000]  最小的支派
[00:02:11.000 --> 00:02:12.520]  而我的家族
[00:02:12.520 --> 00:02:15.560]  是變亞敏支派最小的一個家族
[00:02:15.560 --> 00:02:18.240]  他很謙卑
[00:02:18.240 --> 00:02:20.960]  但是相信他的家庭是很有錢的
[00:02:20.960 --> 00:02:24.880]  因為我們看到 從經文告訴我們
[00:02:24.880 --> 00:02:27.880]  他的家庭是有房地產
[00:02:27.880 --> 00:02:29.640]  是有很多的新竹
[00:02:29.640 --> 00:02:31.760]  還有很多的僕人
[00:02:31.760 --> 00:02:36.400]  其實掃羅是一個頗有錢的人
[00:02:36.400 --> 00:02:39.720]  希伯來文「掃羅」的名字
[00:02:39.720 --> 00:02:44.480]  這個字根的意思就是求問神的意思
[00:02:44.480 --> 00:02:49.560]  其實和掃羅的生命息息相關
[00:02:49.560 --> 00:02:54.880]  他是以色列人民向神求問而得到的這位王
[00:02:54.880 --> 00:02:56.920]  以色列人向神求問
[00:02:56.920 --> 00:02:58.720]  要求有一位王
[00:02:58.720 --> 00:03:02.000]  神就將掃羅賜給他們
[00:03:02.000 --> 00:03:07.520]  雖然是神將掃羅賜給以色列人
[00:03:07.520 --> 00:03:12.480]  但是這位王是百姓想要的
[00:03:12.480 --> 00:03:16.080]  其實神 我在上一次也和大家講過
[00:03:16.080 --> 00:03:19.400]  神的心意是立誰做王
[00:03:19.400 --> 00:03:22.640]  猶大之派的大衛
[00:03:22.640 --> 00:03:25.200]  正如創世紀的四十九章
[00:03:25.200 --> 00:03:30.680]  「貴必不離猶大 匠必不離他兩腳之間」
[00:03:30.680 --> 00:03:35.960]  所以猶大就是王的支派
[00:03:35.960 --> 00:03:39.200]  大衛就是出自猶大之派
[00:03:39.200 --> 00:03:43.400]  耶穌基督也同樣是出自猶大之派
[00:03:43.400 --> 00:03:46.400]  但是就是因為以色列人急不及待
[00:03:46.400 --> 00:03:50.360]  所以神就賜了掃羅給他們
