
[00:00:00.000 --> 00:00:04.640]  新的一年,在這裡祝大家新的一年有新的恩典
[00:00:04.640 --> 00:00:06.640]  主的恩典,常要大家同在
[00:00:06.640 --> 00:00:12.080]  在這一年,我會繼續用「小人物,大使命」這個系列
[00:00:12.080 --> 00:00:14.080]  不過我會說「新約的人物」
[00:00:14.080 --> 00:00:17.200]  一句的成語,大家可能都很熟悉
[00:00:17.200 --> 00:00:19.760]  「某單雖好」,接著是甚麼?
[00:00:19.760 --> 00:00:23.040]  「都終須有綠葉扶持」
[00:00:23.040 --> 00:00:28.240]  「比喻一個人,即使再能幹,亦都需要別人的幫助」
[00:00:29.280 --> 00:00:35.680]  或者說「一朵花,多麼美麗,都需要有綠葉的襯托」
[00:00:35.680 --> 00:00:39.120]  今天我帶大家看一位在新約出現的小人物
[00:00:39.120 --> 00:00:40.400]  「阿拿尼亞」
[00:00:40.400 --> 00:00:43.760]  她如何被主使用,去尋找和幫助
[00:00:43.760 --> 00:00:48.240]  一個將會成為在當時,甚至是現在
[00:00:48.240 --> 00:00:51.840]  被主使用的大人物「保羅」
[00:00:51.840 --> 00:00:55.600]  就是「阿拿尼亞」這個小人物
[00:00:55.600 --> 00:00:59.600]  參與在神的工作,上高使「素羅」
[00:00:59.600 --> 00:01:03.920]  成為上帝所使用的偉大使徒「保羅」
[00:01:03.920 --> 00:01:07.200]  剛才讀的經文,基本上可以分為兩大部分
[00:01:07.200 --> 00:01:12.800]  第一個部分在10至16節,主差遣「阿拿尼亞」去尋找「素羅」
[00:01:12.800 --> 00:01:15.600]  第二個部分是17至20節
[00:01:15.600 --> 00:01:20.080]  「阿拿尼亞」就遵從主的吩咐,去了尋找「素羅」
[00:01:20.080 --> 00:01:26.160]  如果我們再細分,在第一部分主差遣「阿拿尼亞」去尋找「素羅」的部分
[00:01:26.160 --> 00:01:30.320]  你看到主是先藉異象,跟「阿拿尼亞」說話
[00:01:30.320 --> 00:01:32.160]  「阿拿尼亞」說「我在這裡」
[00:01:32.160 --> 00:01:35.600]  接著主對「阿拿尼亞」的吩咐
[00:01:35.600 --> 00:01:39.600]  面對主對「阿拿尼亞」的吩咐,「阿拿尼亞」有些反應
[00:01:39.600 --> 00:01:44.400]  在她反應之後,主又繼續對「阿拿尼亞」說話
[00:01:44.400 --> 00:01:46.640]  解答她心中的疑問
[00:01:46.640 --> 00:01:50.400]  在第二部分,「阿拿尼亞」遵從主的吩咐去尋找「素羅」
[00:01:50.400 --> 00:01:53.600]  我們會先看到「阿拿尼亞」按手在「素羅」身上
[00:01:53.600 --> 00:01:57.120]  使她能夠看得見,以及被聖靈充滿
[00:01:57.120 --> 00:02:01.360]  之後就是說「素羅」看見她受洗
[00:02:01.360 --> 00:02:03.840]  並且跟門徒一起,又傳講福音
[00:02:03.840 --> 00:02:07.120]  這是整個故事的大綱內容
[00:02:07.120 --> 00:02:09.360]  在第一部分,我用問題的方式
[00:02:09.360 --> 00:02:12.560]  來對待弟兄姊妹進入這些經文
[00:02:12.560 --> 00:02:14.160]  主差遣「阿拿尼亞」
[00:02:14.160 --> 00:02:17.040]  其實「阿拿尼亞」是誰呢?她有什麼特質呢?
[00:02:17.040 --> 00:02:20.000]  第十節,她說當下在大馬式
[00:02:20.000 --> 00:02:22.800]  或者用今天的說話「大馬士革」
[00:02:22.800 --> 00:02:26.480]  有一個門徒,他叫「阿拿尼亞」
[00:02:26.480 --> 00:02:28.800]  「阿拿尼亞」是主的門徒
[00:02:28.800 --> 00:02:31.200]  即是跟隨主的人
[00:02:31.200 --> 00:02:34.880]  或者主在死而復活之後
[00:02:34.880 --> 00:02:36.960]  她因著眾使徒的緣故
[00:02:36.960 --> 00:02:40.160]  聽說耶穌是神的兒子
[00:02:40.160 --> 00:02:43.200]  她就是跟隨主的一個門徒
[00:02:43.200 --> 00:02:47.440]  註明在大馬式或大馬士革的地方
[00:02:47.440 --> 00:02:49.280]  當主在意象中跟她說話
[00:02:49.280 --> 00:02:50.320]  叫她「阿拿尼亞」
[00:02:50.320 --> 00:02:51.920]  她就說「主,我在這裡」
[00:02:51.920 --> 00:02:54.400]  即是好像見到主在意象中
[00:02:54.400 --> 00:02:56.080]  向她顯現很平常的事
[00:02:56.080 --> 00:02:59.360]  可能反映她跟主有一個很密切的關係
[00:02:59.360 --> 00:03:03.120]  而事實上在這件事
[00:03:03.120 --> 00:03:06.320]  後來改名為「素羅」或「保羅」
[00:03:06.320 --> 00:03:08.480]  她也親自作見證
[00:03:08.480 --> 00:03:11.120]  《使徒行傳》第22章第12節
[00:03:11.120 --> 00:03:12.240]  是這樣的記載
[00:03:12.240 --> 00:03:13.760]  她說那裡有一個人
[00:03:13.760 --> 00:03:15.440]  名叫「阿拿尼亞」
[00:03:15.440 --> 00:03:17.200]  按著律法
[00:03:17.200 --> 00:03:19.200]  他是虔誠人
[00:03:19.200 --> 00:03:24.240]  是被一切住在那裡的猶太人所稱讚的
[00:03:24.240 --> 00:03:26.880]  他是虔誠人
[00:03:26.880 --> 00:03:35.360]  表示他遵守一切猶太人宗教的移民
[00:03:35.360 --> 00:03:37.440]  他是一位虔誠者
[00:03:37.440 --> 00:03:39.760]  所以很多人都稱讚他
[00:03:39.760 --> 00:03:41.680]  甚至可能是挺有名的
[00:03:41.680 --> 00:03:47.040]  雖然在聖經裡只記載這件事與他有關
[00:03:47.040 --> 00:03:49.200]  主對阿拿尼亞有什麼吩咐呢?
[00:03:49.200 --> 00:03:51.600]  第11節和第12節
[00:03:51.600 --> 00:03:53.120]  主跟阿拿尼亞說
[00:03:53.120 --> 00:03:54.720]  「你起來吧」
[00:03:54.720 --> 00:03:56.000]  「去藉街」
[00:03:56.000 --> 00:03:58.560]  在猶太的家裡訪問一個大素人
[00:03:58.560 --> 00:03:59.360]  名叫「素羅」
[00:03:59.360 --> 00:04:00.880]  他正在這裡禱告
[00:04:00.880 --> 00:04:02.240]  你會見到一個人
[00:04:02.240 --> 00:04:03.520]  他叫「阿拿尼亞」
[00:04:03.520 --> 00:04:05.280]  進來按手在他身上
[00:04:05.280 --> 00:04:08.320]  叫他能夠看得見
[00:04:08.320 --> 00:04:10.400]  對阿拿尼亞來說
[00:04:10.400 --> 00:04:13.440]  主所說的這番話
[00:04:13.440 --> 00:04:17.680]  你有沒有發現有什麼特徵?
[00:04:17.680 --> 00:04:20.000]  主其實描述得很仔細
[00:04:20.000 --> 00:04:21.600]  描述得很清楚
[00:04:21.600 --> 00:04:23.200]  他要找誰?
[00:04:23.200 --> 00:04:26.960]  找一個名叫「素羅」的人
[00:04:26.960 --> 00:04:29.360]  「素羅」可能有很多個
[00:04:29.360 --> 00:04:32.240]  他講明是大素人「素羅」
[00:04:32.240 --> 00:04:34.480]  可能大素人「素羅」也有很多個
[00:04:34.480 --> 00:04:36.480]  他講明他在誰的家裡?
[00:04:36.480 --> 00:04:37.680]  猶太的家裡
[00:04:37.680 --> 00:04:39.520]  猶太的家裡會不會有很多個呢?
[00:04:39.520 --> 00:04:40.960]  可能有很多個
[00:04:40.960 --> 00:04:43.360]  總之他在藉街
[00:04:43.360 --> 00:04:45.360]  最後他在做一個動作
[00:04:45.360 --> 00:04:47.600]  他正在祈禱
[00:04:47.600 --> 00:04:49.120]  主這番說話
[00:04:49.120 --> 00:04:51.520]  似乎表達得很清晰
[00:04:51.520 --> 00:04:52.320]  在藉街
[00:04:52.320 --> 00:04:53.440]  在猶太的家裡
[00:04:53.440 --> 00:04:54.400]  有一個大素人
[00:04:54.400 --> 00:04:55.440]  他的名叫「素羅」
[00:04:55.440 --> 00:04:56.480]  他正在祈禱
[00:04:56.480 --> 00:04:57.760]  有沒有找錯?
[00:04:57.760 --> 00:04:58.400]  沒有
[00:04:58.400 --> 00:04:59.360]  一定是他
[00:04:59.360 --> 00:05:00.800]  確保阿拿尼亞
[00:05:00.800 --> 00:05:01.840]  第一不要聽錯
[00:05:01.840 --> 00:05:03.680]  第二不會找錯
[00:05:03.680 --> 00:05:04.800]  他還見到誰呢?
[00:05:04.800 --> 00:05:05.680]  見到自己
[00:05:05.680 --> 00:05:06.880]  異象
[00:05:06.880 --> 00:05:09.920]  見到自己 按手在他身上
[00:05:09.920 --> 00:05:12.000]  叫他能夠看見
[00:05:12.000 --> 00:05:16.240]  這就是主對阿拿尼亞的吩咐
[00:05:16.240 --> 00:05:18.640]  講了這番說話
[00:05:18.640 --> 00:05:21.360]  當阿拿尼亞聽到之後
[00:05:21.360 --> 00:05:22.240]  你就代入
[00:05:22.240 --> 00:05:25.840]  我去找一個人叫大素人「素羅」
[00:05:25.840 --> 00:05:26.960]  有什麼奇怪的?
[00:05:26.960 --> 00:05:28.160]  去找吧
[00:05:28.160 --> 00:05:30.080]  但你知道不是
[00:05:30.080 --> 00:05:33.280]  這個大素人「素羅」究竟是誰呢?
[00:05:33.280 --> 00:05:35.840]  是一個怎樣的人呢?
[00:05:35.840 --> 00:05:38.320]  一個虔誠的主的門徒
[00:05:38.320 --> 00:05:39.360]  他一定知道
[00:05:39.360 --> 00:05:41.040]  我們初信的可能不知道
[00:05:41.040 --> 00:05:42.880]  或者信久了的也會知道
[00:05:42.880 --> 00:05:44.400]  《使徒行傳》七章
[00:05:44.400 --> 00:05:47.040]  第五十七節至六十節
[00:05:47.040 --> 00:05:48.640]  告訴我們
[00:05:48.640 --> 00:05:52.240]  這個「素羅」是一個怎樣的人
[00:05:52.240 --> 00:05:55.280]  在史提反被選為執事之後
[00:05:55.280 --> 00:05:57.120]  他被聖靈充滿大有能力
[00:05:57.120 --> 00:05:59.600]  對著眾祭司長長老文士
[00:05:59.600 --> 00:06:02.880]  宣講耶穌基督是誰
[00:06:02.880 --> 00:06:04.000]  講完之後
[00:06:04.000 --> 00:06:06.640]  眾人大聲喊叫
[00:06:06.640 --> 00:06:08.800]  「撐住耳朵齊心推向前」
[00:06:08.800 --> 00:06:09.440]  那怎麼辦呢?
[00:06:09.440 --> 00:06:12.960]  湧上前將司提反推到城外
[00:06:12.960 --> 00:06:14.320]  用石頭打他
[00:06:14.320 --> 00:06:16.000]  有些人做假見證
[00:06:16.000 --> 00:06:17.920]  誣告司提反
[00:06:17.920 --> 00:06:20.240]  接著見證人把衣服
[00:06:20.240 --> 00:06:21.680]  可能打得很生氣
[00:06:21.680 --> 00:06:23.360]  把整件衣服脫下
[00:06:23.360 --> 00:06:25.520]  扔在誰的身上呢?
[00:06:25.520 --> 00:06:28.480]  就在少年人「素羅」的腳前
[00:06:28.480 --> 00:06:30.160]  看著衣服
[00:06:30.160 --> 00:06:33.360]  接著司提反跪下大聲喊著
[00:06:33.360 --> 00:06:34.720]  「說主啊,不要將」
[00:06:34.720 --> 00:06:36.400]  之前59字
[00:06:36.400 --> 00:06:38.480]  他們還用石頭打他的時候
[00:06:38.480 --> 00:06:40.000]  司提反就呼籲說
[00:06:40.000 --> 00:06:42.880]  「主啊,求你接收我的靈魂」
[00:06:42.880 --> 00:06:44.880]  他又跪下大聲喊著
[00:06:44.880 --> 00:06:48.000]  「說主啊,不要將罪歸於他們」
[00:06:48.000 --> 00:06:49.760]  講完這句話就睡了
[00:06:49.760 --> 00:06:51.760]  其實就是死了
[00:06:51.760 --> 00:06:53.120]  「素羅」接著怎樣呢?
[00:06:53.120 --> 00:06:55.280]  都喜悅他被害
[00:06:55.280 --> 00:06:57.040]  「素羅」喜悅他被害
[00:06:57.040 --> 00:06:59.840]  即是見到一個主的門徒
[00:06:59.840 --> 00:07:01.920]  即是一個執事
[00:07:01.920 --> 00:07:03.280]  宣傳耶穌的人
[00:07:03.280 --> 00:07:04.960]  被殺是開心的
[00:07:04.960 --> 00:07:07.440]  反映他是一個怎樣的人呢?
[00:07:07.440 --> 00:07:11.440]  他不是耶穌門徒一黨的人
[00:07:11.440 --> 00:07:13.600]  他是敵方的人
[00:07:13.600 --> 00:07:15.680]  或者是不喜歡門徒的人
[00:07:15.680 --> 00:07:17.520]  否則他不會開心的
[00:07:17.520 --> 00:07:19.600]  這個講的是「素羅」開心
[00:07:19.600 --> 00:07:20.720]  他不單開心
[00:07:20.720 --> 00:07:22.560]  九章第一第二節
[00:07:22.560 --> 00:07:26.480]  就是「素羅」在大馬色路上遇見主的時候
[00:07:26.480 --> 00:07:27.760]  交代他的背景
[00:07:27.760 --> 00:07:28.480]  第一第二節
[00:07:28.480 --> 00:07:30.720]  「素羅」仍然向主的門徒
[00:07:30.720 --> 00:07:34.240]  口吐威嚇兇殺的話
[00:07:34.240 --> 00:07:35.920]  去見大祭司
[00:07:35.920 --> 00:07:39.360]  求文書給大馬色的國會堂
[00:07:39.360 --> 00:07:44.080]  如果是穩著信奉者道的人
[00:07:44.080 --> 00:07:45.440]  無論男女
[00:07:45.440 --> 00:07:49.200]  都准他捆綁帶到耶路撒冷
[00:07:49.200 --> 00:07:52.160]  為什麼「素羅」要繼續
[00:07:52.160 --> 00:07:56.240]  口吐威嚇兇殺的話呢?
[00:07:56.240 --> 00:07:58.800]  擺明他不喜歡這群基督徒
[00:07:58.800 --> 00:08:00.320]  如果我們再知道他的背景
[00:08:00.320 --> 00:08:02.240]  他是一個熱心的猶太教徒
[00:08:02.240 --> 00:08:04.720]  這群人居然說耶穌是救主
[00:08:04.720 --> 00:08:05.920]  不可能的
[00:08:05.920 --> 00:08:07.360]  所以逼迫他們
[00:08:07.360 --> 00:08:09.120]  還要逼迫到一個地步
[00:08:09.120 --> 00:08:11.040]  《小行傳》第八章告訴我們
[00:08:11.040 --> 00:08:12.640]  當時門徒受逼迫
[00:08:12.640 --> 00:08:13.840]  他們就分散了
[00:08:13.840 --> 00:08:15.440]  他們從耶路撒冷走
[00:08:15.440 --> 00:08:16.720]  走到不同的地方
[00:08:16.720 --> 00:08:18.720]  其中有走到大馬色那裡
[00:08:18.720 --> 00:08:21.120]  所以「素羅」不放過他們
[00:08:21.120 --> 00:08:23.840]  要去大祭司那裡拿批文
[00:08:23.840 --> 00:08:26.400]  可以說是去警局那裡拿搜查令
[00:08:26.400 --> 00:08:29.600]  去到大馬色的地方
[00:08:29.600 --> 00:08:32.320]  來將信奉耶穌
[00:08:32.320 --> 00:08:34.240]  就是跟從耶穌的人
[00:08:34.240 --> 00:08:36.160]  捉回來受刑
