
[00:00:00.000 --> 00:00:02.000]  今次是天父的今天早上
[00:00:02.000 --> 00:00:04.000]  給我們有這個
[00:00:04.000 --> 00:00:06.000]  生命旁得算傳統的
[00:00:06.000 --> 00:00:08.000]  聖誕崇拜
[00:00:08.000 --> 00:00:10.000]  我們不單止
[00:00:10.000 --> 00:00:12.000]  大人崇拜,小朋友一同崇拜
[00:00:12.000 --> 00:00:14.000]  我們的大人
[00:00:14.000 --> 00:00:16.000]  有師班,小朋友也有師班
[00:00:16.000 --> 00:00:18.000]  見到我們大大小小
[00:00:18.000 --> 00:00:20.000]  一起去崇拜
[00:00:20.000 --> 00:00:22.000]  也可以說是敬拜
[00:00:22.000 --> 00:00:24.000]  到底這個敬拜
[00:00:24.000 --> 00:00:26.000]  在剛才大家
[00:00:26.000 --> 00:00:28.000]  所讀那段經文
[00:00:28.000 --> 00:00:30.000]  第二章裏面
[00:00:30.000 --> 00:00:32.000]  昨天晚上
[00:00:32.000 --> 00:00:34.000]  郭牧師他已經
[00:00:34.000 --> 00:00:36.000]  和大家打了個底
[00:00:36.000 --> 00:00:38.000]  所以今天我可以有些東西
[00:00:38.000 --> 00:00:40.000]  刪減了不用說
[00:00:40.000 --> 00:00:42.000]  有關希律的背景
[00:00:42.000 --> 00:00:44.000]  但我相信
[00:00:44.000 --> 00:00:46.000]  神好奇妙,不知為何
[00:00:46.000 --> 00:00:48.000]  我很早就選這段聖經
[00:00:48.000 --> 00:00:50.000]  郭牧師又選這段聖經
[00:00:50.000 --> 00:00:52.000]  到這星期才知道他用這段聖經
[00:00:52.000 --> 00:00:54.000]  他用這段聖經我不能再改
[00:00:54.000 --> 00:00:56.000]  所以他用這段聖經
[00:00:56.000 --> 00:00:58.000]  不過不同的地方就是
[00:00:58.000 --> 00:01:00.000]  昨天他從一段經文裏面
[00:01:00.000 --> 00:01:02.000]  帶給我們看
[00:01:02.000 --> 00:01:04.000]  一個永恆的盼望
[00:01:04.000 --> 00:01:06.000]  一個有盼望的人生
[00:01:06.000 --> 00:01:08.000]  但今天
[00:01:08.000 --> 00:01:10.000]  我要和弟兄姊妹透過這段聖經
[00:01:10.000 --> 00:01:12.000]  去看
[00:01:12.000 --> 00:01:14.000]  我們做神的兒女
[00:01:14.000 --> 00:01:16.000]  是基督徒的人
[00:01:16.000 --> 00:01:18.000]  我們有沒有留意到
[00:01:18.000 --> 00:01:20.000]  拜他這兩個字
