
[00:00:00.000 --> 00:00:05.000]  大家好,早前我看電視的時候
[00:00:05.000 --> 00:00:09.000]  見到有一個電視台
[00:00:09.000 --> 00:00:14.000]  將一個叫萬千光輝榮譽傳奇大獎
[00:00:14.000 --> 00:00:22.000]  頒給一個將要離開他們公司的高層管理人員
[00:00:22.000 --> 00:00:30.000]  無論你同不同意,這個人被稱為傳奇人物也好
[00:00:30.000 --> 00:00:39.000]  我相信如果用得傳奇,這兩個字其實都是在說一些不尋常的特質
[00:00:39.000 --> 00:00:42.000]  又或者你將他放在一個人那裏
[00:00:42.000 --> 00:00:49.000]  其實這個人可能在某些領域裏面都有一些超凡的成就
[00:00:49.000 --> 00:00:57.000]  而他的經歷和影響力是可以影響其他人成為典範
[00:00:57.000 --> 00:01:02.000]  其他人想學的,這樣才叫做傳奇人物
[00:01:02.000 --> 00:01:09.000]  所以如果你將傳奇這個字按照這個定義
[00:01:09.000 --> 00:01:17.000]  我相信我們坐在這裏這麼多人都沒有一個人可以說我是一個傳奇人物
[00:01:17.000 --> 00:01:23.000]  如果是這樣的話,我今天這個講題「讓生命變得傳奇」
[00:01:23.000 --> 00:01:29.000]  似乎只有一個「港」字,都不實際的,遙不可及的
[00:01:29.000 --> 00:01:31.000]  是不是這樣呢?
[00:01:31.000 --> 00:01:35.000]  在上個星期,我們有一位外來講員孔傳道
[00:01:35.000 --> 00:01:40.000]  就和我們分享了傳道書三章一至十五節
[00:01:40.000 --> 00:01:44.000]  在第三章第一節裏講到
[00:01:44.000 --> 00:01:49.000]  「凡事都有定期,天下萬物都有定時」
[00:01:49.000 --> 00:01:54.000]  他就用了這一段經文來鼓勵我們
[00:01:54.000 --> 00:02:03.000]  他說在人沒有辦法去掌握定期、定時的處境之下
[00:02:03.000 --> 00:02:08.000]  我們要好像拆禮物一樣來過我們每一天的生活
[00:02:08.000 --> 00:02:13.000]  這樣去學習,去面對我們前面的挑戰
[00:02:13.000 --> 00:02:17.000]  將焦點放回神那裏
[00:02:17.000 --> 00:02:23.000]  其實傳道書關於這個課題其實還沒有講完
[00:02:23.000 --> 00:02:26.000]  因為去到第八章的時候
[00:02:26.000 --> 00:02:33.000]  他又再一次透過八章二至五節來講到那些人
[00:02:33.000 --> 00:02:39.000]  如果一些百姓要面對很專制的君王的時候
[00:02:39.000 --> 00:02:42.000]  究竟應該怎樣生活呢?
[00:02:42.000 --> 00:02:47.000]  我們今天面對沒有辦法控制的處境
[00:02:47.000 --> 00:02:54.000]  可能未必等同傳道書八章二至五節的場景
[00:02:54.000 --> 00:03:00.000]  但是跟著由第六節開始講的這個情況
[00:03:00.000 --> 00:03:04.000]  生命真的很不容易去面對的
[00:03:04.000 --> 00:03:06.000]  究竟怎樣搞呢?
[00:03:06.000 --> 00:03:09.000]  都能夠給我們一個很好的提醒
[00:03:09.000 --> 00:03:15.000]  我們先來讀一讀八章第六至第八節的上半節
[00:03:15.000 --> 00:03:17.000]  好,預備起
[00:03:17.000 --> 00:03:21.000]  各樣事務成就都有時候和定理
[00:03:21.000 --> 00:03:25.000]  因為人的苦難重壓在他身上
[00:03:25.000 --> 00:03:27.000]  他不知道將來的事
[00:03:27.000 --> 00:03:31.000]  因為將來如何,誰能告訴他呢?
[00:03:31.000 --> 00:03:35.000]  無人有權力掌管生命,將生命留住
[00:03:35.000 --> 00:03:38.000]  也無人有權力掌管死期
[00:03:38.000 --> 00:03:40.000]  好,來到這裡
[00:03:40.000 --> 00:03:44.000]  我相信在過去這一兩個月
[00:03:44.000 --> 00:03:51.000]  大家在新聞當中都見到很多令人很難過的事情
[00:03:51.000 --> 00:03:59.000]  在澳洲悉尼有一個著名的度假景點
[00:03:59.000 --> 00:04:02.000]  Bondi Beach,邦迪海灘
[00:04:02.000 --> 00:04:03.000]  大家都看到新聞
[00:04:03.000 --> 00:04:07.000]  有一些針對猶太人的槍擊事件
[00:04:07.000 --> 00:04:11.000]  台灣有一個27歲很年輕的
[00:04:11.000 --> 00:04:16.000]  這個人在捷運台北和中山站
[00:04:16.000 --> 00:04:19.000]  扔汽油彈和燃燒彈
[00:04:19.000 --> 00:04:21.000]  然後隨機殺人
[00:04:21.000 --> 00:04:24.000]  到到及後被人追捕的時候
[00:04:24.000 --> 00:04:26.000]  就墮樓身亡
[00:04:26.000 --> 00:04:31.000]  當然我們不會忘記早前香港在大埔所發生
[00:04:31.000 --> 00:04:36.000]  令到168人失去性命的火災
[00:04:36.000 --> 00:04:40.000]  這些事件為我們帶來很多傷痛
[00:04:40.000 --> 00:04:46.000]  悲劇原來不分時間地點人物
[00:04:46.000 --> 00:04:48.000]  隨時隨地就會臨到
[00:04:48.000 --> 00:04:52.000]  就算這些事不是來到我們身上
[00:04:52.000 --> 00:04:55.000]  或者我們認識的人身上也好
[00:04:55.000 --> 00:04:59.000]  仍然會令到我們非常震驚
[00:04:59.000 --> 00:05:03.000]  為我們帶來悲傷和憤怒
[00:05:03.000 --> 00:05:07.000]  除了天災人禍之外
[00:05:07.000 --> 00:05:10.000]  其實在日常生活當中
[00:05:10.000 --> 00:05:14.000]  我們還會遇到林林種種的困難
[00:05:14.000 --> 00:05:19.000]  失業、裁員、大病、情感、創傷
[00:05:19.000 --> 00:05:21.000]  被人出賣等等的事情
