
[00:00:00.000 --> 00:00:02.000]  各位聽衆 早晨
[00:00:02.000 --> 00:00:05.500]  另外有一個powerpoint在這裏
[00:00:05.500 --> 00:00:11.500]  首先 以團經文應該很短 和大家都很熟悉
[00:00:11.500 --> 00:00:15.500]  新的命令
[00:00:15.500 --> 00:00:20.000]  當我們說我們要成為一個彼此相愛的群體
[00:00:20.000 --> 00:00:22.500]  我就在想這個世代是甚麼的群體呢
[00:00:22.500 --> 00:00:24.000]  這個世界是怎樣的呢
[00:00:24.000 --> 00:00:26.500]  我覺得我形容這個世界是一個
[00:00:26.500 --> 00:00:30.500]  自我 自愛 自私的群體
[00:00:30.500 --> 00:00:31.500]  不知大家同不同意
[00:00:31.500 --> 00:00:33.500]  怎樣自我呢 你看新聞就知道了
[00:00:33.500 --> 00:00:35.500]  新聞最多時你會見到誰
[00:00:35.500 --> 00:00:38.500]  當然是美國總統特朗普 多自我的人
[00:00:38.500 --> 00:00:41.500]  他正是說要興建那個美墨圍牆
[00:00:41.500 --> 00:00:43.500]  即是搞到國會分化
[00:00:43.500 --> 00:00:49.500]  搞到美國人那份的自由 人權的價值都被分解
[00:00:49.500 --> 00:00:52.500]  自我又是誰看到呢
[00:00:52.500 --> 00:00:54.500]  我們香港人最慘是甚麼地方
[00:00:54.500 --> 00:00:56.500]  就是找不到居住的地方
[00:00:56.500 --> 00:00:58.500]  不低山也找不到居住的地方
[00:00:58.500 --> 00:01:00.500]  死人也找不到居住的地方
[00:01:00.500 --> 00:01:02.500]  就算說你興建骨灰庵
[00:01:02.500 --> 00:01:04.500]  我們說要去到十八區
[00:01:04.500 --> 00:01:07.500]  區議會問可不可以
[00:01:07.500 --> 00:01:09.500]  諮詢的時候通常是怎樣的
[00:01:09.500 --> 00:01:12.500]  當然不要在我附近興建骨灰庵
[00:01:12.500 --> 00:01:14.500]  影響了交通 影響了設施
[00:01:14.500 --> 00:01:17.500]  影響了很多問題 不行 不行 不行
[00:01:17.500 --> 00:01:18.500]  因為自愛
[00:01:18.500 --> 00:01:20.500]  我又聽到新聞說
[00:01:20.500 --> 00:01:24.500]  珊瑚愈來愈少
[00:01:24.500 --> 00:01:26.500]  大家知不知道珊瑚愈來愈少
[00:01:26.500 --> 00:01:27.500]  為甚麼珊瑚愈來愈少呢
[00:01:27.500 --> 00:01:30.500]  因為海洋的溫度不斷上升
[00:01:30.500 --> 00:01:32.500]  當然不是上升到滾的那種
[00:01:32.500 --> 00:01:34.500]  不然就不行了
[00:01:34.500 --> 00:01:37.500]  其實背後一切原因都是因為
[00:01:37.500 --> 00:01:39.500]  氣候環境變化
[00:01:39.500 --> 00:01:42.500]  很多海洋生物都會慢慢絕種
[00:01:42.500 --> 00:01:45.500]  而且背後是甚麼原因呢
[00:01:45.500 --> 00:01:48.500]  都是人類的自私的問題
[00:01:48.500 --> 00:01:51.500]  在工業的廢棄
[00:01:51.500 --> 00:01:53.500]  很多的破壞
[00:01:53.500 --> 00:01:55.500]  斬樹木等等
[00:01:55.500 --> 00:01:56.500]  破壞環境
[00:01:56.500 --> 00:01:58.500]  所謂形容這個世代
[00:01:58.500 --> 00:02:02.500]  是一個自我 自愛 自私的年代
[00:02:02.500 --> 00:02:04.500]  不知道大家同不同意
[00:02:04.500 --> 00:02:06.500]  當我們回到教會
[00:02:06.500 --> 00:02:09.500]  我們說要成為一個彼此相愛的群體
[00:02:09.500 --> 00:02:12.500]  好像一個老生常談的熟齡教導
[00:02:12.500 --> 00:02:14.500]  特別這段經文說
