
[00:00:00.000 --> 00:00:05.000]  多謝陳醫生和我們分享一個很重要的訊息
[00:00:05.000 --> 00:00:09.000]  他一邊講的時候,我就一邊想一個很簡單的問題
[00:00:09.000 --> 00:00:11.000]  所謂究竟為甚麼
[00:00:11.000 --> 00:00:18.000]  我想起我以往的日子,曾經幾度環渡太平洋
[00:00:18.000 --> 00:00:20.000]  第一次只有二十多歲
[00:00:20.000 --> 00:00:24.000]  當時毅然離開香港的
[00:00:24.000 --> 00:00:27.000]  我叫休身口直
[00:00:27.000 --> 00:00:30.000]  太太也是離開,休身口直
[00:00:30.000 --> 00:00:34.000]  我想如果她不是辭工跟著我去捱的時候
[00:00:34.000 --> 00:00:38.000]  可能她已經做了甚麼師長都未定
[00:00:38.000 --> 00:00:42.000]  當時兩個二十多歲,拿著一點點錢
[00:00:42.000 --> 00:00:45.000]  毅然去美國,我們去公讀大學
[00:00:45.000 --> 00:00:47.000]  拍拍心口,這樣就去了
[00:00:47.000 --> 00:00:49.000]  很瀟灑的
[00:00:49.000 --> 00:00:53.000]  十五年之後,我們在香港回到美國
[00:00:53.000 --> 00:00:54.000]  移民去美國
[00:00:54.000 --> 00:00:59.000]  當時拖男帶女,那種心情就跟第一次很不同
[00:00:59.000 --> 00:01:02.000]  有些惆悵的感覺
[00:01:02.000 --> 00:01:06.000]  想想為人父親,為人母親
[00:01:06.000 --> 00:01:08.000]  小孩子還小
[00:01:08.000 --> 00:01:11.000]  去到一個都是陌生的環境
[00:01:11.000 --> 00:01:13.000]  要捱,還有一段日子
[00:01:13.000 --> 00:01:16.000]  那種心情又會很不同
[00:01:16.000 --> 00:01:20.000]  2000年,我跟我太太回來香港
[00:01:20.000 --> 00:01:22.000]  那個心情又完全不同
[00:01:22.000 --> 00:01:25.000]  我記得那晚
[00:01:25.000 --> 00:01:29.000]  我女兒在David開車回來送我們
[00:01:29.000 --> 00:01:32.000]  我們三個人抱著在那裏哭
[00:01:32.000 --> 00:01:37.000]  生離死別,一點都不容易
[00:01:37.000 --> 00:01:41.000]  下個月我跟我太太又要回去美國
[00:01:41.000 --> 00:01:44.000]  去看我兒子和他孫
[00:01:44.000 --> 00:01:47.000]  去年十一月的時候
[00:01:47.000 --> 00:01:51.000]  當我媳婦生第二個小孩子
[00:01:51.000 --> 00:01:53.000]  進去醫院
[00:01:53.000 --> 00:01:55.000]  當時我們去到美國
[00:01:55.000 --> 00:01:56.000]  告訴他們我們來探望你
[00:01:56.000 --> 00:01:58.000]  他們說不要,你們先去探會
[00:01:58.000 --> 00:02:00.000]  因為我們現在很忙
[00:02:00.000 --> 00:02:04.000]  我們去到羅省探望女兒的時候
[00:02:04.000 --> 00:02:06.000]  收到我兒子的電話
[00:02:06.000 --> 00:02:10.000]  他說已經開了一半了
[00:02:10.000 --> 00:02:14.000]  可能不會很久,寶寶就出生了
[00:02:14.000 --> 00:02:18.000]  不到半個小時,一個電話來
[00:02:18.000 --> 00:02:20.000]  有些事情不妥
[00:02:20.000 --> 00:02:22.000]  送了Anna進去急診室
[00:02:22.000 --> 00:02:27.000]  去了手術室,要馬上做手術
[00:02:27.000 --> 00:02:30.000]  十分鐘之後打電話來
[00:02:30.000 --> 00:02:34.000]  我兒子在哭
[00:02:34.000 --> 00:02:37.000]  兒子在急救
