
[00:00:00.000 --> 00:00:03.000]  我們今天的題目還是繼續來看
[00:00:03.000 --> 00:00:06.000]  可信的話的第二講
[00:00:06.000 --> 00:00:08.000]  是炫目聖躬
[00:00:08.000 --> 00:00:14.000]  我們先一起來讀提摩太前書
[00:00:14.000 --> 00:00:17.000]  我們要讀一段
[00:00:17.000 --> 00:00:20.000]  就是從第一節到第七節
[00:00:20.000 --> 00:00:28.000]  提摩太前書第三章第一節到第七節
[00:00:30.000 --> 00:00:39.000]  翻到以後請我們同聲來讀
[00:00:39.000 --> 00:00:41.000]  一起來
[00:00:41.000 --> 00:00:45.000]  人若想要得建都的職位
[00:00:45.000 --> 00:00:47.000]  就是炫目聖躬
[00:00:47.000 --> 00:00:50.000]  這話是可信的
[00:00:50.000 --> 00:00:53.000]  做建都的必須無可指載
[00:00:53.000 --> 00:00:56.000]  只做一個婦人的丈夫
[00:00:56.000 --> 00:01:00.000]  有節制、自守、端正
[00:01:00.000 --> 00:01:03.000]  樂意接待遠人、善於教導
[00:01:03.000 --> 00:01:07.000]  不飲酒、不喫事、不打人
[00:01:07.000 --> 00:01:10.000]  只要溫和、不爭敬、不貪財
[00:01:10.000 --> 00:01:13.000]  好好管理自己的家
[00:01:13.000 --> 00:01:17.000]  使兒女凡事端莊順谷
[00:01:17.000 --> 00:01:20.000]  人若不知道管理自己的家
[00:01:20.000 --> 00:01:24.000]  也能照管什麼教會呢?
[00:01:24.000 --> 00:01:27.000]  出入教的不可做監督
[00:01:27.000 --> 00:01:30.000]  恐怕他自高自大
[00:01:30.000 --> 00:01:34.000]  就落在魔鬼所受的刑罰裏
[00:01:34.000 --> 00:01:38.000]  監督也必須在教會有好名聲
[00:01:38.000 --> 00:01:40.000]  恐怕被人誹謗
[00:01:40.000 --> 00:01:43.000]  落在魔鬼的網絡裏
[00:01:43.000 --> 00:01:46.000]  我們今天就讀這段聖經
[00:01:46.000 --> 00:01:49.000]  我們的重點是在第一節
[00:01:49.000 --> 00:01:53.000]  人若想要得建都的職位
[00:01:53.000 --> 00:01:56.000]  就是炫目神功
[00:01:56.000 --> 00:01:58.000]  這話是可信的
[00:01:58.000 --> 00:02:06.000]  這些聖經是
[00:02:06.000 --> 00:02:12.000]  提摩太、前書、後書、提多書
[00:02:12.000 --> 00:02:16.000]  一般通稱爲教目書信
[00:02:16.000 --> 00:02:19.000]  這些書信裏頭
[00:02:19.000 --> 00:02:25.000]  一共有五次提到可信的話
[00:02:25.000 --> 00:02:28.000]  我們上一講的話是第一次
[00:02:28.000 --> 00:02:31.000]  就是講到提摩太、前書
[00:02:31.000 --> 00:02:35.000]  第一章第四五節所說到的
[00:02:35.000 --> 00:02:39.000]  基督耶穌降世爲要拯救罪人
[00:02:39.000 --> 00:02:41.000]  這話是可信的
[00:02:41.000 --> 00:02:44.000]  是十分可佩服的
[00:02:44.000 --> 00:02:48.000]  今天我們說的是第二個可信的話
[00:02:48.000 --> 00:02:52.000]  這裏講到人若想要得建都的職位
[00:02:52.000 --> 00:02:55.000]  就是炫目神功、善功
[00:02:55.000 --> 00:02:57.000]  這話是可信的
[00:02:57.000 --> 00:02:59.000]  還有第三個
[00:02:59.000 --> 00:03:06.000]  在提摩太、前書下來的第四章裏頭也提到
[00:03:06.000 --> 00:03:10.000]  第八節到第九節提到超量金錢
[00:03:10.000 --> 00:03:12.000]  這個話也是可信的
[00:03:12.000 --> 00:03:14.000]  是十分可佩服的
[00:03:14.000 --> 00:03:18.000]  第四個到提摩太、後書
[00:03:18.000 --> 00:03:24.000]  到第三章第八節講到我們要忍耐
[00:03:24.000 --> 00:03:28.000]  就講到我們若是能夠忍耐
[00:03:28.000 --> 00:03:31.000]  就必於基督一同作王
[00:03:31.000 --> 00:03:36.000]  還有第五次也有在提多書的第三章
[00:03:36.000 --> 00:03:39.000]  第八節也提到
[00:03:39.000 --> 00:03:44.000]  也是有一句可信的話
[00:03:44.000 --> 00:03:48.000]  就講到我們怎麼在有好的行爲
[00:03:48.000 --> 00:03:52.000]  能夠接觸好的生命的果子出來
[00:03:52.000 --> 00:03:54.000]  一共有五次
[00:03:54.000 --> 00:03:56.000]  我們分別都要看一看
[00:03:56.000 --> 00:03:58.000]  第一次我們看到
