
[00:00:00.000 --> 00:00:05.300]  菲利比書是一個喜樂的書
[00:00:05.300 --> 00:00:10.440]  菲利比書一共有十六次講到喜樂
[00:00:10.440 --> 00:00:13.780]  四章的聖經有十六次講到喜樂
[00:00:13.780 --> 00:00:17.380]  算算看 一章大概講了幾次
[00:00:17.380 --> 00:00:19.080]  當然不是平均的分配
[00:00:19.080 --> 00:00:23.540]  但是你算算看 一章講了幾次
[00:00:23.540 --> 00:00:26.800]  四四十六嘛 是吧
[00:00:26.800 --> 00:00:30.760]  所以這是一卷充滿喜樂的書信
[00:00:30.760 --> 00:00:32.480]  但是請丟姊妹告訴我
[00:00:32.480 --> 00:00:34.320]  保羅寫菲利比書的時候
[00:00:34.320 --> 00:00:36.880]  他是在哪裡寫的
[00:00:36.880 --> 00:00:38.440]  在哪裡
[00:00:38.440 --> 00:00:40.440]  在監獄寫的
[00:00:40.440 --> 00:00:42.840]  他在坐監牢寫的
[00:00:42.840 --> 00:00:44.240]  現在丟姊妹
[00:00:44.240 --> 00:00:48.000]  今天我們如果是在一個風平浪靜
[00:00:48.000 --> 00:00:49.960]  生活順利的情況之下
[00:00:49.960 --> 00:00:52.080]  你在那邊寫喜樂喜樂
[00:00:52.080 --> 00:00:53.800]  這沒什麼了不起
[00:00:53.800 --> 00:00:57.960]  但是卻是在一個監獄的裡面
[00:00:57.960 --> 00:00:59.700]  在一個困難的中間
[00:00:59.700 --> 00:01:02.680]  保羅寫了這一卷書信
[00:01:02.680 --> 00:01:05.320]  這是今天我們非常需要的是嗎
[00:01:05.320 --> 00:01:06.640]  因為今天這個時代
[00:01:06.640 --> 00:01:09.080]  也就是一個充滿了困難
[00:01:09.080 --> 00:01:10.920]  充滿了苦難的一個時代
[00:01:10.920 --> 00:01:12.240]  打開報紙一看
[00:01:12.240 --> 00:01:13.560]  到處都是這些問題
[00:01:13.560 --> 00:01:14.480]  是不是
[00:01:14.480 --> 00:01:18.320]  可是我們今天要再一次來看見
[00:01:18.320 --> 00:01:24.400]  喜樂是何等的重要
