
[00:00:00.000 --> 00:00:04.860]  今次有機會和大家一起在聖誕節前敬拜
[00:00:04.860 --> 00:00:06.860]  我選了這個題目
[00:00:06.860 --> 00:00:09.900]  叫做「得生命的書,聖經」
[00:00:09.900 --> 00:00:13.200]  為何要講這麼普通的題目?
[00:00:13.200 --> 00:00:16.400]  講聖經我們從做基督徒開始
[00:00:16.400 --> 00:00:21.600]  牧師、導師經常叫我們看聖經
[00:00:21.600 --> 00:00:25.660]  其實大家知道聖誕節快要來
[00:00:25.660 --> 00:00:29.100]  聖誕節的主角是誰?
[00:00:29.100 --> 00:00:31.560]  當然不是聖誕老人
[00:00:31.560 --> 00:00:35.760]  但這個時代很多人只想到聖誕老人也不一定
[00:00:35.760 --> 00:00:40.000]  但我們知道聖誕節的主角應該是耶穌
[00:00:40.000 --> 00:00:43.500]  但我們怎樣能夠認識這個耶穌呢?
[00:00:43.500 --> 00:00:46.500]  今日如果沒有聖經的話
[00:00:46.500 --> 00:00:51.600]  可能在歷史上大概都知道有這樣的人物
[00:00:51.600 --> 00:00:54.400]  因為在一些羅馬的歷史學家
[00:00:54.400 --> 00:00:57.000]  都有些很稀少的記載
[00:00:57.000 --> 00:01:00.600]  或者另一個猶太的歷史學家約瑟夫
[00:01:00.600 --> 00:01:06.700]  有一段被很多人修改過的記載
[00:01:06.700 --> 00:01:08.700]  提及過耶穌這個人
[00:01:08.700 --> 00:01:10.300]  但究竟他是誰呢?
[00:01:10.300 --> 00:01:12.100]  他是怎樣的人呢?
[00:01:12.100 --> 00:01:18.100]  為何他今天會成為整個世界影響力最大的人物呢?
[00:01:18.100 --> 00:01:21.400]  如果沒有聖經的話我們根本不會認識他
[00:01:21.400 --> 00:01:25.000]  所以從小到大或者從一個基督徒來說
[00:01:25.000 --> 00:01:28.100]  你知道就像約瑟夫所說的
[00:01:28.100 --> 00:01:31.100]  基督教信仰是一本書的信仰
[00:01:31.100 --> 00:01:33.100]  沒有了這本書
[00:01:33.100 --> 00:01:35.100]  哪一個神我敬拜的
[00:01:35.100 --> 00:01:36.400]  可能我都不知道
[00:01:36.400 --> 00:01:39.200]  因為今日很多人都是拜神的
[00:01:39.200 --> 00:01:41.700]  今日我們信的耶穌是怎樣的
[00:01:41.700 --> 00:01:43.700]  沒有人知道
[00:01:43.700 --> 00:01:46.800]  所以任何的政權要消滅基督教的話
[00:01:46.800 --> 00:01:50.300]  第一件事一定是燒聖經
[00:01:50.300 --> 00:01:52.100]  可能最接近的我們知道
[00:01:52.100 --> 00:01:54.400]  就是我們自己的祖國大地
[00:01:54.400 --> 00:01:57.000]  只是1966年的12月
[00:01:57.000 --> 00:01:59.700]  當時的政府
[00:01:59.700 --> 00:02:03.100]  是決定用最激烈的方法去取消、消滅宗教
[00:02:03.100 --> 00:02:04.300]  不只是基督教
[00:02:04.300 --> 00:02:07.300]  佛教、道教都一樣
[00:02:07.300 --> 00:02:08.900]  第一件事就是
[00:02:08.900 --> 00:02:10.600]  消滅基督教就是
[00:02:10.600 --> 00:02:14.500]  要所有信徒在家裏帶著聖經回禮拜堂
[00:02:14.500 --> 00:02:19.800]  也要把禮拜堂的聖經拿出空地去燒掉
[00:02:19.800 --> 00:02:21.200]  大概十年前
[00:02:21.200 --> 00:02:25.900]  當廣東廣州市最大的禮拜堂叫東山堂
[00:02:25.900 --> 00:02:29.600]  是復堂二十週年的時候叫我去講培靈會
[00:02:29.600 --> 00:02:32.400]  我遇到那位當時在1966年
[00:02:32.400 --> 00:02:34.900]  仍然在做主任牧師的師母
[00:02:34.900 --> 00:02:37.100]  因為牧師已經過世了
[00:02:37.100 --> 00:02:38.300]  他跟我說
[00:02:38.300 --> 00:02:42.100]  怎樣當日在哪個地方
[00:02:42.100 --> 00:02:43.800]  含著眼淚
[00:02:43.800 --> 00:02:47.200]  看著那些聖經被燒了
[00:02:47.200 --> 00:02:50.300]  很多西方的宣教士、差會
[00:02:50.300 --> 00:02:54.500]  都以為基督教又再一次在中國消失
[00:02:54.500 --> 00:02:58.400]  因為基督教由第七世紀就開始來中國
[00:02:58.400 --> 00:03:00.500]  在前面的三次
[00:03:00.500 --> 00:03:04.000]  到最後是消失了
[00:03:04.000 --> 00:03:06.700]  這次由十九世紀
[00:03:06.700 --> 00:03:08.400]  有百多年
[00:03:08.400 --> 00:03:13.200]  有很多很多的西教士來過中國犧牲他們的生命
[00:03:13.200 --> 00:03:16.600]  但以為又再一次消失了
[00:03:16.600 --> 00:03:18.600]  但是感謝主
[00:03:18.600 --> 00:03:21.100]  因為人以為看見的東西消失了
[00:03:21.100 --> 00:03:23.100]  就沒有基督教信仰了
[00:03:23.100 --> 00:03:24.900]  禮拜堂關了門
[00:03:24.900 --> 00:03:27.400]  聖經、撰密師燒了
[00:03:27.400 --> 00:03:31.500]  牧師全都去了做勞動教育
[00:03:31.500 --> 00:03:34.700]  但原來聖經這本書
[00:03:34.700 --> 00:03:37.800]  已經在很多信徒的心裏面
[00:03:37.800 --> 00:03:40.000]  而另一方面更加重要
[00:03:40.000 --> 00:03:41.500]  就是原來那些信徒
[00:03:41.500 --> 00:03:44.000]  根本用手就抄了整本聖經
[00:03:44.000 --> 00:03:46.700]  你可不可以想像
[00:03:46.700 --> 00:03:50.400]  在八年前香港其實有一個聖經展覽
[00:03:50.400 --> 00:03:55.000]  就是中國大陸的政府支持大陸的教會來香港做一個聖經展覽
[00:03:55.000 --> 00:03:57.700]  當中展覽了很多聖經的版本
[00:03:57.700 --> 00:04:02.500]  當然包括了一本當日西教士送給慈禧太后生的禮物
[00:04:02.500 --> 00:04:03.800]  聖經
[00:04:03.800 --> 00:04:05.800]  但更加令人吸引的就是
[00:04:05.800 --> 00:04:08.100]  有很多手抄的
[00:04:08.100 --> 00:04:09.500]  很細的字
[00:04:09.500 --> 00:04:10.900]  很工整的
[00:04:10.900 --> 00:04:12.500]  有很多版本
[00:04:12.500 --> 00:04:14.500]  因為在文革的時候
[00:04:14.500 --> 00:04:16.000]  很多基督徒
[00:04:16.000 --> 00:04:18.000]  不斷地抄寫聖經
[00:04:18.000 --> 00:04:19.600]  去大家傳遞
[00:04:19.600 --> 00:04:21.700]  去大家閱讀
