
[00:00:00.000 --> 00:00:07.000]  觀眾:大家好,我相信無論在甚麼生命階段
[00:00:07.000 --> 00:00:11.000]  在我們的日常生活當中
[00:00:11.000 --> 00:00:16.000]  我們常常都需要做大大小小的決定
[00:00:16.000 --> 00:00:18.000]  當我們做決定的時候
[00:00:18.000 --> 00:00:24.000]  我們都會覺得夠不夠資料去做這個決定呢?
[00:00:24.000 --> 00:00:32.000]  又或者這個決定的後果可能很嚴重
[00:00:32.000 --> 00:00:35.000]  於是我們做這個決定的時候
[00:00:35.000 --> 00:00:38.000]  我們就會覺得很為難
[00:00:38.000 --> 00:00:41.000]  在第二次世界大戰的時候
[00:00:41.000 --> 00:00:43.000]  英國的首相是邱吉爾
[00:00:43.000 --> 00:00:51.000]  當時他正是被迫要做出一個很痛苦的抉擇
[00:00:51.000 --> 00:00:52.000]  事情是怎樣呢?
[00:00:52.000 --> 00:00:57.000]  因為英國的軍情六處
[00:00:57.000 --> 00:01:02.000]  就是相對於美國的中央情報局
[00:01:02.000 --> 00:01:07.000]  裏面的特工就收到一個消息
[00:01:07.000 --> 00:01:14.000]  就是說他們破解了納粹德軍的密碼
[00:01:14.000 --> 00:01:17.000]  得出來的信息是甚麼呢?
[00:01:17.000 --> 00:01:25.000]  原來就是納粹德軍將要轟炸英國一個地方叫做Coventry
[00:01:25.000 --> 00:01:27.000]  這個名字這麼熟悉
[00:01:27.000 --> 00:01:33.000]  因為早前我們去英國短訊就去過這個地方
[00:01:33.000 --> 00:01:38.000]  如果邱吉爾首相
[00:01:38.000 --> 00:01:43.000]  他是通知Coventry這個地方的人
[00:01:43.000 --> 00:01:47.000]  要撤走避開轟炸的話
[00:01:47.000 --> 00:01:53.000]  當然可以救回當地地方的人命
[00:01:53.000 --> 00:01:58.000]  不過就變相告訴納粹德軍
[00:01:58.000 --> 00:02:02.000]  原來我們已經破解了你的密碼
[00:02:02.000 --> 00:02:07.000]  第二個選擇就是當看不到
[00:02:07.000 --> 00:02:09.000]  由得他炸
[00:02:09.000 --> 00:02:11.000]  好處是甚麼呢?
[00:02:11.000 --> 00:02:16.000]  就是可能會救回更多的人命
[00:02:16.000 --> 00:02:19.000]  當時的邱吉爾
[00:02:19.000 --> 00:02:24.000]  結果選擇了第二個選項
[00:02:24.000 --> 00:02:31.000]  眼巴巴就是看著當地的人被轟炸
[00:02:31.000 --> 00:02:35.000]  來到《四條行傳》二十一章
[00:02:35.000 --> 00:02:41.000]  保羅又面對甚麼艱難的抉擇呢?
[00:02:41.000 --> 00:02:44.000]  整個二十一章的聖經很長
[00:02:44.000 --> 00:02:47.000]  我只選了前半段
[00:02:47.000 --> 00:02:51.000]  第一至第十四節來跟大家分享
[00:02:51.000 --> 00:02:54.000]  而我會先講頭半段
[00:02:54.000 --> 00:02:59.000]  請大家一起讀第一至第六節的聖經
[00:02:59.000 --> 00:03:01.000]  第一至第六節
[00:03:01.000 --> 00:03:03.000]  好 預備起
[00:03:03.000 --> 00:03:05.000]  我們離別了眾人
[00:03:05.000 --> 00:03:08.000]  就開船一直到戈士
[00:03:08.000 --> 00:03:10.000]  第二天到了羅底
[00:03:10.000 --> 00:03:12.000]  從那裡到帕大拉
[00:03:12.000 --> 00:03:15.000]  遇見一隻船要往菲尼基去
[00:03:15.000 --> 00:03:17.000]  就上船起行
[00:03:17.000 --> 00:03:19.000]  望見居比路
[00:03:19.000 --> 00:03:23.000]  就從南邊行過往敘利亞去
[00:03:23.000 --> 00:03:25.000]  我們就在推羅上岸
[00:03:25.000 --> 00:03:28.000]  因為船要在那裡卸貨
[00:03:28.000 --> 00:03:30.000]  找著了門徒
[00:03:30.000 --> 00:03:32.000]  就在那裡住了七天
[00:03:32.000 --> 00:03:34.000]  他們被聖靈感動
[00:03:34.000 --> 00:03:36.000]  對保羅說
[00:03:36.000 --> 00:03:38.000]  不要上耶路撒冷去
[00:03:38.000 --> 00:03:40.000]  過了這幾天
[00:03:40.000 --> 00:03:42.000]  我們就起身前行
[00:03:42.000 --> 00:03:45.000]  他們眾人和妻子兒女
[00:03:45.000 --> 00:03:47.000]  送我們到城外
[00:03:47.000 --> 00:03:50.000]  我們都跪在岸上禱告
[00:03:50.000 --> 00:03:52.000]  彼此辭別
[00:03:52.000 --> 00:03:53.000]  我們上了船
[00:03:53.000 --> 00:03:56.000]  他們就回家去了
[00:03:56.000 --> 00:03:58.000]  過去這幾個星期的講道
[00:03:58.000 --> 00:04:00.000]  我們不同的教務同工
