
[00:00:00.000 --> 00:00:03.480]  首先在此要向線上的電影姊妹們大家招呼
[00:00:03.480 --> 00:00:08.380]  我們一年多 接近兩年的防疫時間裏
[00:00:08.380 --> 00:00:09.580]  香港人已經適應了
[00:00:09.580 --> 00:00:12.380]  我們的改變能力很大
[00:00:12.380 --> 00:00:14.380]  我們的適應能力很高
[00:00:14.380 --> 00:00:18.520]  我們現在又由實體轉為線上
[00:00:18.520 --> 00:00:24.300]  我們希望今年初五初六可以回復正常
[00:00:24.300 --> 00:00:24.940]  回到實體
[00:00:24.940 --> 00:00:31.580]  因為我們見到廣福堂有很多很漂亮的無筆字的對聯
[00:00:31.580 --> 00:00:34.080]  新年 希望你們在初五回來還可以看到
[00:00:34.080 --> 00:00:37.460]  因為新年期間還可以拜年
[00:00:37.460 --> 00:00:41.160]  在這個疫情我們預計
[00:00:41.160 --> 00:00:42.200]  我不是專家
[00:00:42.200 --> 00:00:46.000]  相信很邏輯地預計如果沒有突變的話
[00:00:46.000 --> 00:00:50.240]  要回復2018年最少要兩至三年的時間
[00:00:50.240 --> 00:00:52.040]  但這兩至三年的時間裏面
[00:00:52.040 --> 00:00:54.940]  我們科技的發展是相當之恐怖的
[00:00:54.940 --> 00:00:57.800]  例如我們有很多電影姊妹還未聽到
[00:00:57.800 --> 00:01:00.380]  或者有些聽過的元宇宙的出現
[00:01:00.380 --> 00:01:03.180]  如果元宇宙能夠因為疫情的緣故
[00:01:03.180 --> 00:01:05.880]  可以加速地進行的話
[00:01:05.880 --> 00:01:07.280]  就算我們線上
[00:01:07.280 --> 00:01:11.920]  我們可以戴一個3D眼鏡就好像在現場一樣
[00:01:11.920 --> 00:01:13.700]  你的感覺就會不一樣
[00:01:13.700 --> 00:01:16.500]  我們見到SpaceX在美國
[00:01:16.500 --> 00:01:22.860]  他的計劃就是會調12000隻人造衛星上我們的上空
[00:01:22.860 --> 00:01:25.840]  在年底將會有新的電話出現
[00:01:25.840 --> 00:01:29.080]  這個電話只要你買了之後就不需要交月費
[00:01:29.080 --> 00:01:31.080]  因為它是一個人造衛星電話
[00:01:31.080 --> 00:01:37.680]  如果再加上量子電腦的發展如果是成熟的話
[00:01:37.680 --> 00:01:41.360]  我們相信明年年初有一個很大的變革
[00:01:41.360 --> 00:01:42.660]  未來十年
[00:01:42.660 --> 00:01:45.360]  你願意也好 不願意也好
[00:01:45.360 --> 00:01:48.800]  我們會進入一個很新的科技的世代
[00:01:48.800 --> 00:01:53.940]  我們整個生活虛擬和現實已經分不開的時候
[00:01:53.940 --> 00:01:55.040]  會怎樣呢
[00:01:55.040 --> 00:01:56.800]  這個是我們新的課題
[00:01:56.800 --> 00:02:00.880]  我們整個成長過程在這一年多兩年
[00:02:00.880 --> 00:02:03.920]  我們都不斷碰到很大的挫折
[00:02:03.920 --> 00:02:07.680]  因為我們未嘗試過這樣的生活
[00:02:07.680 --> 00:02:09.980]  在未嘗試過這樣的生活裏面
[00:02:09.980 --> 00:02:12.680]  我們有很多的思考
[00:02:12.680 --> 00:02:15.620]  所以今天我想跟大家說的題目是由我作主
[00:02:15.620 --> 00:02:17.000]  因為我們整個成長過程
[00:02:17.000 --> 00:02:21.300]  從小到大其實有一個任務是很重要的
[00:02:21.300 --> 00:02:24.000]  就是我們學習怎樣做決定
[00:02:24.000 --> 00:02:27.000]  現在年輕一代他們的問題是我們大人造成的
[00:02:27.000 --> 00:02:31.540]  當然我們不可以將這個責任推給年輕人
[00:02:31.540 --> 00:02:34.240]  有部分年輕人在他們成長過程裏面
[00:02:34.240 --> 00:02:40.080]  由幼稚園到大學甚至去結婚都是由父母作主
[00:02:40.080 --> 00:02:45.280]  換句話說他從小到大都不懂得去做決定
[00:02:45.280 --> 00:02:47.920]  這個就是他人生的悲哀
[00:02:47.920 --> 00:02:51.160]  因為這樣的緣故就怕做錯決定
[00:02:51.160 --> 00:02:54.060]  我去過一些名校裏面校長告訴我
[00:02:54.060 --> 00:02:59.600]  學生答問題的時候是非題或者選擇題
[00:02:59.600 --> 00:03:03.340]  可以選擇空白不回答的
[00:03:03.340 --> 00:03:05.100]  我們頑皮的學生就不是
[00:03:05.100 --> 00:03:08.240]  頑皮就是選擇題不懂回答不要緊隨便選
[00:03:08.240 --> 00:03:10.540]  因為選了有機會選對
[00:03:10.540 --> 00:03:15.040]  但不選原因是怕選錯是不是很奇怪的事
[00:03:15.040 --> 00:03:17.780]  怕選錯所以空白了不回答
[00:03:17.780 --> 00:03:23.120]  這個原因就是整個成長就很怕我們會選錯
[00:03:23.120 --> 00:03:25.420]  我們還有一個心理學家叫William Garza
[00:03:25.420 --> 00:03:28.660]  今天我講的內容是比較複雜的
[00:03:28.660 --> 00:03:31.800]  我過往來說都不會講很深的道
[00:03:31.800 --> 00:03:33.440]  但今天不深但是複雜
[00:03:33.440 --> 00:03:37.140]  所以現在在線上我們有兩件事可以做
[00:03:37.140 --> 00:03:39.940]  第一就是你打電話繼續邀請朋友上來聽
[00:03:39.940 --> 00:03:44.040]  第二就是今天要比較專注一點你才聽得到
[00:03:44.040 --> 00:03:48.540]  線上有一個壞處就是你聽到一段時間你就會走
[00:03:48.540 --> 00:03:52.420]  但我很願意今天都是在線上習慣去到最尾
[00:03:52.420 --> 00:03:55.880]  完整我們整個崇拜好像實體崇拜一樣才離開
[00:03:55.880 --> 00:04:00.460]  我們見到William Garza就說了解自己認識自己的完全行為
[00:04:00.460 --> 00:04:05.300]  有四方面我用了前面兩個車輪後面兩個車輪去表達了
[00:04:05.300 --> 00:04:07.960]  讓我們簡單地了解和明白
[00:04:07.960 --> 00:04:10.860]  後面的車輪的右邊就是我們的身體狀況
[00:04:10.860 --> 00:04:16.440]  而下面的車輪就是我們的感受
[00:04:16.440 --> 00:04:19.080]  原來兩者是很大關係的
[00:04:19.080 --> 00:04:22.740]  我們的身體會影響我們的情緒
[00:04:22.740 --> 00:04:26.180]  我們的情緒會影響我們的身體是互為的
[00:04:26.180 --> 00:04:28.780]  很多時候我們的決定是因為我們身體的緣故
[00:04:28.780 --> 00:04:31.020]  我們太累了不想出街所以不出街
[00:04:31.020 --> 00:04:35.400]  不是我不出不過太累了所以不想出街
[00:04:35.400 --> 00:04:41.300]  最近我們突然間少了很多人在街上很明顯的
[00:04:41.300 --> 00:04:46.140]  宣佈了六點後不出去吃飯之後大家都不敢出街
[00:04:46.140 --> 00:04:47.480]  原因是什麼呢
[00:04:47.480 --> 00:04:49.180]  不是不想吃飯是很害怕
[00:04:49.180 --> 00:04:52.180]  因為香港人現在就不怕聽到Omicron
[00:04:52.180 --> 00:04:54.220]  最怕聽到的是什麼呢
[00:04:54.220 --> 00:04:56.420]  就是竹篙灣
[00:04:56.420 --> 00:05:00.980]  竹篙灣這三個發音是比Omicron更加恐怖
[00:05:00.980 --> 00:05:03.220]  我們現在更加不知道怎麼搞
[00:05:03.220 --> 00:05:07.700]  因為今早我和加拿大一些大型通電話
[00:05:07.700 --> 00:05:12.160]  加拿大的華人社區基本上他們地大物博
[00:05:12.160 --> 00:05:14.360]  人與人的距離很遠
[00:05:14.360 --> 00:05:18.600]  他們不斷戴口罩西人未必戴口罩
[00:05:18.600 --> 00:05:22.180]  華人一般上都戴口罩都不出街吃飯的
[00:05:22.180 --> 00:05:27.120]  他們只是出了一次街在食堂那裡脫下口罩吃飯
[00:05:27.120 --> 00:05:32.680]  隔離枱是1.5米簡直是5.6米
[00:05:32.680 --> 00:05:36.260]  都中 都中 不知道為什麼會中
[00:05:36.260 --> 00:05:38.860]  現在我們香港幾個個案都不知道什麼原因會中
[00:05:38.860 --> 00:05:40.660]  是完全不清楚
[00:05:40.660 --> 00:05:42.300]  這樣的情況下我們又害怕
[00:05:42.300 --> 00:05:44.560]  害怕我們就不出去
[00:05:44.560 --> 00:05:47.300]  身體沒問題的
[00:05:47.300 --> 00:05:49.560]  但是我們的感覺不好所以我們不出去
[00:05:49.560 --> 00:05:52.140]  我們發覺在前面的部分
[00:05:52.140 --> 00:05:55.680]  就是有外顯的行為和思想的模式
[00:05:55.680 --> 00:05:58.180]  我們的行為受到我們思想模式的影響
[00:05:58.180 --> 00:06:01.940]  我們小時候爸爸媽媽跟我們講的格言
[00:06:01.940 --> 00:06:04.220]  我那一代我爸爸的格言是講什麼
[00:06:04.220 --> 00:06:07.080]  人人為我 我為人人 很偉大的
[00:06:07.080 --> 00:06:11.920]  但是當有這樣的格言的時候就影響了你整個行為
[00:06:11.920 --> 00:06:14.760]  就是我爸爸可以出糧之後
[00:06:14.760 --> 00:06:16.900]  因為有朋友說他有急需
[00:06:16.900 --> 00:06:20.200]  他將那份糧的一半就借給他
[00:06:20.200 --> 00:06:22.900]  回來就給家用給少了
[00:06:22.900 --> 00:06:26.740]  我媽媽那時候可以是因為這樣的緣故大發脾氣
[00:06:26.740 --> 00:06:29.040]  但是我爸爸那一代就說
[00:06:29.040 --> 00:06:32.080]  為朋友嘛 你明不明白
