
[00:00:00.000 --> 00:00:02.520]  各位大嬸姊妹,早安!
[00:00:02.520 --> 00:00:07.180]  感謝主的恩典,又有我們一齊在此崇拜聽上帝話語的時間
[00:00:07.180 --> 00:00:09.220]  讓我們先做一次同心的禱告
[00:00:09.220 --> 00:00:18.800]  愛我們的恩主,又賜給我們生命的良上帝
[00:00:18.800 --> 00:00:21.800]  我們向祢獻上禱告,願祢賜福我們
[00:00:21.800 --> 00:00:24.800]  讓我們今天在這麼好的清晨
[00:00:24.800 --> 00:00:28.200]  在這麼舒服的環境裏面都去留心聽祢的話
[00:00:28.200 --> 00:00:31.600]  並且將祢的話語在生命當中好好地走出來
[00:00:31.600 --> 00:00:33.300]  有願僕人口中的言語
[00:00:33.300 --> 00:00:34.800]  弟兄姊妹之間心思意念
[00:00:34.800 --> 00:00:36.800]  蒙聖靈的啟迪,蒙主的月立
[00:00:36.800 --> 00:00:39.800]  禱告奉耶穌基督的名,阿們
[00:00:39.800 --> 00:00:43.800]  各位弟兄姊妹,過去這幾晚你睡得好不好?
[00:00:43.800 --> 00:00:45.800]  為什麼這樣問呢?
[00:00:45.800 --> 00:00:48.800]  可能當中有些弟兄姊妹是很忙碌地看奧運
[00:00:48.800 --> 00:00:51.800]  是不是?可能是在追一些比賽
[00:00:51.800 --> 00:00:54.800]  又或者可能弟兄姊妹是在放暑假
[00:00:54.800 --> 00:00:56.800]  當中有很多青年人,有些休息的時間
[00:00:56.800 --> 00:00:58.800]  又或者天氣的緣故
[00:00:58.800 --> 00:01:00.800]  可能因為身體的緣故都睡得不太好
[00:01:00.800 --> 00:01:02.800]  過去這幾天我都睡得叫做OK
[00:01:02.800 --> 00:01:04.800]  因為我家裏看不到奧運
[00:01:04.800 --> 00:01:06.800]  看不到電視,因為住的地方收不到
[00:01:06.800 --> 00:01:08.800]  所以就看少一點
[00:01:08.800 --> 00:01:10.800]  另一方面就都休息得很好
[00:01:10.800 --> 00:01:13.800]  但是同一時間我不斷地去看新聞
[00:01:13.800 --> 00:01:14.800]  看很多的資料
[00:01:14.800 --> 00:01:16.800]  都令我有些東西睡不著
[00:01:16.800 --> 00:01:18.800]  一方面可能剛才在禱告當中大家都想起
[00:01:18.800 --> 00:01:21.800]  就是香港一些的課程要設計
[00:01:21.800 --> 00:01:23.800]  令到很多人很擔心,所以很多的表達
[00:01:23.800 --> 00:01:27.800]  同樣地可能因為有很多不同的新聞
[00:01:27.800 --> 00:01:29.800]  譬如奧運我們剛剛有新的新聞
[00:01:29.800 --> 00:01:31.800]  我們香港人拿到獎牌很開心
[00:01:31.800 --> 00:01:34.800]  又或者有不同的新聞表達不同的狀況
[00:01:34.800 --> 00:01:35.800]  今早我看了一篇新聞
[00:01:35.800 --> 00:01:38.800]  就說有一間酒樓要結業
[00:01:38.800 --> 00:01:42.800]  原因是因為業主是加租
[00:01:42.800 --> 00:01:43.800]  加很多的租
[00:01:43.800 --> 00:01:45.800]  所以那個酒樓就說
[00:01:45.800 --> 00:01:46.800]  好了,我都是不做了
[00:01:46.800 --> 00:01:47.800]  我們酒樓不是有問題
[00:01:47.800 --> 00:01:49.800]  不過不在這裏做了,再找地方吧
[00:01:49.800 --> 00:01:52.800]  這些新聞其實不是新鮮的
[00:01:52.800 --> 00:01:53.800]  都經常見到的
[00:01:53.800 --> 00:01:56.800]  就是加租,很多東西結業
[00:01:56.800 --> 00:01:58.800]  很多人很辛苦地找工作
[00:01:58.800 --> 00:02:00.800]  今天我和大家分享一個題目
[00:02:00.800 --> 00:02:03.800]  叫做追求不餓不渴的生活
[00:02:03.800 --> 00:02:05.800]  如果我告訴你
