
[00:00:00.000 --> 00:00:04.760]  今日的講題是:耶穌最關心你的什麼呢?
[00:00:04.760 --> 00:00:08.760]  耶穌最關心的你是什麼呢?
[00:00:08.760 --> 00:00:10.400]  既然今天講到葡萄樹
[00:00:10.400 --> 00:00:11.720]  剛才讀的經文
[00:00:11.720 --> 00:00:18.360]  我也講一個有關樹很有意思的小故事給大家聽聽
[00:00:18.360 --> 00:00:21.200]  有一棵樹長在後院
[00:00:21.200 --> 00:00:23.320]  有一棵蘋果樹
[00:00:23.320 --> 00:00:25.160]  這棵蘋果樹最快樂的時候
[00:00:25.160 --> 00:00:28.920]  就是小男孩在那棵樹上走來走去
[00:00:28.920 --> 00:00:31.480]  爬上去吃蘋果
[00:00:31.480 --> 00:00:37.040]  在樹枝裡打打鞦韆
[00:00:37.040 --> 00:00:40.440]  或者在樹影下睡覺
[00:00:40.440 --> 00:00:44.920]  這是一段很快樂無憂的日子
[00:00:44.920 --> 00:00:47.880]  當小男孩漸漸長大的時候
[00:00:47.880 --> 00:00:51.200]  他與樹相處的時間就越來越少
[00:00:51.200 --> 00:00:55.600]  樹看到他的時候就叫他來跟我一起玩
[00:00:55.600 --> 00:00:57.760]  但那時候他已經是年輕人
[00:00:57.760 --> 00:01:00.160]  一心只想賺錢
[00:01:00.160 --> 00:01:04.640]  樹就說:你拿我的蘋果去賣就有錢了
[00:01:04.640 --> 00:01:06.440]  果然他就這樣做了
[00:01:06.440 --> 00:01:08.960]  樹就很快樂
[00:01:08.960 --> 00:01:11.120]  他很久都沒有回來
[00:01:11.120 --> 00:01:12.560]  有一次他經過
[00:01:12.560 --> 00:01:17.240]  樹微笑地對他說:來吧,爬上來坐坐吧
[00:01:17.240 --> 00:01:21.680]  但那個人只想遊山玩水
[00:01:21.680 --> 00:01:24.080]  他想拋下以前的一切
[00:01:24.080 --> 00:01:25.800]  想出去玩一下
[00:01:25.800 --> 00:01:29.280]  樹就說:你將我的木頭砍下來
[00:01:29.280 --> 00:01:33.040]  然後將我的樹幹做成一隻船
[00:01:33.040 --> 00:01:35.480]  你就可以去航行了
[00:01:35.480 --> 00:01:37.440]  那個人果然這樣做
[00:01:37.440 --> 00:01:39.960]  樹就很開心了
[00:01:39.960 --> 00:01:42.040]  過了不知幾多的季節
[00:01:42.040 --> 00:01:43.440]  春去秋來
[00:01:43.440 --> 00:01:44.920]  樹都在那裡等
[00:01:44.920 --> 00:01:47.520]  最後老人家就回來了
[00:01:47.520 --> 00:01:49.600]  帶著這個疲乏的身體
[00:01:49.600 --> 00:01:50.800]  就不可以再玩了
[00:01:50.800 --> 00:01:52.800]  又不可以去旅行了
[00:01:52.800 --> 00:01:56.040]  已經無力去追求這些財富了
[00:01:56.040 --> 00:01:58.840]  樹就說:不要緊,我還有一個樹等
[00:01:58.840 --> 00:02:01.600]  你過來休息一下,坐一下吧
[00:02:01.600 --> 00:02:03.320]  他果然這樣做
[00:02:03.320 --> 00:02:06.320]  樹就很快樂了
[00:02:06.320 --> 00:02:10.440]  不知道大家聽到這個故事有什麼想法呢?
[00:02:10.440 --> 00:02:14.680]  其實我們人生裡也擁有很多捨己的樹
[00:02:14.680 --> 00:02:16.600]  不少人關心我們
[00:02:16.600 --> 00:02:19.200]  也願意犧牲自己的一部分
[00:02:19.200 --> 00:02:21.280]  以致我們可以成長
[00:02:21.280 --> 00:02:23.280]  可以達成一些目標
[00:02:23.280 --> 00:02:26.560]  可以有滿足,可以有歡樂
[00:02:26.560 --> 00:02:28.560]  所以來到2026年
