
[00:00:00.000 --> 00:00:04.500]  大兄姐妹平安,請我們先一齊祈禱
[00:00:04.500 --> 00:00:07.500]  真是天父,我們感謝祢至於恩典
[00:00:07.500 --> 00:00:10.500]  在這個期間,仍然給我們有機會
[00:00:10.500 --> 00:00:15.500]  可以在這裏一起聚集,敬拜祢,聆聽祢的說話
[00:00:15.500 --> 00:00:22.000]  我們求聖靈幫助我們,讓我們了解清楚明白祢的話語
[00:00:22.000 --> 00:00:26.000]  也賜能力給我們去實踐祢的說話
[00:00:26.000 --> 00:00:29.500]  奉主耶穌基督的名,祈禱,阿們
[00:00:31.000 --> 00:00:38.000]  首先祝大兄姐妹新年快樂,願主賜平安給大家
[00:00:38.000 --> 00:00:44.000]  我相信在這個疫情期間,平安是最重要的
[00:00:44.000 --> 00:00:49.000]  上個月我們看了《馬太福音》一至四章
[00:00:49.000 --> 00:00:54.000]  我曾經指出《馬太福音》的作者馬太
[00:00:54.000 --> 00:01:03.000]  是故意記載一些事,讓猶太人讀者很容易聯想到摩西五經
[00:01:03.000 --> 00:01:10.000]  比如說他用族譜開始,對猶太人來說其實是很親切的
[00:01:10.000 --> 00:01:14.000]  因為他們很看重他們的家系背景
[00:01:14.000 --> 00:01:19.000]  他們也會很容易聯想到創世紀
[00:01:19.000 --> 00:01:23.000]  有關主耶穌出生的故事
[00:01:23.000 --> 00:01:30.000]  《馬太福音》的記載對我們和西方人來說比較有趣
[00:01:30.000 --> 00:01:37.000]  比如在馬槽,有牧羊人,又有明星,又有天使出現
[00:01:37.000 --> 00:01:42.000]  但是馬太要我們記得耶穌的身份是王
[00:01:42.000 --> 00:01:47.000]  所以他沒有記載那些有趣的出生故事
[00:01:47.000 --> 00:01:53.000]  反而是記載一段其實是耶穌出生之後
[00:01:53.000 --> 00:01:56.000]  一到兩年之後才發生的事件
[00:01:56.000 --> 00:02:04.000]  就是由三位東方的訪客來拜這位猶太人的王
[00:02:04.000 --> 00:02:08.000]  至於上個星期我們看過的第四章
[00:02:08.000 --> 00:02:11.000]  耶穌所遇到的三個試探
[00:02:11.000 --> 00:02:17.000]  其實可以說是由耶穌代表以色列人去勝過
[00:02:17.000 --> 00:02:22.000]  從前的以色列人所不能勝過的試探
[00:02:22.000 --> 00:02:26.000]  以色列人出了埃及之後
[00:02:26.000 --> 00:02:31.000]  對上帝第一次的埋怨是沒有東西吃
[00:02:31.000 --> 00:02:35.000]  上帝就將馬拿降給他們
[00:02:35.000 --> 00:02:40.000]  第二次的埋怨是沒有水喝
[00:02:40.000 --> 00:02:45.000]  上帝就吩咐摩西用匠打盤石
[00:02:45.000 --> 00:02:49.000]  洗水流出來給他們喝
[00:02:49.000 --> 00:02:54.000]  但是出埃及記十七章記載這件事的時候
[00:02:54.000 --> 00:02:59.000]  都是說那是試探上帝的事件
[00:02:59.000 --> 00:03:02.000]  以色列人的第三次失敗
[00:03:02.000 --> 00:03:07.000]  就是在出埃及記三十二章拜金牛
[00:03:07.000 --> 00:03:10.000]  即是拜牛獎
[00:03:10.000 --> 00:03:16.000]  因此馬太記載耶穌所受的試探順序是
[00:03:16.000 --> 00:03:20.000]  食物、試探上帝的說話是不可信
[00:03:20.000 --> 00:03:23.000]  以及拜撒達
[00:03:23.000 --> 00:03:26.000]  如果我們參考路加夫的記載
[00:03:26.000 --> 00:03:29.000]  就會發覺那裡的試探順序
[00:03:29.000 --> 00:03:32.000]  和馬太是不同的
[00:03:32.000 --> 00:03:38.000]  耶穌勝過試探表明耶穌是一位真以色列人
[00:03:38.000 --> 00:03:40.000]  祂有皇家的血統
[00:03:40.000 --> 00:03:43.000]  祂又能勝過敵人撒旦
[00:03:43.000 --> 00:03:47.000]  祂就有資格做猶太人的王
[00:03:47.000 --> 00:03:50.000]  今天要和大家分享的經文是
[00:03:50.000 --> 00:03:54.000]  馬太福音五章一至十六節
[00:03:54.000 --> 00:04:01.000]  這段是很著名的登山補訓的頭一部分
[00:04:01.000 --> 00:04:05.000]  五章一至十二節更有名
[00:04:05.000 --> 00:04:09.000]  也大概是華人信徒最喜歡的
[00:04:09.000 --> 00:04:11.000]  就是八福
[00:04:11.000 --> 00:04:13.000]  在新的一年開始的時候
[00:04:13.000 --> 00:04:15.000]  我要提醒大家
[00:04:15.000 --> 00:04:20.000]  在哪裡可以找到人生最大的福氣
