
[00:00:00.000 --> 00:00:02.000]  頂梓梅平安
[00:00:02.000 --> 00:00:04.000]  今天呢 好像林牧師剛才所講
[00:00:04.000 --> 00:00:06.000]  天氣非常之凍
[00:00:06.000 --> 00:00:09.000]  但是呢 我剛才是抱著頸巾進來的
[00:00:09.000 --> 00:00:11.000]  但是呢 進來當中
[00:00:11.000 --> 00:00:14.000]  在聖殿裡面確實是有一份溫暖
[00:00:14.000 --> 00:00:15.000]  所以我脫了
[00:00:15.000 --> 00:00:16.000]  所以呢
[00:00:16.000 --> 00:00:17.000]  這一份溫暖
[00:00:17.000 --> 00:00:18.000]  我相信呢
[00:00:18.000 --> 00:00:21.000]  只有主耶穌基督可以給我們
[00:00:21.000 --> 00:00:23.000]  和你旁邊左右那個人說吧
[00:00:23.000 --> 00:00:25.000]  你帶給我溫暖
[00:00:31.000 --> 00:00:34.000]  好 我們一齊有一個祈禱先
[00:00:34.000 --> 00:00:36.000]  差禮天父上帝
[00:00:36.000 --> 00:00:37.000]  多謝你給我們呢
[00:00:37.000 --> 00:00:40.000]  就是在今天這個早晨上面
[00:00:40.000 --> 00:00:42.000]  可以有敬拜你的時間
[00:00:42.000 --> 00:00:44.000]  也都有學習你的時間
[00:00:44.000 --> 00:00:46.000]  求主你開我們的耳朵
[00:00:46.000 --> 00:00:47.000]  開我們的心
[00:00:47.000 --> 00:00:49.000]  讓講的 聽的
[00:00:49.000 --> 00:00:51.000]  都得夢你的造就
[00:00:51.000 --> 00:00:52.000]  我們同心禱告
[00:00:52.000 --> 00:00:53.000]  奉主名求
[00:00:53.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:57.000]  好 今天呢 來到呢
[00:00:57.000 --> 00:01:01.000]  一齊思想彼得後書最後的一個段落
[00:01:01.000 --> 00:01:03.000]  三章十四到十八節
[00:01:03.000 --> 00:01:05.000]  在這段經文裡面
[00:01:05.000 --> 00:01:07.000]  是彼得的一個總結
[00:01:07.000 --> 00:01:09.000]  他告訴我們
[00:01:09.000 --> 00:01:12.000]  叫我們要等候主再來的日子
[00:01:12.000 --> 00:01:14.000]  叫我們持守信仰
[00:01:14.000 --> 00:01:16.000]  在主的恩典
[00:01:16.000 --> 00:01:19.000]  和知識上面要長進
[00:01:19.000 --> 00:01:22.000]  因為在這段經文的背景裡面
[00:01:22.000 --> 00:01:25.000]  講到彼得的生命將要去到盡頭
[00:01:25.000 --> 00:01:28.000]  他很知道他將要離開
[00:01:28.000 --> 00:01:30.000]  所以他很迫切
[00:01:30.000 --> 00:01:32.000]  將這個屬靈的教導
[00:01:32.000 --> 00:01:34.000]  傳遞給信徒
[00:01:34.000 --> 00:01:36.000]  特別是前文所提到的
[00:01:36.000 --> 00:01:38.000]  主必再來
[00:01:38.000 --> 00:01:40.000]  這個應許之後
[00:01:40.000 --> 00:01:41.000]  他要教導信徒
[00:01:41.000 --> 00:01:44.000]  怎樣樣去裝備好自己
[00:01:44.000 --> 00:01:47.000]  以等候主耶穌再來
[00:01:47.000 --> 00:01:50.000]  今天世界充滿了各樣的挑戰
[00:01:50.000 --> 00:01:53.000]  好像所有東西都不再一樣
[00:01:53.000 --> 00:01:55.000]  有不同的試探
[00:01:55.000 --> 00:01:57.000]  可能在很多信徒當中
[00:01:57.000 --> 00:02:00.000]  對這個信仰會有所動搖
[00:02:00.000 --> 00:02:02.000]  有所不定
[00:02:02.000 --> 00:02:06.000]  甚至可能當我們遇到困難的時候
[00:02:06.000 --> 00:02:08.000]  我們在這裡原地踏步
[00:02:08.000 --> 00:02:10.000]  停滯不前
[00:02:10.000 --> 00:02:11.000]  但是今天
[00:02:11.000 --> 00:02:13.000]  彼得會教我們
[00:02:13.000 --> 00:02:17.000]  我們怎樣能夠在沒後這個日子裡面
[00:02:17.000 --> 00:02:19.000]  不單止警醒
