
[00:00:00.000 --> 00:00:02.420]  各位來賓主席 弟兄姊妹平安
[00:00:02.420 --> 00:00:05.560]  感謝神 我們今天再有機會來到大家當中
[00:00:05.560 --> 00:00:08.240]  可以一同去聆聽神的話語
[00:00:08.240 --> 00:00:11.780]  我們今天會從《約書亞記》第七章第一節開始看
[00:00:11.780 --> 00:00:14.980]  約書亞攻佔艾城的故事當中
[00:00:14.980 --> 00:00:19.360]  學習我們怎樣可以一同去跟隨神
[00:00:19.360 --> 00:00:21.540]  過去那兩個禮拜之前
[00:00:21.540 --> 00:00:26.960]  就是我們美國中部到東岸
[00:00:26.960 --> 00:00:31.120]  都遇到一個冬天的風雪的情況
[00:00:31.120 --> 00:00:36.120]  導致了德州有幾個大城市
[00:00:36.120 --> 00:00:37.520]  好像侯斯頓一樣
[00:00:37.520 --> 00:00:41.060]  好像侯斯頓都是有停電的情況
[00:00:41.060 --> 00:00:43.180]  我們在人造衛星都看到
[00:00:43.180 --> 00:00:48.360]  對比到之前風暴之前在夜間裏面的燈光
[00:00:48.360 --> 00:00:53.320]  和之後的燈光 風暴之後的燈光有不同
[00:00:53.320 --> 00:00:55.040]  因為停電的原因
[00:00:55.040 --> 00:00:58.260]  我們就算在疫情之前
[00:00:58.260 --> 00:01:00.380]  我們去搭飛機的時候
[00:01:00.380 --> 00:01:04.280]  登機閘口前面都有一些乘客在等待上機
[00:01:04.280 --> 00:01:07.820]  他們都會坐在有利的位置
[00:01:07.820 --> 00:01:10.900]  因為我們都要為我們的電話
[00:01:10.900 --> 00:01:14.140]  又為我們的電腦而充電
[00:01:14.140 --> 00:01:17.480]  所以如果有停電的情況發生之後
[00:01:17.480 --> 00:01:21.260]  我們會感到一些無能為力的感覺
[00:01:21.260 --> 00:01:23.180]  又感到失望、沮喪
[00:01:23.180 --> 00:01:26.620]  為甚麼會這麼不方便
[00:01:26.620 --> 00:01:28.700]  其實我們在屬靈層面上
[00:01:28.700 --> 00:01:30.500]  我們生活裏面當中
[00:01:30.500 --> 00:01:32.060]  我們基督徒的生活
[00:01:32.060 --> 00:01:34.500]  有時會遇到一些挫敗
[00:01:34.500 --> 00:01:40.780]  導致我們喪失志氣、站立不穩
[00:01:40.780 --> 00:01:44.780]  我們雖然要努力去過聖潔的生活
[00:01:44.780 --> 00:01:48.860]  但是遇到挫折、跌倒的時候
[00:01:48.860 --> 00:01:50.900]  就好像失去了能力一樣
[00:01:50.900 --> 00:01:52.740]  好像沒有電一樣
[00:01:52.740 --> 00:01:55.620]  好像很失望、很失落
[00:01:55.620 --> 00:01:57.660]  我們怎樣算呢?
[00:01:57.660 --> 00:02:03.980]  我們今天繼續去看約書亞書這幾章經文當中
[00:02:03.980 --> 00:02:05.380]  上一個主日
[00:02:05.380 --> 00:02:10.140]  約書亞帶領了以色列民攻打耶利哥城
[00:02:10.140 --> 00:02:14.260]  儘管城門關得緊緊的、關得很緊
[00:02:14.260 --> 00:02:16.420]  耶和華神都說曉喻了
[00:02:16.420 --> 00:02:20.660]  應許了約書亞記交了這個城給約書亞手中
[00:02:20.660 --> 00:02:25.020]  因為耶和華神與他們同在
[00:02:25.020 --> 00:02:27.140]  約書亞聽從神的吩咐
[00:02:27.140 --> 00:02:31.020]  以色列民就因著信圍繞了城七天
[00:02:31.020 --> 00:02:33.620]  之後城就塌陷了
[00:02:33.620 --> 00:02:35.820]  這個是一場很大的勝利
[00:02:35.820 --> 00:02:38.020]  這場勝利當中
[00:02:38.020 --> 00:02:40.900]  在第六章最後一個節的經文說
[00:02:40.900 --> 00:02:43.020]  27節這樣說
[00:02:43.020 --> 00:02:45.780]  耶和華與約書亞同在
[00:02:45.780 --> 00:02:49.020]  約書亞的明星全揚遍地
[00:02:49.020 --> 00:02:53.300]  全個迦南地的外邦人、外國彝族
[00:02:53.300 --> 00:02:57.780]  都聽到約書亞的明星
[00:02:57.780 --> 00:03:00.940]  因為他打敗、攻陷了耶利哥城
[00:03:00.940 --> 00:03:04.500]  這個他的聲望是大升的
[00:03:04.500 --> 00:03:07.740]  但是在我們遇到挫折的時候
[00:03:07.740 --> 00:03:10.340]  我們從最高去到最低
[00:03:10.340 --> 00:03:15.580]  這個生命上好像有去到谷底一樣的時候
[00:03:15.580 --> 00:03:17.460]  我們基督徒、身為基督徒
[00:03:17.460 --> 00:03:22.460]  怎樣有甚麼辦法能夠重新得力呢?
[00:03:22.460 --> 00:03:25.100]  我們在屬靈旅程跌倒的時候
[00:03:25.100 --> 00:03:28.340]  怎樣再可以站立得穩呢?
[00:03:28.340 --> 00:03:33.180]  我們一起從今日從約書亞記第七章的第一節
[00:03:33.180 --> 00:03:35.420]  看到第八章的二十九節
[00:03:35.420 --> 00:03:36.740]  去學習神
[00:03:36.740 --> 00:03:41.300]  透過約書亞這個故事教導我們的功課
[00:03:41.300 --> 00:03:44.340]  我們一起低頭祈禱
[00:03:44.340 --> 00:03:45.660]  主耶穌基督我們感謝你
[00:03:45.660 --> 00:03:48.340]  我們感謝你一直這麼帶領我們
[00:03:48.340 --> 00:03:49.500]  帶領我們教會
[00:03:49.500 --> 00:03:53.620]  帶領我們每一位基督徒過這個聖潔的生活
[00:03:53.620 --> 00:03:56.900]  我們儘管有時會跌倒
[00:03:56.900 --> 00:04:01.820]  但是神啊 求你藉著你的話語去幫助我們
[00:04:01.820 --> 00:04:04.060]  使到我們能夠明白到
[00:04:04.060 --> 00:04:06.340]  遇到這個情況之下
[00:04:06.340 --> 00:04:08.300]  你所教導我們的
[00:04:08.300 --> 00:04:10.740]  是要我們怎樣去繼續去行
[00:04:10.740 --> 00:04:12.620]  求你真的幫助我們
[00:04:12.620 --> 00:04:15.100]  求你真正帶領以下的時間
[00:04:15.100 --> 00:04:18.100]  使到我們能夠看得清楚
[00:04:18.100 --> 00:04:19.100]  聽得明白
[00:04:19.100 --> 00:04:23.420]  你從聖經裏面教導我們的功課
[00:04:23.420 --> 00:04:24.660]  我們以上的禱告
[00:04:24.660 --> 00:04:26.700]  是奉主耶穌得聖的名字祈求
[00:04:26.700 --> 00:04:28.700]  阿們
[00:04:28.700 --> 00:04:34.820]  剛才提到約書亞攻佔了耶利哥城的時候
[00:04:34.820 --> 00:04:39.980]  他的明星全遍迦南地
[00:04:39.980 --> 00:04:43.980]  因為他們的人見到耶和華神
[00:04:43.980 --> 00:04:47.460]  與以色列民和約書亞同在
[00:04:47.460 --> 00:04:50.540]  當他們攻佔耶利哥城的時候
[00:04:50.540 --> 00:04:56.140]  神吩咐他們要將城裏面的物件
[00:04:56.140 --> 00:05:01.180]  除了金器、銀器、銅器歸給耶和華聖殿
[00:05:01.180 --> 00:05:03.620]  分別為聖 作為器皿之外
[00:05:03.620 --> 00:05:09.860]  所有物品、物件、人和新畜、財物都要銷毀
[00:05:09.860 --> 00:05:13.500]  但是以色列民當中有人犯了罪
[00:05:13.500 --> 00:05:16.100]  經文第七章的第一節這樣說
[00:05:16.100 --> 00:05:19.300]  說以色列之派、猶大之派當中
[00:05:19.300 --> 00:05:26.660]  謝拉的曾孫、撒底的孫子、加米的兒子亞干
[00:05:26.660 --> 00:05:30.420]  是取了這些當滅之物
[00:05:30.420 --> 00:05:34.340]  耶利哥城的民眾是一幫罪惡
[00:05:34.340 --> 00:05:35.780]  犯了很嚴重罪的人
[00:05:35.780 --> 00:05:39.100]  他們的物件都是要被滅
[00:05:39.100 --> 00:05:44.540]  是神在眼中當滅之物 是歸給神
[00:05:44.540 --> 00:05:48.460]  耶和華既然發現了他們以色列民
[00:05:48.460 --> 00:05:51.620]  猶大之派當中的亞干犯了這個罪
[00:05:51.620 --> 00:05:54.260]  耶和華當然是清楚知道
[00:05:54.260 --> 00:05:57.540]  他是全知的神 沒有什麼可以瞞過他
[00:05:57.540 --> 00:06:02.060]  他知道之後 當然他就是公義的神
[00:06:02.060 --> 00:06:07.460]  他就發怒了 向以色列民來發作
[00:06:07.460 --> 00:06:15.660]  當時以色列民攻陷了耶利哥城之後
[00:06:15.660 --> 00:06:18.340]  他就向山區去進發
[00:06:18.340 --> 00:06:20.660]  上次講到這個地理
[00:06:20.660 --> 00:06:24.060]  他們過了若蘭河 去到耶利哥城
[00:06:24.060 --> 00:06:27.940]  在下面的河旁旁邊 在海拔以下
[00:06:27.940 --> 00:06:31.500]  他們進入迦南地就要上山區那裏
[00:06:31.500 --> 00:06:40.740]  如果上山區那裏 艾城就是一個非常重要的戰略據點
[00:06:40.740 --> 00:06:42.940]  進了艾城 攻陷了艾城之後
[00:06:42.940 --> 00:06:46.900]  他們可以向南去進入迦南地
[00:06:46.900 --> 00:06:51.900]  又可以向北去征服上面的土地
[00:06:51.900 --> 00:06:56.820]  所以這個是一個重要的地點 軍事據點
[00:06:56.820 --> 00:07:00.340]  他們下一步就是攻陷艾城
[00:07:00.340 --> 00:07:02.340]  和往年一樣
[00:07:02.340 --> 00:07:09.220]  以色列民就吩咐探子去查探艾城的情況
[00:07:09.220 --> 00:07:13.740]  就上去窺探 探子回來的時候就和約書亞說
[00:07:13.740 --> 00:07:17.460]  你們 我們不需要這麼多人 個個都上去
[00:07:17.460 --> 00:07:21.980]  我們只要派兩三千人 就可以攻陷這個艾城
[00:07:21.980 --> 00:07:24.420]  他們的人數不是這麼多的
[00:07:24.420 --> 00:07:29.980]  不用麻煩我們這幫人 不用麻煩這麼多人上去
[00:07:29.980 --> 00:07:32.620]  這樣去回答約書亞
[00:07:32.620 --> 00:07:37.620]  約書亞於是就在民裏面
[00:07:37.620 --> 00:07:46.020]  有三千人上了去這個艾城裏面去進攻
[00:07:46.020 --> 00:07:52.900]  結果呢 他們進攻的時候就逃跑 不夠打
[00:07:52.900 --> 00:07:59.780]  結果被人追 被艾城裏面的人
[00:07:59.780 --> 00:08:01.860]  就開城門出來追趕他們
[00:08:01.860 --> 00:08:07.820]  追到他們那三千人就完全被殺敗了
[00:08:07.820 --> 00:08:12.260]  令到以色列民的心就消化如水
[00:08:12.260 --> 00:08:22.020]  他們的志氣就好像沒有以前那麼有決心
[00:08:22.020 --> 00:08:23.460]  那麼有勇氣了
[00:08:23.460 --> 00:08:25.660]  因為他們知道了
[00:08:25.660 --> 00:08:31.660]  為什麼明明神帶了他們過這個約旦河
[00:08:31.660 --> 00:08:35.340]  又帶領他們去攻陷這個耶利哥城
[00:08:35.340 --> 00:08:37.340]  為什麼這次會這樣呢?
[00:08:37.340 --> 00:08:42.420]  他們的志氣就完全失去了
[00:08:42.420 --> 00:08:45.180]  這樣是一件很大的事情
[00:08:45.180 --> 00:08:49.260]  那麼約書亞就在那裏撕裂他的衣服
[00:08:49.260 --> 00:08:51.780]  好像死人哀哭那樣
[00:08:51.780 --> 00:08:55.980]  他們就將他的掌腦灰撒在頭上
[00:08:55.980 --> 00:08:58.340]  在藥櫃前面 在神面前
[00:08:58.340 --> 00:09:02.860]  就是俯伏在地 趴在那裏 直到晚上
[00:09:02.860 --> 00:09:08.100]  那麼約書亞就和耶和華在那裏抱怨
[00:09:08.100 --> 00:09:12.860]  就說 愛在主耶和華
[00:09:12.860 --> 00:09:22.340]  他的主 因為他們都清楚 耶和華是耶和華軍隊的元帥
[00:09:22.340 --> 00:09:24.460]  他一直這樣帶領他們
[00:09:24.460 --> 00:09:29.820]  然後在藥櫃當中與他們同在 在他們前面走
[00:09:29.820 --> 00:09:33.020]  在他們當中 又在後面 前後保護他們
[00:09:33.020 --> 00:09:34.980]  但是帶了他們過約旦河
[00:09:34.980 --> 00:09:38.740]  為什麼現在要交在阿摩尼人手中呢?
[00:09:38.740 --> 00:09:44.860]  使得他們會被滅亡的 為什麼呢?
[00:09:44.860 --> 00:09:50.220]  因為當他們聽到他們敗陣的時候
[00:09:50.220 --> 00:09:51.300]  他們就會怎樣呢?
[00:09:51.300 --> 00:09:55.540]  他們會上來攻打他們的
[00:09:55.540 --> 00:10:03.660]  在以色列人在第一次攻打艾城的時候逃走
[00:10:03.660 --> 00:10:05.460]  我們要兵敗
[00:10:05.460 --> 00:10:09.900]  迦南地聽了的話就來圍困我們了
[00:10:09.900 --> 00:10:11.860]  我們會有很大的危險
[00:10:11.860 --> 00:10:13.860]  不止這麼簡單
[00:10:13.860 --> 00:10:20.060]  因為還會損失了 污辱了神的榮耀
[00:10:20.060 --> 00:10:24.140]  神明明是帶他們過約旦河
[00:10:24.140 --> 00:10:26.540]  為什麼 剛才第七節說
[00:10:26.540 --> 00:10:29.100]  你不帶我們過來更好啦
[00:10:29.100 --> 00:10:37.540]  既然他們在約旦河的東岸已經打贏了
[00:10:37.540 --> 00:10:40.740]  已經得到了一些土地了
[00:10:40.740 --> 00:10:42.820]  那為什麼還要帶他們過來
[00:10:42.820 --> 00:10:49.460]  還要在那裡被殲殺呢 被人攻殺呢?
[00:10:49.460 --> 00:10:50.900]  他就在那裡問耶和華
[00:10:50.900 --> 00:10:53.860]  耶和華就回答 吩咐約書這樣
[00:10:53.860 --> 00:10:55.740]  他命令他 你起來
[00:10:55.740 --> 00:10:57.220]  你為什麼躺在地上呢?
[00:10:57.220 --> 00:10:58.620]  趴在地上
[00:10:58.620 --> 00:11:03.140]  你知不知道 以色列人犯了罪
[00:11:03.140 --> 00:11:05.180]  這個耶和華就告訴他
[00:11:05.180 --> 00:11:08.940]  簡直違背了犯了嚴重的罪
[00:11:08.940 --> 00:11:11.420]  背了他所吩咐他們的約
[00:11:11.420 --> 00:11:16.900]  明明是命令他一樣一樣 照樣地走 照樣地做
[00:11:16.900 --> 00:11:20.460]  他們做了什麼呢 取了 就是拿了
