
[00:00:00.000 --> 00:00:02.000]  各位電視節目的早安
[00:00:02.000 --> 00:00:05.000]  很高興再一次回到大家當中
[00:00:05.000 --> 00:00:08.000]  我是期望回來已經有一段時間
[00:00:08.000 --> 00:00:13.000]  所以在星期五早上在國語團體分享的時候
[00:00:13.000 --> 00:00:18.000]  我說真的很感恩能夠回來和大家一起
[00:00:18.000 --> 00:00:23.000]  今天的題目叫做「夕陽無限好,柳暗花明又一串」
[00:00:23.000 --> 00:00:26.000]  不是我的中文不好
[00:00:26.000 --> 00:00:30.000]  我知道這兩句話是來自兩首不同的詩
[00:00:30.000 --> 00:00:33.000]  一首是來自李商隱
[00:00:33.000 --> 00:00:35.000]  一首是來自陸游
[00:00:35.000 --> 00:00:40.000]  我希望從兩句話和大家看看人生的三方面
[00:00:40.000 --> 00:00:43.000]  盼望透過所分享的信徒
[00:00:43.000 --> 00:00:44.000]  基督徒
[00:00:44.000 --> 00:00:46.000]  能夠確認我們的信仰
[00:00:46.000 --> 00:00:47.000]  未是基督徒的
[00:00:47.000 --> 00:00:50.000]  盼望你能夠認識我們的信仰
[00:00:50.000 --> 00:00:52.000]  人生三方面
[00:00:52.000 --> 00:00:55.000]  第一方面我們活在人生當中都明白
[00:00:55.000 --> 00:00:57.000]  人生是留不住的
[00:00:57.000 --> 00:00:59.000]  無論你喜歡不喜歡
[00:00:59.000 --> 00:01:01.000]  捨得不捨得
[00:01:01.000 --> 00:01:04.000]  人生都會一天一天地過
[00:01:04.000 --> 00:01:06.000]  有些人說人生好像旅行
[00:01:06.000 --> 00:01:11.000]  我都參加過幾次旅行團
[00:01:11.000 --> 00:01:14.000]  有時參加了就真的好像做皇帝
[00:01:14.000 --> 00:01:16.000]  那個團真的很好
[00:01:16.000 --> 00:01:19.000]  有時參加了好像賣豬仔
[00:01:19.000 --> 00:01:21.000]  那個團真的好慘
[00:01:21.000 --> 00:01:23.000]  好的團我們不捨得走
[00:01:23.000 --> 00:01:26.000]  好的團我們不想記得曾經去過
