
[00:00:00.000 --> 00:00:03.520]  感謝神給我有機會再次和T4C
[00:00:03.520 --> 00:00:08.100]  特別是禹堂的弟兄姊妹們一起敬拜、侍奉神
[00:00:08.100 --> 00:00:12.700]  T4C的中文名就是「雙城華人基督教會」
[00:00:12.700 --> 00:00:16.900]  我將它理解為「雙城華人基督的教會」
[00:00:16.900 --> 00:00:20.060]  這是一個主義的教會 一個屬於基督的教會
[00:00:20.060 --> 00:00:24.100]  是由一群在基督裡的人所造成
[00:00:24.100 --> 00:00:27.900]  在明州雙城這個地方侍奉神
[00:00:27.900 --> 00:00:32.600]  進行基督給我們的使命 服侍華人社區
[00:00:32.600 --> 00:00:37.380]  在這個社群當中傳揚基督 領人歸住
[00:00:37.380 --> 00:00:42.600]  為了要達到神對我們的心意
[00:00:42.600 --> 00:00:46.300]  我希望在接下來的一段時間裡
[00:00:46.300 --> 00:00:48.960]  和大家一起從哥哥羅西書
[00:00:48.960 --> 00:00:52.400]  我們學習怎樣去宣揚基督的超越性
[00:00:52.400 --> 00:00:58.020]  和祂的充足性 祂的supremacy 祂的sufficiency
[00:00:58.020 --> 00:01:03.120]  講到基督的超越就是說 耶穌基督在萬有之上
[00:01:03.120 --> 00:01:07.220]  超越一切物質界和靈界的事物
[00:01:07.220 --> 00:01:11.020]  又加力量給在基督裡的人
[00:01:11.020 --> 00:01:15.160]  包括在座的每一位弟兄姊妹 每一個基督徒
[00:01:15.160 --> 00:01:19.620]  使你和我能夠把各人在基督裡
[00:01:19.620 --> 00:01:23.160]  完完全全的引導神面前
[00:01:23.160 --> 00:01:26.140]  求神使用哥羅西書的信息
[00:01:26.140 --> 00:01:30.480]  教導你和我怎樣體會神賜給信耶穌的人
[00:01:30.480 --> 00:01:35.320]  在基督裡的身份和豐盛的生命
[00:01:35.320 --> 00:01:37.760]  保佑你和我能夠活出
[00:01:37.760 --> 00:01:40.680]  我已經與基督同釘十字架
[00:01:40.680 --> 00:01:42.520]  現在活著的不再是我
[00:01:42.520 --> 00:01:45.940]  乃是基督在我裡面活著
[00:01:45.940 --> 00:01:52.880]  我在基督裡和基督在我裡面成為共存的屬靈實際
[00:01:52.880 --> 00:01:55.840]  今天我們要開始思想
[00:01:55.840 --> 00:01:59.300]  基督的福音怎樣帶給你和我
[00:01:59.300 --> 00:02:03.040]  在基督裡的信、望、愛
[00:02:03.040 --> 00:02:05.860]  求神眺望我們愛主的心
[00:02:05.860 --> 00:02:09.060]  激勵你和我為主而活
[00:02:09.060 --> 00:02:12.020]  活出我們是基督的僕人
[00:02:12.020 --> 00:02:15.740]  因為我們都是主耶穌用重價買來的
[00:02:15.740 --> 00:02:19.920]  神要使用祂的僕人建立基督的國
[00:02:19.920 --> 00:02:24.380]  就把我們帶到這個基督的國度裡面
[00:02:24.380 --> 00:02:28.100]  作神國的子民 做基督的僕人
[00:02:28.100 --> 00:02:29.900]  求聖靈幫助我們
[00:02:29.900 --> 00:02:31.360]  明白這些是真理
[00:02:31.360 --> 00:02:34.180]  懂得怎樣配合神的作為
[00:02:34.180 --> 00:02:36.940]  遵行神的旨意
[00:02:36.940 --> 00:02:39.520]  哥羅西書是一封信
[00:02:39.520 --> 00:02:41.540]  按照當時代的格式
[00:02:41.540 --> 00:02:44.800]  寫信人首先是自我介紹
[00:02:44.800 --> 00:02:47.960]  奉神旨意作基督耶穌使徒的
[00:02:47.960 --> 00:02:50.360]  保羅和兄弟提摩泰
[00:02:50.360 --> 00:02:55.480]  保羅講到他自己是有耶穌基督使徒的身份
[00:02:55.480 --> 00:02:58.960]  而這個身份是神按照自己的旨意
[00:02:58.960 --> 00:03:03.780]  神揀選了保羅做基督的使徒
[00:03:03.780 --> 00:03:08.360]  保羅和提摩泰寫信給在哥羅西的聖徒
[00:03:08.360 --> 00:03:12.040]  在基督裡聖潔中心的弟兄們
[00:03:12.040 --> 00:03:17.520]  講明這些收信人是住在哥羅西的聖徒
[00:03:17.520 --> 00:03:21.960]  聖徒就是被神分別為聖 歸給神的
[00:03:21.960 --> 00:03:28.260]  預備要去做神所要用他們做的事情的僕人
[00:03:28.260 --> 00:03:30.960]  哥羅西是位於小亞細亞
[00:03:30.960 --> 00:03:35.080]  就是現在的土耳其西邊的一個城市
[00:03:35.080 --> 00:03:39.120]  在寫信的時候 保羅是在羅馬的監獄裡面
[00:03:39.120 --> 00:03:41.480]  他從來沒有去過哥羅西
[00:03:41.480 --> 00:03:44.500]  他不認識這些收信人
[00:03:44.500 --> 00:03:48.660]  但是他很親切的問候他們 祝福他們
[00:03:48.660 --> 00:03:54.320]  願因爲平安 從實我們的父 歸於你們
[00:03:54.320 --> 00:03:59.500]  這一群已經在基督裡的人 他們是對主忠心
[00:03:59.500 --> 00:04:03.500]  保羅為他們向神求的恩惠 不是得救的恩典
[00:04:03.500 --> 00:04:07.640]  因為這幫都是已經蒙恩得救 在基督裡的人
[00:04:07.640 --> 00:04:11.740]  但是叫他們能夠承受神給他們的每日此刻
