
[00:00:00.000 --> 00:00:04.440]  首先在此祝大家身體健康
[00:00:04.440 --> 00:00:06.260]  新年無福
[00:00:06.260 --> 00:00:07.760]  今年是蛇年
[00:00:07.760 --> 00:00:09.700]  將蛇比一條龍也不錯
[00:00:09.700 --> 00:00:10.960]  我是龍年出生的
[00:00:10.960 --> 00:00:12.300]  今年是蛇年
[00:00:12.300 --> 00:00:13.840]  但是無論如何
[00:00:13.840 --> 00:00:16.640]  新年當中很快過了一個月
[00:00:16.640 --> 00:00:18.240]  我們踏入第二個月份
[00:00:18.240 --> 00:00:21.540]  不知道接下來十一個月內
[00:00:21.540 --> 00:00:23.900]  我們能夠如何經歷上帝的祝福
[00:00:23.900 --> 00:00:25.300]  希望我們大家能夠求神
[00:00:25.300 --> 00:00:28.540]  帶領我們前面每一個道路
[00:00:28.540 --> 00:00:31.160]  今天跟大家說一個題目
[00:00:31.160 --> 00:00:33.400]  就是在生活上見證上帝
[00:00:33.400 --> 00:00:36.400]  我記得有一次在香港
[00:00:36.400 --> 00:00:37.740]  很久以前
[00:00:37.740 --> 00:00:39.840]  我去書局買書
[00:00:39.840 --> 00:00:41.940]  買書的時候不流行信用卡
[00:00:41.940 --> 00:00:43.660]  就給現金
[00:00:43.660 --> 00:00:46.160]  買完書之後就拿一張收據
[00:00:46.160 --> 00:00:47.840]  離開書局
[00:00:47.840 --> 00:00:49.760]  我走的時候拿了一張單
[00:00:49.760 --> 00:00:51.060]  咦?
[00:00:51.060 --> 00:00:51.960]  給我多了一筆錢
[00:00:51.960 --> 00:00:54.100]  就是多了一筆錢給我
[00:00:54.100 --> 00:00:55.060]  我就想
[00:00:55.060 --> 00:00:55.940]  大哥多了一筆錢
[00:00:55.940 --> 00:00:58.240]  應該不是賺那麼多
[00:00:58.240 --> 00:01:00.760]  於是我回頭走回書局裡面
[00:01:00.760 --> 00:01:03.360]  把那些多餘的錢
[00:01:03.360 --> 00:01:06.100]  還給收銀員
[00:01:06.100 --> 00:01:07.940]  誰知道收銀員看著我
[00:01:07.940 --> 00:01:09.400]  就說了一句話
[00:01:09.400 --> 00:01:12.860]  你是不是基督徒?
[00:01:12.860 --> 00:01:15.540]  原來在不經意之中
[00:01:15.540 --> 00:01:17.660]  我為上帝做了少許見證
[00:01:17.660 --> 00:01:18.740]  是什麼?
[00:01:18.740 --> 00:01:21.000]  幫助收銀員肯定
[00:01:21.000 --> 00:01:22.660]  他對基督徒的印象
[00:01:22.660 --> 00:01:24.060]  基督徒是怎樣的?
