
[00:00:00.000 --> 00:00:03.000]  (主席)好,我們開始的時候,我們先一起來低頭祈禱,好嗎?
[00:00:03.000 --> 00:00:06.800]  (主席)天父,我衷心感謝祢讓我們有機會來這裡學習
[00:00:06.800 --> 00:00:11.000]  (主席)求主祢自己來這裡使用我們這個課堂
[00:00:11.000 --> 00:00:13.500]  (主席)讓孩子們有從祢而來的能力
[00:00:13.500 --> 00:00:17.300]  (主席)讓我們能夠體會到神祢自己的教導
[00:00:17.300 --> 00:00:19.500]  (主席)也讓我們能夠特別有這個反省
[00:00:19.500 --> 00:00:20.800]  (主席)帶領我們有一個時間
[00:00:20.800 --> 00:00:23.200]  (主席)祈禱拉奉主德聖的名,Amen
[00:00:23.200 --> 00:00:25.800]  (主席)好,再說,我們是中間不能休息的
[00:00:25.800 --> 00:00:28.800]  (主席)但是你要去洗手間,不要緊,那你就去吧,OK?
[00:00:28.800 --> 00:00:32.400]  (主席)所以有些人可能,我經常都要去洗手間
[00:00:32.400 --> 00:00:34.200]  (主席)那你就坐在旁邊位置會好一點
[00:00:34.200 --> 00:00:37.300]  (主席)就好像你坐飛機一樣,坐IOC就會好一點
[00:00:37.300 --> 00:00:38.700]  (主席)那我們是沒有休息的
[00:00:38.700 --> 00:00:41.000]  (主席)我們會一口氣的下去
[00:00:41.000 --> 00:00:44.500]  (主席)但是如果我今天看看情況怎麼樣
[00:00:44.500 --> 00:00:47.500]  (主席)如果大家有需要,我可能會再考慮的
[00:00:47.500 --> 00:00:50.200]  (主席)還有就是今天這一堂
[00:00:50.200 --> 00:00:53.500]  (主席)中間那部分是較為深一點的
[00:00:53.500 --> 00:00:55.600]  (主席)可能大家聽得不是很明白
[00:00:55.600 --> 00:00:57.000]  (主席)那我也會擔心的
[00:00:57.000 --> 00:00:59.300]  (主席)但是第三堂開始
[00:00:59.300 --> 00:01:01.100]  (主席)就不會這麼深的了
[00:01:01.100 --> 00:01:03.500]  (主席)因為是跟我們的信仰生活有關
[00:01:03.500 --> 00:01:05.600]  (主席)因為第一堂是講神學的
[00:01:05.600 --> 00:01:10.000]  (主席)就是說特別耶穌基督是什麼神的真相之類的
[00:01:10.000 --> 00:01:11.300]  (主席)那是較為
[00:01:11.300 --> 00:01:12.200]  (主席)就是你要有心理準備
[00:01:12.200 --> 00:01:13.800]  (主席)今天是較為苦澀一點
[00:01:13.800 --> 00:01:15.800]  (主席)但是我盡量希望
[00:01:15.800 --> 00:01:18.000]  (主席)可以很簡單的跟大家去看
[00:01:18.000 --> 00:01:20.000]  (主席)好了,我們研究聖經的時候
[00:01:20.000 --> 00:01:22.300]  (主席)一定要知道道論
[00:01:22.300 --> 00:01:23.900]  (主席)就是那個背景是什麼
[00:01:23.900 --> 00:01:25.500]  (主席)道論英文就是introduction
[00:01:25.500 --> 00:01:27.200]  (主席)就是來帶大家去看一看
[00:01:27.200 --> 00:01:29.700]  (主席)那麼希伯來書很特別
[00:01:29.700 --> 00:01:31.300]  (主席)那麼是很清楚
[00:01:31.300 --> 00:01:33.300]  (主席)大家知道新約裡面
[00:01:33.300 --> 00:01:37.000]  (主席)就分了幾種的內容
[00:01:37.000 --> 00:01:39.000]  (主席)大家知不知道是哪幾種內容
[00:01:39.000 --> 00:01:41.000]  (主席)第一叫福音書
[00:01:41.000 --> 00:01:42.400]  (主席)有哪幾卷福音書
[00:01:42.400 --> 00:01:43.300]  (主席)有多少卷
[00:01:43.300 --> 00:01:45.500]  (主席)四福音,對了,那叫福音書
[00:01:45.500 --> 00:01:48.500]  (主席)那接著有一本叫歷史書
[00:01:48.500 --> 00:01:50.200]  (主席)歷史書只有一本而已
[00:01:50.200 --> 00:01:51.000]  (主席)是哪一本
[00:01:51.000 --> 00:01:53.000]  (主席)《仕途行傳》
[00:01:53.000 --> 00:01:54.000]  (主席)《仕途行傳》
[00:01:54.000 --> 00:01:56.000]  (主席)那就是記載教會的誕生
[00:01:56.000 --> 00:01:57.300]  (主席)那麼舊約就有很多歷史書
[00:01:57.300 --> 00:01:58.800]  (主席)但是新約只有一本歷史書
[00:01:58.800 --> 00:02:02.000]  (主席)接著就叫做保羅書信
[00:02:02.000 --> 00:02:04.000]  (主席)就是保羅所寫的
[00:02:04.000 --> 00:02:06.000]  (主席)就是羅馬書、加拉太書
[00:02:06.000 --> 00:02:08.000]  (主席)肥勒比書、以德所書
[00:02:08.000 --> 00:02:10.500]  (主席)最後那一卷保羅書信
[00:02:10.500 --> 00:02:12.500]  (主席)就叫做提摩太后書
[00:02:12.500 --> 00:02:13.000]  (主席)是不是
[00:02:13.000 --> 00:02:14.000]  (主席)提摩太后書
[00:02:14.000 --> 00:02:16.500]  (主席)就是保羅臨死的時候寫的一卷書
[00:02:16.500 --> 00:02:18.000]  (主席)好了,提摩太后書
[00:02:18.000 --> 00:02:25.000]  (主席)那後面那一卷是什麼書啊?提摩太后書
[00:02:25.000 --> 00:02:28.500]  (主席)接著就是希伯來書
[00:02:28.500 --> 00:02:32.000]  (主席)希伯來書不是屬於保羅書信的
[00:02:32.000 --> 00:02:35.000]  (主席)一會兒會說有些人說是保羅寫
[00:02:35.000 --> 00:02:37.000]  (主席)有些人說不是保羅寫
[00:02:37.000 --> 00:02:39.000]  (主席)所以希伯來書之後
[00:02:39.000 --> 00:02:41.000]  (主席)譬如雅各書、約翰一書
[00:02:41.000 --> 00:02:42.000]  (主席)那些叫做什麼呢?
[00:02:42.000 --> 00:02:44.000]  (主席)就叫做普通書信
[00:02:44.000 --> 00:02:45.000]  (主席)叫做普通書信
[00:02:45.000 --> 00:02:48.000]  (主席)但是希伯來書是屬於普通書信裡面的第一卷
[00:02:48.000 --> 00:02:49.000]  (主席)OK?
[00:02:49.000 --> 00:02:51.000]  (主席)然後最後一卷是什麼呢?
[00:02:51.000 --> 00:02:52.000]  (主席)就是啟示文學
[00:02:52.000 --> 00:02:53.000]  (主席)即是什麼呢?
[00:02:53.000 --> 00:02:55.000]  (主席)啟示錄
[00:02:55.000 --> 00:02:57.000]  (主席)啟示錄是最後一卷書
[00:02:57.000 --> 00:03:01.000]  (主席)啟示錄裡面有頭那第二第三章
[00:03:01.000 --> 00:03:03.000]  (主席)有說了七間的教會
[00:03:03.000 --> 00:03:04.000]  (主席)有七間的教會
[00:03:04.000 --> 00:03:08.000]  (主席)這七間教會現在就在土耳其境內裡面
[00:03:08.000 --> 00:03:10.000]  (主席)很快的再說
[00:03:10.000 --> 00:03:11.000]  (主席)筆記沒有的
[00:03:11.000 --> 00:03:13.000]  (主席)就是一開始是什麼呢?
[00:03:13.000 --> 00:03:15.000]  (主席)福音書信
[00:03:15.000 --> 00:03:16.000]  (主席)就是四福音
[00:03:16.000 --> 00:03:17.000]  (主席)接著歷史書
[00:03:17.000 --> 00:03:18.000]  (主席)《士徒行傳》
[00:03:18.000 --> 00:03:19.000]  (主席)接著什麼書信?
[00:03:19.000 --> 00:03:20.000]  (主席)保羅書信
[00:03:20.000 --> 00:03:22.000]  (主席)保羅書信接著是什麼呢?
[00:03:22.000 --> 00:03:23.000]  (主席)普普通通的書信
[00:03:23.000 --> 00:03:24.000]  (主席)叫做普通書信
[00:03:24.000 --> 00:03:27.000]  (主席)但是普通書信裡面的第一本是什麼呢?
[00:03:27.000 --> 00:03:28.000]  (主席)就是希伯來書
[00:03:28.000 --> 00:03:31.000]  (主席)接著最後就是啟示文學
[00:03:31.000 --> 00:03:32.000]  (主席)就是啟示錄
[00:03:32.000 --> 00:03:35.000]  (主席)大家已經看了新約那個的悼論
[00:03:35.000 --> 00:03:38.000]  (主席)那麼希伯來書較為特別的是
[00:03:38.000 --> 00:03:43.000]  (主席)在新約裡面較為最特別的是什麼呢?
[00:03:43.000 --> 00:03:45.000]  (主席)就是恆常地引用舊約的經文
[00:03:45.000 --> 00:03:48.000]  (主席)那麼直接引用舊約的經文呢
[00:03:48.000 --> 00:03:51.000]  (主席)是有39處之多
[00:03:51.000 --> 00:03:53.000]  (主席)而間接引用的呢
