
[00:00:00.000 --> 00:00:03.920]  好 各位弟兄姊妹 平安
[00:00:03.920 --> 00:00:08.480]  我今天講題是「讓我留在你身邊」
[00:00:08.480 --> 00:00:13.800]  首先講清楚 紅色那個不是我
[00:00:13.800 --> 00:00:18.320]  那紅色那個是甚麼人呢
[00:00:18.320 --> 00:00:21.000]  我都會經常想
[00:00:21.000 --> 00:00:24.240]  為甚麼會有人好像特別不同呢
[00:00:24.240 --> 00:00:29.000]  無論你在社會 或者在學校 教會 公司
[00:00:29.000 --> 00:00:32.800]  是否因為他不聽話呢
[00:00:32.800 --> 00:00:37.320]  所以被孤立了出來 或者特別不同呢
[00:00:37.320 --> 00:00:40.600]  我又會想另一件事
[00:00:40.600 --> 00:00:44.120]  是否他一定是不對呢
[00:00:44.120 --> 00:00:45.320]  而多數人就對呢
[00:00:45.320 --> 00:00:49.320]  因為我們一向少數服從多數
[00:00:49.320 --> 00:00:52.320]  我會想起一個人
[00:00:52.320 --> 00:00:56.440]  這個人其實是關於這個宇宙
[00:00:56.440 --> 00:00:59.000]  其實幾百年前
[00:00:59.000 --> 00:01:03.000]  你知不知幾百年前的人還是地心說
[00:01:03.000 --> 00:01:04.520]  即是地心說是甚麼
[00:01:04.520 --> 00:01:09.200]  即是說太陽 土星 木星是圍著地球轉的
[00:01:09.200 --> 00:01:11.600]  即是地球是宇宙的中心
[00:01:11.600 --> 00:01:18.600]  即是所有星體 太陽都是圍著地球轉的
[00:01:18.600 --> 00:01:23.880]  但有個人 當時是嘉利略
[00:01:23.880 --> 00:01:26.240]  當時他就反對這件事
[00:01:26.240 --> 00:01:28.480]  嘉利略不知道大家有沒有聽過
[00:01:28.480 --> 00:01:33.480]  可能最多都會聽過是日劇的神探嘉利略
[00:01:33.480 --> 00:01:38.680]  都很厲害 即是日劇的那個人都用他的名字
[00:01:38.680 --> 00:01:41.800]  所以就知道這個科學家很厲害
[00:01:41.800 --> 00:01:43.000]  一個意大利的科學家
[00:01:43.000 --> 00:01:46.720]  他就提出了甚麼 日心說
[00:01:46.720 --> 00:01:51.840]  日心說就是我們現在所知道的知識
[00:01:51.840 --> 00:01:54.200]  原來我們這個銀河系裏面
[00:01:54.200 --> 00:01:58.240]  是太陽才是中心 地球都是圍著太陽轉
[00:01:58.240 --> 00:02:02.120]  即是其他的無論八大行星 九大行星
[00:02:02.120 --> 00:02:04.680]  都是圍著太陽轉
[00:02:04.680 --> 00:02:06.800]  其實有甚麼問題呢
[00:02:06.800 --> 00:02:12.400]  就是原來當時嘉利略會被逼迫
[00:02:12.400 --> 00:02:14.640]  原來他都被羅馬教廷逼迫
[00:02:14.640 --> 00:02:16.880]  因為說他是異端
[00:02:16.880 --> 00:02:25.120]  明明所有的人 幾乎所有的人都說地球才是中心
[00:02:25.120 --> 00:02:28.520]  他竟然說這個太陽是中心
[00:02:28.520 --> 00:02:31.360]  所以他變成他經常都會被逼迫
[00:02:31.360 --> 00:02:34.720]  有很多審判等等
[00:02:34.720 --> 00:02:39.440]  其實怎樣才可以做得好一點呢
[00:02:39.440 --> 00:02:42.440]  其實是否真是人多欺人少呢
[00:02:42.440 --> 00:02:48.000]  即是大家講人數贊成的就是對呢
[00:02:48.000 --> 00:02:52.320]  其實我覺得我們在教會裏面都會經常出現的
[00:02:52.320 --> 00:02:56.480]  就是可能都會有些爭執在當中
[00:02:56.480 --> 00:03:00.160]  無論你在小組或者開會也好
[00:03:00.160 --> 00:03:04.560]  我們有聖經的 聖經教導我們怎樣
[00:03:04.560 --> 00:03:09.200]  要快快地聽或者慢慢地講 慢慢地動腦
[00:03:09.200 --> 00:03:14.920]  我發覺新漢語的譯本譯得精彩些的要怎樣
[00:03:14.920 --> 00:03:19.000]  敏銳地聽 不輕易說話 不輕易動腦
[00:03:19.000 --> 00:03:23.200]  即是因為快快地聽其實要多快
[00:03:23.200 --> 00:03:26.000]  等於人家唱快歌有得快
[00:03:26.000 --> 00:03:28.720]  如果唱慢歌怎樣快快地聽
[00:03:28.720 --> 00:03:32.760]  所以敏銳地聽我都覺得很適切
[00:03:32.760 --> 00:03:36.360]  我們是否真的聽到人家的意見
[00:03:36.360 --> 00:03:38.560]  我們是否真的會內心去聽呢
