
[00:00:00.000 --> 00:00:02.880]  頂姐妹平安,讓我們聽到之先
[00:00:02.880 --> 00:00:05.340]  也一同有一個簡單的祈禱
[00:00:05.340 --> 00:00:09.220]  出來主,我們去到祢面前
[00:00:09.220 --> 00:00:12.560]  願意祢親自來妥開我們的心
[00:00:12.560 --> 00:00:16.160]  讓真理的聖靈來帶動我們
[00:00:16.160 --> 00:00:17.900]  來明白真理
[00:00:17.900 --> 00:00:20.800]  願意一世間,無論是講的
[00:00:20.800 --> 00:00:23.360]  聽的,都夢祢月立
[00:00:23.360 --> 00:00:26.480]  夢祢賜福,奉主耶穌基督的聖名
[00:00:26.480 --> 00:00:27.540]  阿門
[00:00:28.380 --> 00:00:31.240]  豪鼎姐妹,我們上星期聽到
[00:00:31.240 --> 00:00:34.320]  杜牧師的講道,杜牧師提醒我們
[00:00:34.320 --> 00:00:36.980]  是有三一神的靈,即是聖靈
[00:00:36.980 --> 00:00:40.800]  內在我們每一個跟隨祂的人的心裡面
[00:00:40.800 --> 00:00:44.580]  聖靈是引導我們明白真理那一位
[00:00:44.580 --> 00:00:47.920]  也是引導我們如何禱告那一位
[00:00:47.920 --> 00:00:50.080]  而杜牧師亦都示範了
[00:00:50.080 --> 00:00:52.440]  如何去做一個禱告
[00:00:52.440 --> 00:00:55.520]  就是用禱讀的方式去做禱告
[00:00:55.620 --> 00:00:58.560]  而教牧同工會亦都鼓勵我們
[00:00:58.560 --> 00:01:00.600]  各頂姐妹,我們小組
[00:01:00.600 --> 00:01:04.020]  都可以用詩篇來禱讀
[00:01:04.020 --> 00:01:06.680]  關於詩篇
[00:01:06.680 --> 00:01:10.020]  有一位在初代教會的時候
[00:01:10.020 --> 00:01:11.540]  在第四世紀
[00:01:11.540 --> 00:01:14.500]  有一位教父叫做阿他拿修
[00:01:14.500 --> 00:01:19.120]  他曾經對詩篇有這樣的評語
[00:01:19.120 --> 00:01:20.880]  他說
[00:01:20.880 --> 00:01:23.080]  所有的聖經經文
[00:01:23.080 --> 00:01:26.460]  都是神向人說話的
[00:01:26.460 --> 00:01:32.160]  唯獨詩篇是幫助我們向神說話
[00:01:32.160 --> 00:01:33.560]  是的
[00:01:33.560 --> 00:01:36.840]  讀詩篇是可以幫助我們的心思意念
[00:01:36.840 --> 00:01:38.400]  去歸向神
[00:01:38.400 --> 00:01:40.800]  將我們從世界
[00:01:40.800 --> 00:01:43.420]  從我們自己的自我中心裡面
[00:01:43.420 --> 00:01:45.700]  去傳言,去歸向神
[00:01:45.700 --> 00:01:48.600]  今天我選擇了詩篇第一篇
[00:01:48.600 --> 00:01:50.340]  跟大家分享
[00:01:50.340 --> 00:01:54.320]  講題是「成為有福的人」
[00:01:54.320 --> 00:01:58.100]  就是詩篇的第一篇,一至六節
[00:01:58.100 --> 00:02:01.060]  在詩篇裡面
[00:02:01.060 --> 00:02:03.200]  共有五卷
[00:02:03.200 --> 00:02:06.300]  一共有150篇
[00:02:06.300 --> 00:02:08.960]  在五卷的詩篇裡面
[00:02:08.960 --> 00:02:11.380]  「有福」這個字
[00:02:11.380 --> 00:02:13.780]  出現了26次
[00:02:13.780 --> 00:02:17.960]  分別在第一卷出現了9次
[00:02:17.960 --> 00:02:19.920]  第二卷出現了3次
[00:02:19.920 --> 00:02:21.840]  第三卷出現了4次
[00:02:21.840 --> 00:02:23.560]  第四卷出現了2次
[00:02:23.560 --> 00:02:26.280]  第五卷出現了8次
[00:02:26.280 --> 00:02:28.060]  我們可以看到
[00:02:28.060 --> 00:02:30.160]  「有福」這個字
[00:02:30.160 --> 00:02:32.860]  在第一卷和第五卷
[00:02:32.860 --> 00:02:35.320]  出現的次數是最多的
[00:02:35.320 --> 00:02:36.800]  可以說
[00:02:36.800 --> 00:02:40.900]  「有福」這個訊息
[00:02:40.900 --> 00:02:44.040]  在詩篇裡面是很重要的
[00:02:44.040 --> 00:02:46.540]  並且作為它在全卷
[00:02:46.540 --> 00:02:49.040]  詩篇裡面作為開始
[00:02:49.040 --> 00:02:51.040]  和作為結束
[00:02:51.040 --> 00:02:55.260]  如果我們要將詩篇再收窄一點去看
[00:02:55.260 --> 00:02:57.800]  就是在第一卷裡面
[00:02:57.800 --> 00:02:59.280]  第一卷裡面
[00:02:59.280 --> 00:03:03.300]  「有福」這個主題是很明顯的
[00:03:03.300 --> 00:03:06.140]  剛才看到第一卷裡面出現了9次
[00:03:06.140 --> 00:03:08.460]  原來在詩篇的第一篇
[00:03:08.460 --> 00:03:10.460]  已經用「有福」作為開始
[00:03:10.460 --> 00:03:13.480]  而在最後那篇,第41篇
[00:03:13.480 --> 00:03:17.400]  也是用「有福」作為詩篇
[00:03:17.400 --> 00:03:20.080]  第一卷詩篇的完結
[00:03:20.080 --> 00:03:22.340]  也是首尾呼應
[00:03:22.340 --> 00:03:26.180]  我們怎樣去作一個「有福」的人呢?
[00:03:26.180 --> 00:03:27.300]  其實在詩篇裡面
[00:03:27.300 --> 00:03:30.040]  是一個很重要的訊息帶給我們
[00:03:30.040 --> 00:03:32.840]  在詩篇第一篇裡面
[00:03:32.840 --> 00:03:37.340]  也成為了一個很重要的引言
[00:03:37.340 --> 00:03:38.560]  對詩篇來說
[00:03:38.560 --> 00:03:41.080]  第一篇是一個很重要的引言
[00:03:41.080 --> 00:03:45.720]  我們也去看一看第一篇詩篇
[00:03:45.720 --> 00:03:48.620]  我們一起去重讀出來
[00:03:48.620 --> 00:03:50.440]  好,預備起
[00:03:50.440 --> 00:03:53.260]  「不從惡人的計謀
[00:03:53.260 --> 00:03:55.600]  不暫聚人的道路
[00:03:55.600 --> 00:03:58.080]  不助亵渺人的座位
[00:03:58.080 --> 00:04:00.660]  唯喜愛耶和華的律法
