
[00:00:00.000 --> 00:00:02.000]  各位頂聖會晚安
[00:00:02.000 --> 00:00:04.000]  首先很感謝敬拜隊
[00:00:04.000 --> 00:00:06.000]  帶領我們一個很感動的敬拜
[00:00:06.000 --> 00:00:09.000]  在當中我們一起遇見上帝
[00:00:09.000 --> 00:00:12.000]  很開心再一次回到大家中間
[00:00:12.000 --> 00:00:14.000]  一起分享上帝的說話
[00:00:14.000 --> 00:00:16.000]  今天我們繼續看
[00:00:16.000 --> 00:00:18.000]  《馬克福音》第六章的經文
[00:00:18.000 --> 00:00:20.000]  在幾個星期之前
[00:00:20.000 --> 00:00:22.000]  聶文耀博士和林牧之
[00:00:22.000 --> 00:00:24.000]  分別跟我們講解了
[00:00:24.000 --> 00:00:26.000]  第六章頭幾個部份
[00:00:26.000 --> 00:00:29.000]  今天我們會看完餘下的段落
[00:00:29.000 --> 00:00:31.000]  讓大家看看文字
[00:00:31.000 --> 00:00:33.000]  會不會稍微小一點
[00:00:33.000 --> 00:00:35.000]  辛苦大家了
[00:00:35.000 --> 00:00:37.000]  為今天的講題
[00:00:37.000 --> 00:00:39.000]  定了這個題目
[00:00:39.000 --> 00:00:41.000]  叫《認清自己的盲點》
[00:00:41.000 --> 00:00:43.000]  剛才開始崇拜之前
[00:00:43.000 --> 00:00:45.000]  有目者問
[00:00:45.000 --> 00:00:47.000]  這個盲點今天是否要
[00:00:47.000 --> 00:00:49.000]  測試我們的色盲
[00:00:49.000 --> 00:00:51.000]  帶著這樣的領帶
[00:00:51.000 --> 00:00:53.000]  究竟在講什麼盲點呢
[00:00:53.000 --> 00:00:55.000]  在開始的時候
[00:00:55.000 --> 00:00:57.000]  很想問大家一個問題
[00:00:57.000 --> 00:00:59.000]  大家覺得基督徒
[00:00:59.000 --> 00:01:01.000]  一旦經歷神的話
[00:01:01.000 --> 00:01:03.000]  是否就等於他對神
[00:01:03.000 --> 00:01:05.000]  更加有信心
[00:01:05.000 --> 00:01:07.000]  更加想認識祂呢
[00:01:07.000 --> 00:01:09.000]  即是基督徒越多經歷神的時候
[00:01:09.000 --> 00:01:11.000]  是否就會更加想認識祂
[00:01:11.000 --> 00:01:13.000]  亦都更加對祂
[00:01:13.000 --> 00:01:15.000]  更加有信心
[00:01:15.000 --> 00:01:17.000]  這個答案
[00:01:17.000 --> 00:01:19.000]  不用跟我說話
[00:01:19.000 --> 00:01:21.000]  有人點頭亦都有人唔
[00:01:21.000 --> 00:01:23.000]  大家可以把這個答案
[00:01:23.000 --> 00:01:25.000]  放在心裏面
[00:01:25.000 --> 00:01:27.000]  我們一起看今天的經文
[00:01:27.000 --> 00:01:29.000]  今天的經文是
[00:01:29.000 --> 00:01:31.000]  馬福音六章四十五到五十六節
[00:01:31.000 --> 00:01:35.000]  我們先讀四十五到五十二節
