
[00:00:00.000 --> 00:00:02.960]  好,我們讀一節聖經,在這個
[00:00:02.960 --> 00:00:06.220]  哥羅西書第二章第六節跟第七節
[00:00:06.220 --> 00:00:08.220]  我們一同來唸好了,兩節來
[00:00:08.220 --> 00:00:12.680]  你們既然接受了主基督耶穌,就當遵祂而行
[00:00:12.680 --> 00:00:16.060]  在祂裡面深耕建造,信心堅固
[00:00:16.060 --> 00:00:20.240]  正如你們所領的教訓,感謝的心也更增長
[00:00:20.240 --> 00:00:22.240]  我們就讀到這裡
[00:00:22.240 --> 00:00:25.400]  感謝神我們整個Shekinah Glory鑑定工程
[00:00:25.400 --> 00:00:28.320]  上個禮拜拿到Final Inspection已經通過
[00:00:28.320 --> 00:00:31.260]  整個工程可以說正式完成了
[00:00:31.260 --> 00:00:33.260]  Amen,Hallelujah
[00:00:33.260 --> 00:00:40.400]  整個工程的時間一共從頭到尾花了一年零五個月
[00:00:40.400 --> 00:00:45.560]  這麼快的速度在灣區本身就算是一個神蹟了
[00:00:45.560 --> 00:00:47.800]  你知道現在我每次看到下雨
[00:00:47.800 --> 00:00:50.600]  我都心裡純純感謝讚美
[00:00:50.600 --> 00:00:53.880]  為了上帝的恩典,真的是想到去年
[00:00:53.880 --> 00:00:57.460]  真的是,去年我們施工期間的時候
[00:00:57.460 --> 00:01:00.280]  真的是幾乎沒有下過雨耶,Amen
[00:01:00.280 --> 00:01:03.800]  不像現在,不但天天下雨,還傾盆大雨
[00:01:03.800 --> 00:01:08.200]  所以每次看到下雨,我就讚嘆我們有偉大奇妙的神,Amen
[00:01:08.200 --> 00:01:12.320]  幾個禮拜之前,我們這個工程公司的老闆來到我們教會
[00:01:12.320 --> 00:01:14.400]  那我跟他有機會能夠見面談
[00:01:14.400 --> 00:01:16.920]  他也跟我談了一下,覺得我們教會這個工程
[00:01:16.920 --> 00:01:20.160]  真的速度快到真的超乎想像
[00:01:20.160 --> 00:01:22.760]  一方面我很謝謝說你們公司
[00:01:22.760 --> 00:01:25.040]  真的是挺立相助我們教會
[00:01:25.040 --> 00:01:27.400]  但我也對他說,我們特別也要說
[00:01:27.400 --> 00:01:30.420]  我們有一個神的特別的幫助在我們教會
[00:01:30.420 --> 00:01:34.760]  給我們這麼美好的天氣,加速工程的進度
[00:01:34.760 --> 00:01:39.320]  他聽完之後,有點苦笑的回答我說
[00:01:39.320 --> 00:01:45.240]  我們現在真是需要有這種神蹟繼續下去
[00:01:45.240 --> 00:01:48.480]  Hallelujah,我們是有神的favor的,Amen
[00:01:48.480 --> 00:01:54.800]  Hallelujah,跟你媽說我們有神的favor在我們身上,跟她說
[00:01:54.800 --> 00:01:58.160]  上個禮拜我剛從非洲回來,你知道每年的二月
