
[00:00:00.000 --> 00:00:03.000]  在我剛剛信耶穌是高中的時候
[00:00:03.000 --> 00:00:06.000]  那信耶穌以後就有人來分享
[00:00:06.000 --> 00:00:07.000]  有一些屬靈長輩
[00:00:07.000 --> 00:00:09.000]  還有一些牧者就分享說
[00:00:09.000 --> 00:00:12.000]  基督的生命其實有幾個階段
[00:00:12.000 --> 00:00:16.000]  所以我就跟你分享一下他們跟我說什麼
[00:00:16.000 --> 00:00:19.000]  他說第一個階段就好像以色列人出埃及一樣
[00:00:19.000 --> 00:00:25.000]  本來你的生命在埃及是一個為奴的生命
[00:00:25.000 --> 00:00:26.000]  是一個奴役的生命
[00:00:26.000 --> 00:00:29.000]  受許多的痛苦被罪捆綁
[00:00:29.000 --> 00:00:32.000]  而且有許多人家會來要求你
[00:00:32.000 --> 00:00:35.000]  就是好像你很不快樂很不舒服
[00:00:35.000 --> 00:00:36.000]  這是一樣的生命
[00:00:36.000 --> 00:00:39.000]  但是終有一天你因為耶穌
[00:00:39.000 --> 00:00:41.000]  所以你過了紅海
[00:00:41.000 --> 00:00:43.000]  所以當你進入紅海的時候
[00:00:43.000 --> 00:00:47.000]  在曠野地還是可能還有很多事情
[00:00:47.000 --> 00:00:49.000]  你會發抱怨你還是會怨言
[00:00:49.000 --> 00:00:51.000]  你還是這樣已經成為成了軍隊
[00:00:51.000 --> 00:00:53.000]  但是裡頭還是覺得很不舒坦
[00:00:53.000 --> 00:00:55.000]  碰到很多事情沒肉吃就喊
[00:00:55.000 --> 00:00:57.000]  沒水喝就喊
[00:00:57.000 --> 00:00:59.000]  很多的事情就發生
[00:00:59.000 --> 00:01:03.000]  那最終你有一天你會過過艱難
[00:01:03.000 --> 00:01:04.000]  你會到哪裡
[00:01:04.000 --> 00:01:06.000]  會渡過約旦河進到加拿大
[00:01:06.000 --> 00:01:08.000]  加拿大稱為牛奶與蜜汁地
[00:01:08.000 --> 00:01:09.000]  是很美好的
[00:01:09.000 --> 00:01:11.000]  所以當你在牛奶與蜜汁地的時候
[00:01:11.000 --> 00:01:13.000]  其實你開始可以享受
[00:01:13.000 --> 00:01:14.000]  加拿大所的出產
[00:01:14.000 --> 00:01:16.000]  你應該生命很快樂
[00:01:16.000 --> 00:01:17.000]  很美好
[00:01:17.000 --> 00:01:19.000]  然後很富足
[00:01:19.000 --> 00:01:20.000]  什麼都可以
[00:01:20.000 --> 00:01:21.000]  而且你已經自由之身
[00:01:21.000 --> 00:01:22.000]  你是自由的人
[00:01:22.000 --> 00:01:25.000]  而且打仗都會得勝
[00:01:25.000 --> 00:01:27.000]  我信耶穌那麼多年
[00:01:27.000 --> 00:01:29.000]  我就覺得好像也不是這樣
[00:01:29.000 --> 00:01:31.000]  然後他說那你就要去警察一下
[00:01:31.000 --> 00:01:33.000]  你到底你現在在哪裡
[00:01:33.000 --> 00:01:34.000]  他想了半天
[00:01:34.000 --> 00:01:36.000]  難道還在曠野嗎
[00:01:36.000 --> 00:01:38.000]  還是已經掉到江南地
[00:01:38.000 --> 00:01:39.000]  所以問隔壁的
[00:01:39.000 --> 00:01:44.000]  你現在在曠野還是在江南地
[00:01:44.000 --> 00:01:45.000]  不要問你們舉手
[00:01:45.000 --> 00:01:47.000]  大概應該都是在江南地
[00:01:47.000 --> 00:01:49.000]  還是在曠野
[00:01:49.000 --> 00:01:50.000]  那另外一個人
[00:01:50.000 --> 00:01:51.000]  有人跟我分享說
