
[00:00:00.000 --> 00:00:04.760]  好,請各位仍然翻開詩篇134篇
[00:00:04.760 --> 00:00:08.520]  我會用和合本修訂版讀一次給大家聽
[00:00:08.520 --> 00:00:29.680]  這首詩歌是詩篇的134篇
[00:00:30.000 --> 00:00:32.680]  也就是《尚行之詩》的最後一篇
[00:00:32.680 --> 00:00:37.000]  《尚行之詩》從詩篇的120篇
[00:00:37.000 --> 00:00:39.800]  開始到134篇
[00:00:39.800 --> 00:00:41.440]  所以這首詩歌
[00:00:41.440 --> 00:00:43.440]  最早唱這首詩歌的人
[00:00:43.440 --> 00:00:45.400]  是哪一群人唱呢?
[00:00:45.400 --> 00:00:48.520]  就是那一群朝聖者
[00:00:48.520 --> 00:00:51.040]  他們已經去到耶路撒冷
[00:00:51.040 --> 00:00:53.240]  大家知道《尚行之詩》就是說他們
[00:00:53.240 --> 00:00:55.240]  從他們的家裡面出發
[00:00:55.240 --> 00:00:57.600]  他們去到耶路撒冷
[00:00:57.600 --> 00:01:01.360]  石安山聖殿裡面去稱頌主
[00:01:01.360 --> 00:01:02.800]  去讚美主
[00:01:02.800 --> 00:01:03.960]  去崇拜
[00:01:03.960 --> 00:01:07.880]  是他們旅程的目的地和目標
[00:01:07.880 --> 00:01:08.920]  所以呢
[00:01:08.920 --> 00:01:11.640]  這首詩篇134篇是什麼時候唱呢?
[00:01:11.640 --> 00:01:13.880]  就是你要去到耶路撒冷
[00:01:13.880 --> 00:01:15.400]  這個聖殿裡面
[00:01:15.400 --> 00:01:16.800]  你就去唱這首詩歌
[00:01:16.800 --> 00:01:18.800]  所以第一群人唱這首詩歌
[00:01:18.800 --> 00:01:19.880]  就是這一群人
[00:01:19.880 --> 00:01:20.960]  他們的朝聖者
[00:01:20.960 --> 00:01:22.400]  他們就去到這個地方
[00:01:22.400 --> 00:01:23.840]  唱這首詩歌
[00:01:23.840 --> 00:01:29.280]  這首詩歌也是《尚行之詩》的最後一篇
[00:01:29.280 --> 00:01:32.120]  所以我們看到裡面是很有意思的
[00:01:32.120 --> 00:01:33.240]  為什麼呢?
[00:01:33.240 --> 00:01:35.040]  因為他們很清楚
[00:01:35.040 --> 00:01:37.600]  他們為什麼要來耶路撒冷
[00:01:37.600 --> 00:01:39.200]  為什麼要來耶路撒冷
[00:01:39.200 --> 00:01:42.320]  因為耶路撒冷最大的英許
[00:01:42.320 --> 00:01:43.520]  給他們是什麼呢?
[00:01:43.520 --> 00:01:45.920]  他們能夠在聖殿裡面
[00:01:45.920 --> 00:01:47.400]  崇拜主
[00:01:47.400 --> 00:01:49.280]  在聖殿裡面
[00:01:49.280 --> 00:01:51.080]  去稱頌神
[00:01:51.600 --> 00:01:55.040]  那今天你為什麼會來到禮拜堂呢?
[00:01:55.040 --> 00:01:57.440]  為什麼你會從家裡出發
[00:01:57.440 --> 00:01:58.960]  坐車、坐船
[00:01:58.960 --> 00:02:01.400]  甚至有些從海外回來
[00:02:01.400 --> 00:02:04.520]  回來尖沙咀金馬倫道
[00:02:04.520 --> 00:02:05.960]  來這個禮拜堂
[00:02:05.960 --> 00:02:07.240]  你目的是什麼呢?
[00:02:07.240 --> 00:02:08.600]  是什麼呢?
[00:02:08.600 --> 00:02:11.960]  崇拜主
[00:02:11.960 --> 00:02:14.920]  你不只是見到幾個舊朋友
[00:02:14.920 --> 00:02:15.920]  大家見面
[00:02:15.920 --> 00:02:18.400]  最主要是你來崇拜主
[00:02:18.400 --> 00:02:21.360]  因為他們朝聖者的路途
[00:02:21.360 --> 00:02:22.400]  很清楚
