
[00:00:00.000 --> 00:00:02.540]  羅馬書的第 30 章
[00:00:02.540 --> 00:00:05.240]  我們已經講了 30 章
[00:00:05.240 --> 00:00:08.720]  羅馬書我其實預備了一共有 40 章
[00:00:08.720 --> 00:00:10.100]  但如果你記得的話
[00:00:10.100 --> 00:00:14.840]  我在四年前已經講了 14 章和 15 章的部分
[00:00:14.840 --> 00:00:17.080]  講了 3 個訊息
[00:00:17.080 --> 00:00:20.980]  所以 30 加 3 就已經講了 33 個訊息
[00:00:20.980 --> 00:00:22.460]  還有 7 個
[00:00:22.460 --> 00:00:25.700]  今天會講羅馬書的第 11 章
[00:00:25.700 --> 00:00:27.720]  我們會暫時停一停
[00:00:27.720 --> 00:00:30.080]  又回到講大衛傳
[00:00:30.080 --> 00:00:32.320]  聖經真的很精彩
[00:00:32.320 --> 00:00:35.340]  講了這麼多的神學在羅馬書裡面
[00:00:35.340 --> 00:00:38.480]  又要回到大衛傳講故事
[00:00:38.480 --> 00:00:41.960]  再由故事當中又看神的神學
[00:00:41.960 --> 00:00:46.960]  我們會在下年年初回來看羅馬書
[00:00:46.960 --> 00:00:50.280]  就會將整部羅馬書講完
[00:00:50.280 --> 00:00:52.480]  今天要講羅馬書的第 11 章
[00:00:52.480 --> 00:00:55.320]  第 26 至 33 節
[00:00:55.320 --> 00:00:58.320]  這一個題目很有意思
[00:00:58.320 --> 00:01:02.000]  「神救贖人最終的原因」
[00:01:02.000 --> 00:01:05.080]  你說為什麼會有這樣的訊息
[00:01:05.080 --> 00:01:06.680]  你上次不是說
[00:01:06.680 --> 00:01:08.600]  羅馬書的第 11 章
[00:01:08.600 --> 00:01:11.960]  神將以色列人放在一旁有三個原因
[00:01:11.960 --> 00:01:13.960]  第一個是
[00:01:13.960 --> 00:01:17.600]  他們只是部分的被神放在一旁
[00:01:17.600 --> 00:01:19.480]  第二點是
[00:01:19.480 --> 00:01:22.440]  不是永遠地放棄他們
[00:01:22.440 --> 00:01:24.480]  而是將他們放在一旁
[00:01:24.480 --> 00:01:26.000]  到了最後
[00:01:26.000 --> 00:01:28.680]  以色列全家都會得救
[00:01:28.680 --> 00:01:30.760]  今天要講第三個原因
[00:01:30.760 --> 00:01:36.120]  為什麼會講神救贖人最終的目的
[00:01:36.120 --> 00:01:37.880]  最終的原因呢
[00:01:37.880 --> 00:01:41.840]  其實跟他救贖以色列人是息息相關
[00:01:41.840 --> 00:01:43.960]  是有連帶的關係
[00:01:43.960 --> 00:01:46.960]  我們稍後就會看到
[00:01:46.960 --> 00:01:48.120]  我們說
[00:01:48.120 --> 00:01:50.320]  羅馬書的 9 章至 11 章
[00:01:50.320 --> 00:01:52.840]  是一個單元有關係
[00:01:52.840 --> 00:01:55.520]  今天就要講 11 章
[00:01:55.520 --> 00:02:00.240]  當世人看到以色列人現在不敬拜神
[00:02:00.240 --> 00:02:02.600]  他們拒絕接受耶穌基督
[00:02:02.600 --> 00:02:03.920]  拒絕福音
[00:02:03.920 --> 00:02:08.400]  有人可能認為神的計劃落空了
[00:02:08.400 --> 00:02:09.960]  但是保羅怎麼說
[00:02:09.960 --> 00:02:11.440]  在羅馬書的第 9 章
[00:02:11.440 --> 00:02:12.680]  不是啊
[00:02:12.680 --> 00:02:16.240]  是神的計劃暫時將他們放在一旁
[00:02:16.240 --> 00:02:19.120]  是神的旨意 是神的主權
[00:02:19.120 --> 00:02:23.800]  現在他們正是走在神的計劃裏面
[00:02:23.800 --> 00:02:26.120]  但是羅馬書的第 10 章
[00:02:26.120 --> 00:02:28.800]  說以色列人不能逃避責任
[00:02:28.800 --> 00:02:32.400]  他們應該要為自己的不信負責任
[00:02:32.400 --> 00:02:33.880]  他們的鐵石心腸
[00:02:33.880 --> 00:02:35.920]  他們拒絕耶穌基督
[00:02:35.920 --> 00:02:39.480]  他們完全不能逃避責任
[00:02:39.480 --> 00:02:41.040]  11 章呢
[00:02:41.040 --> 00:02:44.040]  告訴我們神將他們放在一旁
[00:02:44.040 --> 00:02:46.520]  只不過是部分
[00:02:46.520 --> 00:02:48.920]  還有愚民會相信
[00:02:48.920 --> 00:02:50.240]  神將他們放在一旁
[00:02:50.240 --> 00:02:51.400]  第二點
