
[00:00:00.000 --> 00:00:03.000]  我們再一次在神面前安靜
[00:00:03.000 --> 00:00:05.000]  安靜的時候
[00:00:05.000 --> 00:00:06.000]  弟兄姊妹
[00:00:06.000 --> 00:00:07.000]  我想你
[00:00:07.000 --> 00:00:10.000]  將你心之意念
[00:00:10.000 --> 00:00:14.000]  都對準我們的上帝
[00:00:14.000 --> 00:00:20.000]  耶和華上帝是創造我們的神
[00:00:20.000 --> 00:00:23.000]  祂是宇宙萬物的主宰
[00:00:23.000 --> 00:00:27.000]  我們整個教會
[00:00:27.000 --> 00:00:29.000]  一起來敬拜祂的時候
[00:00:29.000 --> 00:00:32.000]  讓我們在祂面前謙卑
[00:00:32.000 --> 00:00:35.000]  懂得敬畏祂
[00:00:35.000 --> 00:00:37.000]  又懂得去愛祂
[00:00:37.000 --> 00:00:41.000]  將我們所有內心的憂慮
[00:00:41.000 --> 00:00:42.000]  困擾
[00:00:42.000 --> 00:00:44.000]  煩躁的事
[00:00:44.000 --> 00:00:46.000]  都在神面前放下
[00:00:46.000 --> 00:00:50.000]  讓我們全心全意去愛我們的神
[00:00:50.000 --> 00:00:53.000]  求主幫助我們
[00:00:53.000 --> 00:00:55.000]  讓我們的生命
[00:00:55.000 --> 00:00:58.000]  在神面前很清晰地
[00:00:58.000 --> 00:01:00.000]  被神的靈光照
[00:01:00.000 --> 00:01:02.000]  有沒有什麼罪
[00:01:02.000 --> 00:01:04.000]  仍然纏擾我們
[00:01:04.000 --> 00:01:07.000]  有沒有什麼偏見
[00:01:07.000 --> 00:01:10.000]  個人的執著
[00:01:10.000 --> 00:01:12.000]  我們仍然很堅持
[00:01:12.000 --> 00:01:15.000]  我們不讓上帝做我們的主
[00:01:15.000 --> 00:01:17.000]  沒有將主權交給他
[00:01:17.000 --> 00:01:19.000]  讓我們在這一刻
[00:01:19.000 --> 00:01:20.000]  向神降服
[00:01:20.000 --> 00:01:22.000]  讓我們信靠神
[00:01:22.000 --> 00:01:25.000]  祂帶領我們生命每一個階段
[00:01:25.000 --> 00:01:27.000]  求主帶領我們
[00:01:27.000 --> 00:01:28.000]  真的學習
[00:01:28.000 --> 00:01:31.000]  跟從神是用信心去跟從
[00:01:31.000 --> 00:01:34.000]  不是憑我們的經驗
[00:01:34.000 --> 00:01:36.000]  不是憑我們的眼見
[00:01:36.000 --> 00:01:38.000]  而是真的用信心
[00:01:38.000 --> 00:01:40.000]  在沒有路的時候
[00:01:40.000 --> 00:01:43.000]  神幫我們開一條新的路
[00:01:43.000 --> 00:01:46.000]  讓我們踏在神的路上
[00:01:46.000 --> 00:01:50.000]  主求祢幫助帶領我們
[00:01:50.000 --> 00:01:52.000]  讓我們有領受祢的話語的心
[00:01:52.000 --> 00:01:53.000]  聽我們同心禱告
[00:01:53.000 --> 00:01:55.000]  奉耶穌基督的聖名
[00:01:56.000 --> 00:01:58.000]  以色列人出埃及
[00:01:58.000 --> 00:02:00.000]  離開圍爐之地
[00:02:00.000 --> 00:02:04.000]  是一個很特別的事件
[00:02:04.000 --> 00:02:06.000]  你知道上帝
[00:02:06.000 --> 00:02:09.000]  祂在普天下
[00:02:09.000 --> 00:02:12.000]  揀選了一個人叫阿伯蘭
[00:02:12.000 --> 00:02:14.000]  後來改了名叫阿伯拉罕
[00:02:14.000 --> 00:02:15.000]  因為神說這個人
[00:02:15.000 --> 00:02:16.000]  他有信心
[00:02:16.000 --> 00:02:18.000]  神就稱他為義
[00:02:18.000 --> 00:02:20.000]  神答應他要從這個人
[00:02:20.000 --> 00:02:22.000]  出來一個民族
[00:02:22.000 --> 00:02:23.000]  一個國家
[00:02:23.000 --> 00:02:25.000]  這個國家要代表神
[00:02:25.000 --> 00:02:28.000]  成為一個所謂祭司的國度
[00:02:28.000 --> 00:02:30.000]  去將神的祝福
[00:02:30.000 --> 00:02:34.000]  帶給所有陷在罪裡面的人
[00:02:34.000 --> 00:02:36.000]  將祝福帶給全世界
[00:02:36.000 --> 00:02:38.000]  所以阿伯拉罕
[00:02:38.000 --> 00:02:40.000]  就成為一個蒙福的人
[00:02:40.000 --> 00:02:41.000]  我們讀整個
[00:02:41.000 --> 00:02:42.000]  由阿伯拉罕的生命
[00:02:42.000 --> 00:02:44.000]  一路來到約書亞記
[00:02:44.000 --> 00:02:47.000]  我們看到一個很清楚的事實
[00:02:47.000 --> 00:02:50.000]  就是祝福是隨著蒙福的人
[00:02:50.000 --> 00:02:53.000]  祝福是隨著蒙福的人
[00:02:53.000 --> 00:02:55.000]  神要使用人
[00:02:55.000 --> 00:02:57.000]  要使用以色列這個民族
[00:02:57.000 --> 00:03:00.000]  將祝福帶給周圍的人
[00:03:00.000 --> 00:03:04.000]  我們知道一出埃及
[00:03:04.000 --> 00:03:06.000]  神用了很多神蹟騎士
[00:03:06.000 --> 00:03:07.000]  顯出神的
[00:03:07.000 --> 00:03:09.000]  蚌蔽神的大能
[00:03:09.000 --> 00:03:10.000]  出埃及之後
[00:03:10.000 --> 00:03:12.000]  神就開始
[00:03:12.000 --> 00:03:13.000]  好像聖經說
[00:03:13.000 --> 00:03:14.000]  神要將以色列
[00:03:14.000 --> 00:03:15.000]  整個民族
[00:03:15.000 --> 00:03:17.000]  即是神的兒子
[00:03:17.000 --> 00:03:18.000]  整個以色列
[00:03:18.000 --> 00:03:20.000]  就好像神的兒女一樣
[00:03:20.000 --> 00:03:21.000]  帶他出來埃及之後
[00:03:21.000 --> 00:03:24.000]  神就開始教導他們
[00:03:24.000 --> 00:03:26.000]  一個很重要的事
