
[00:00:00.000 --> 00:00:01.020]  丁師妹 早晨
[00:00:01.020 --> 00:00:03.600]  很高興能夠和大家一起再次見面
[00:00:03.600 --> 00:00:06.160]  同心地在主的說話裏面學習
[00:00:06.160 --> 00:00:08.260]  也是在聆聽主道以先
[00:00:08.260 --> 00:00:11.520]  我們再次低頭同心地禱告
[00:00:11.520 --> 00:00:12.600]  初日天父 多謝祢
[00:00:12.600 --> 00:00:14.480]  讓我們能夠再次回到祢
[00:00:14.480 --> 00:00:17.280]  在祢的說話的面前去學習
[00:00:17.280 --> 00:00:19.440]  求祢透過祢的話語
[00:00:19.440 --> 00:00:21.000]  能夠使我們更加明白
[00:00:21.000 --> 00:00:23.120]  如何作為一個合主
[00:00:23.120 --> 00:00:25.280]  祢心意的一個神的子民
[00:00:25.280 --> 00:00:29.120]  要能夠成為神國當中的一員
[00:00:29.120 --> 00:00:30.640]  所以我們懇求主祢
[00:00:30.640 --> 00:00:32.720]  讓我們在這條乘勝的路上
[00:00:32.720 --> 00:00:36.480]  能夠更加抓緊聖靈如何與我們同攻
[00:00:36.480 --> 00:00:41.400]  幫助我們能夠在屬靈生命上打穩根基
[00:00:41.400 --> 00:00:45.320]  能夠預備好在這個永恆的當中與主祢同活
[00:00:45.320 --> 00:00:47.640]  求主祢的同在
[00:00:47.640 --> 00:00:49.120]  我們同心地禱告
[00:00:49.120 --> 00:00:51.160]  奉靠主耶穌基督的特性的名字
[00:00:51.160 --> 00:00:53.840]  靠 阿們
[00:00:53.840 --> 00:00:56.200]  今天和大家一起分享的經文
[00:00:56.200 --> 00:01:01.480]  是《加拉太書》第五章第十九至二十一節
[00:01:01.480 --> 00:01:03.360]  其實十九至二十一節
[00:01:03.360 --> 00:01:05.240]  還有接著下一個主日
[00:01:05.240 --> 00:01:10.360]  我們會繼續看的第五章第二十二節
[00:01:10.360 --> 00:01:12.200]  至到這一章的末尾
[00:01:12.200 --> 00:01:14.160]  是成為一個段落的
[00:01:14.160 --> 00:01:17.600]  讓我們在這兩者之間
[00:01:17.600 --> 00:01:19.400]  這兩個段落裏面
[00:01:19.400 --> 00:01:23.200]  能夠更加掌握如何能夠成為一個屬神的子民
[00:01:23.200 --> 00:01:29.480]  今天所講的題目是「憑血氣行事的多樣化」
[00:01:29.480 --> 00:01:33.200]  讓我們再次聽主導儀
[00:01:33.200 --> 00:01:34.960]  我們先回到這段經文
[00:01:34.960 --> 00:01:37.880]  看看這段經文所講的內容是甚麼
[00:01:37.880 --> 00:01:40.200]  讓我們再次翻開聖經
[00:01:40.200 --> 00:01:45.600]  一起去讀《加拉太書》第五章第十九至二十一節
[00:01:45.600 --> 00:02:10.800]  「情慾的事都是顯而易見的,就如奸淫、污衛、邪蕩、拜偶像、邪術、仇恨、憎恨、忌恨、擄奴、結黨、紛爭、疑端、嫉妒、追責、謊言等類。
[00:02:10.800 --> 00:02:21.480]  我從前告訴你們,現在又告訴你們,行這樣事的人必不能承受神的國。」
[00:02:21.480 --> 00:02:26.120]  很久以前我曾經和大家庭姐妹經常講這句話
[00:02:26.120 --> 00:02:30.880]  「不信主的,可以有一千萬個理由你可以數得出,
[00:02:30.880 --> 00:02:40.040]  但如果是信主的,只有一個原因,就是向神認罪悔改。」
[00:02:40.040 --> 00:02:44.480]  其實這個說法不是出於我個人的看法
[00:02:44.480 --> 00:02:53.240]  而是我從聖經整體的啟示當中所融會整合出來的一個歸納
[00:02:53.240 --> 00:02:58.040]  其中要依靠的一個歸納經文
[00:02:58.040 --> 00:03:03.240]  就是我們今天一起思想的這段經文《加拉太書》
[00:03:03.240 --> 00:03:09.680]  其實《加拉太書》從第五章第十九節至二十六節裏
[00:03:09.680 --> 00:03:12.600]  都是將整個屬靈的生命
[00:03:12.600 --> 00:03:17.960]  整個進程和我們稱之為「成性」的過程
[00:03:17.960 --> 00:03:22.280]  將它完全規劃出來讓我們知道
[00:03:22.280 --> 00:03:26.280]  今天我們首先會看頭一半的思想
[00:03:26.280 --> 00:03:30.520]  就是從《加拉太書》第五章第十九至二十一節
[00:03:30.520 --> 00:03:38.680]  在這一部分裏面提出了有關行著血氣行事的多樣性質
