
[00:00:00.000 --> 00:00:03.040]  今天是十二月二十六日
[00:00:03.040 --> 00:00:05.040]  大家可能會有個疑問
[00:00:05.040 --> 00:00:08.600]  為什麼今年的聖誕崇拜遲了一天呢?
[00:00:08.600 --> 00:00:10.400]  昨天是聖誕的正日
[00:00:10.400 --> 00:00:15.200]  為什麼今天二十六日才來聖誕崇拜呢?
[00:00:15.200 --> 00:00:19.600]  原因是因為我們教會有禮拜六的黃昏堂
[00:00:19.600 --> 00:00:21.600]  昨天是十二月二十五日
[00:00:21.600 --> 00:00:25.400]  我們希望在正日一齊來敬拜
[00:00:25.400 --> 00:00:27.200]  紀念救主降生
[00:00:27.200 --> 00:00:30.200]  所以今年安排在二十五、二十六日
[00:00:30.200 --> 00:00:33.400]  其實聖經裡沒有說過
[00:00:33.400 --> 00:00:38.000]  主耶穌出生的年月日也沒有說
[00:00:38.000 --> 00:00:42.600]  其實是公元第四世紀開始
[00:00:42.600 --> 00:00:46.200]  才有人在十二月二十五日
[00:00:46.200 --> 00:00:50.400]  定為聖誕節來紀念主的降生
[00:00:50.400 --> 00:00:52.400]  為什麼會選擇這一天呢?
[00:00:52.400 --> 00:00:55.400]  按照古羅馬的曆法
[00:00:55.400 --> 00:00:59.400]  十二月二十五日是他們的冬節
[00:00:59.400 --> 00:01:04.400]  也就是全年裡面日照時間最短的一天
[00:01:04.400 --> 00:01:05.800]  過了這一天
[00:01:05.800 --> 00:01:10.000]  日照時間就會逐漸延長
[00:01:10.000 --> 00:01:16.400]  羅馬人認為這一天是象徵著黑暗逐漸過去
[00:01:16.400 --> 00:01:18.200]  世界越來越光明
[00:01:18.200 --> 00:01:24.400]  所以就將這一天定為太陽神的生辰
[00:01:24.400 --> 00:01:29.400]  後來君士坦丁逐漸統一了羅馬帝國
[00:01:29.400 --> 00:01:32.400]  也以基督教作為國教
[00:01:32.400 --> 00:01:36.600]  並且確立以十二月二十五日
[00:01:36.600 --> 00:01:39.200]  作為耶穌出生的日子
[00:01:39.200 --> 00:01:42.400]  這一天就定為聖誕日
[00:01:42.400 --> 00:01:45.800]  為什麼會選擇這一天呢?
[00:01:45.800 --> 00:01:47.400]  有人認為
[00:01:47.400 --> 00:01:52.800]  君士坦丁可能視耶穌為新的太陽神
[00:01:52.800 --> 00:01:54.600]  又有人認為
[00:01:54.600 --> 00:01:58.800]  他大概是想藉此來抗衡
[00:01:58.800 --> 00:02:01.600]  那些敬拜太陽神的風氣
[00:02:01.600 --> 00:02:06.800]  所以就將這一天定為紀念救主的降生
[00:02:06.800 --> 00:02:08.800]  無論如何
[00:02:08.800 --> 00:02:14.400]  這一天就是我們來紀念聖嬰降生的日子
