
[00:00:00.000 --> 00:00:03.600]  說話是一種能力
[00:00:03.600 --> 00:00:06.000]  是一種影響力
[00:00:06.000 --> 00:00:09.000]  但亦是一種破壞力
[00:00:09.000 --> 00:00:15.800]  所以能夠適當閉嘴是一種智慧
[00:00:15.800 --> 00:00:22.200]  中國人形容病從口入,禍從口出
[00:00:22.200 --> 00:00:26.400]  一言興邦,一言可以喪邦
[00:00:26.400 --> 00:00:29.400]  歷史有很多這些教訓
[00:00:29.400 --> 00:00:34.200]  根據統計,我們生命中大概有五分之一的時間在說話
[00:00:34.200 --> 00:00:38.600]  根據統計,我們生命中大概有五分之一的時間在講話
[00:00:38.600 --> 00:00:41.200]  當然女士相對不會更高
[00:00:41.200 --> 00:00:43.600]  當然女士相對是更高一點點
[00:00:43.600 --> 00:00:49.600]  所以有人這樣說,你一年時間整理你每天說話的紀錄的話
[00:00:49.600 --> 00:00:54.800]  所以說,如果你用一年時間整理你講話的紀錄的話
[00:00:54.800 --> 00:00:59.200]  可以編輯成六十六本厚百百頁的書
[00:00:59.200 --> 00:01:02.800]  可以編輯成六十六本厚百百頁的書
[00:01:02.800 --> 00:01:04.600]  我們當中有幾位大學教授
[00:01:04.600 --> 00:01:06.200]  我們當中有幾位大學教授
[00:01:06.200 --> 00:01:09.400]  你常常煩惱要有一些著作
[00:01:09.400 --> 00:01:11.800]  你常常煩惱要有一些著作
[00:01:11.800 --> 00:01:14.000]  如果將每天的說話編輯成書的話
[00:01:14.000 --> 00:01:16.400]  如果將每天的說話編輯成書的話
[00:01:16.400 --> 00:01:18.200]  六十六本百百頁的書
[00:01:18.200 --> 00:01:20.600]  就會有六十六本八百頁的書
[00:01:20.600 --> 00:01:22.600]  但如果我們仔細去分析的話
[00:01:22.600 --> 00:01:24.400]  如果我們仔細去分析的話
[00:01:24.400 --> 00:01:26.600]  可能只有一兩頁是有意思的
[00:01:26.600 --> 00:01:28.800]  可能就只有一兩頁是有意義的
[00:01:28.800 --> 00:01:34.000]  有人說話讓我們如沐春風,發人深省
[00:01:34.000 --> 00:01:37.600]  有人說話讓我們如沐春風,發人深省
[00:01:37.600 --> 00:01:42.200]  有人說話讓我們如沐春風,發人深省
[00:01:42.200 --> 00:01:45.600]  有人說話讓我們如沐春風,發人深省
[00:01:45.600 --> 00:01:48.400]  現代人很崇尚言論自由
[00:01:48.400 --> 00:01:50.800]  現代人很崇尚言論自由
[00:01:50.800 --> 00:01:52.600]  我們都很勇於表達我們的意見
[00:01:52.600 --> 00:01:54.400]  我們都很勇於表達我們的意見
[00:01:54.400 --> 00:01:59.600]  有時候自覺不自覺,站在一個所謂道德高地,對很多事情發出一些批評
[00:01:59.600 --> 00:02:05.400]  有時候不管自覺或不自覺,站在一個很高的道德標準的話,會發生一些意見
[00:02:05.400 --> 00:02:10.600]  但另一方面,一些政客說話又留有一手
[00:02:10.600 --> 00:02:14.000]  但另一方面,政客講話會留有一手的
[00:02:14.000 --> 00:02:16.400]  有時候甚至一口兩舌,出爾反爾
[00:02:16.400 --> 00:02:19.400]  有時候甚至一口兩舌,出爾反爾
[00:02:19.400 --> 00:02:22.200]  結果很多語言的藝術
[00:02:22.200 --> 00:02:24.200]  結果出現很多語言的藝術
[00:02:24.200 --> 00:02:26.400]  說了一些高大胸的東西,你都不知道他想說什麼
[00:02:26.400 --> 00:02:29.400]  說了一些高大胸的東西,你都不知道他想說什麼
[00:02:29.400 --> 00:02:33.000]  有一次有位女士去超級市場買一些肉類
[00:02:33.000 --> 00:02:35.800]  有一次有位女士去超級市場買一些肉類
[00:02:35.800 --> 00:02:39.000]  她看見其中一塊肉類,她就想說
[00:02:39.000 --> 00:02:43.200]  可不可以我要這一塊肉的一半,因為我只有一個人吃
[00:02:43.200 --> 00:02:49.000]  她看見有一塊肉,她就跟教授說,我可不可以要這個肉的一半
[00:02:49.000 --> 00:02:51.800]  因為只有我一個人吃
[00:02:51.800 --> 00:02:56.200]  店員就說按公司規定,你一買就要買全份
[00:02:56.200 --> 00:02:59.600]  店員就說按公司規定,你一買就要買全份
[00:02:59.600 --> 00:03:02.200]  我儘管試一下問一下經理可不可以
[00:03:02.200 --> 00:03:04.800]  我幫你試一下問一下經理看可不可以
[00:03:04.800 --> 00:03:08.800]  但這個售貨員就心不甘情不願地跟經理說
[00:03:08.800 --> 00:03:11.400]  但這個售貨員就心不甘情不願地跟經理說
[00:03:11.400 --> 00:03:12.600]  他說神經病的
[00:03:12.600 --> 00:03:13.800]  他說神經病的
[00:03:13.800 --> 00:03:16.400]  他說簡直沒辦法相信這些事
[00:03:16.400 --> 00:03:18.200]  他說簡直沒辦法相信這種事
[00:03:18.200 --> 00:03:20.400]  那條八婆說要切一半
[00:03:20.400 --> 00:03:23.000]  他說那個麻煩的女人說要切一半肉
[00:03:23.000 --> 00:03:27.400]  突然我見到那個經理眼神有一種斬眼
[00:03:27.400 --> 00:03:29.800]  他突然看見經理的眼神在那裏一直斬
[00:03:29.800 --> 00:03:31.600]  原來那位女士跟在他後面
[00:03:31.600 --> 00:03:33.400]  原來那個女士就站在他後面
[00:03:33.400 --> 00:03:35.600]  這個售貨員好像有目的
[00:03:35.600 --> 00:03:38.000]  這個售貨員就像牧師那麼醒目
[00:03:38.000 --> 00:03:39.800]  馬上轉口
[00:03:39.800 --> 00:03:44.000]  他說好在這位和藹可親的女士要了另一半
[00:03:44.000 --> 00:03:47.600]  他說好在這和藹可親的女士要另外的一半
[00:03:47.600 --> 00:03:51.400]  有時候衝口而出在不適當的時候說不適當的話
[00:03:51.400 --> 00:03:55.000]  有時候衝口而出在不適當的時候說不適當的話語
[00:03:55.000 --> 00:03:56.600]  為自己添了很多麻煩
[00:03:56.600 --> 00:03:58.400]  會為自己添了好多麻煩
[00:03:58.400 --> 00:04:00.800]  雅各書一卷很實用的書
[00:04:00.800 --> 00:04:03.000]  雅各書是一卷很實用的書
[00:04:03.000 --> 00:04:07.600]  他比其他的書卷特別提到我們語言上會出錯
[00:04:07.600 --> 00:04:11.400]  他比其他書特別提到我們語言上會出錯
[00:04:11.400 --> 00:04:14.600]  他也教導我們怎樣學習去管理自己的嘴巴
[00:04:14.600 --> 00:04:17.200]  他也教導我們怎樣去管理自己的嘴巴
[00:04:17.200 --> 00:04:18.800]  所以一開始的時候
[00:04:18.800 --> 00:04:20.800]  雅各書就開宗明嚴地說
[00:04:20.800 --> 00:04:21.800]  所以一開始的時候
[00:04:21.800 --> 00:04:24.200]  雅各書就開宗明嚴地說
[00:04:24.200 --> 00:04:27.400]  原來我們在許多事上都有過失
[00:04:27.400 --> 00:04:29.600]  若有人在話語上沒有過失
[00:04:29.600 --> 00:04:30.800]  他就是完全人
[00:04:30.800 --> 00:04:33.000]  也能樂著自己的全身
[00:04:33.000 --> 00:04:34.600]  雅各書在這裡告訴我們
[00:04:34.600 --> 00:04:36.000]  雅各書在這裡告訴我們
[00:04:36.000 --> 00:04:39.400]  如果我們能夠適當控制自己的嘴巴
[00:04:39.400 --> 00:04:41.800]  如果我們可以適當地控制自己的嘴巴
[00:04:41.800 --> 00:04:43.600]  我們就可以成為一個完美的人
[00:04:43.600 --> 00:04:45.400]  我們就可以成為一個完美的人了
[00:04:45.400 --> 00:04:49.200]  因為嘴巴是最難控制的
[00:04:49.200 --> 00:04:52.200]  在希臘原文的完美這個字
[00:04:52.200 --> 00:04:55.000]  在希臘原文的完美這個字
[00:04:55.000 --> 00:04:57.400]  在希臘原文的完美這個字
[00:04:57.400 --> 00:04:59.400]  是表示成熟和健康
[00:04:59.400 --> 00:05:02.200]  是表示成熟和健康
[00:05:02.200 --> 00:05:03.800]  不是說你怎樣做人完美
[00:05:03.800 --> 00:05:05.800]  不是說你怎樣做人完美
[00:05:05.800 --> 00:05:07.200]  而是你可以管著自己的嘴巴
[00:05:07.200 --> 00:05:09.200]  而是你可以管著自己的嘴巴
[00:05:09.200 --> 00:05:11.200]  那你就是一個成熟和健康的人了
[00:05:11.200 --> 00:05:14.200]  那你就是一個成熟和健康的人了
[00:05:14.200 --> 00:05:16.000]  為什麼我們有時候說話會出錯
[00:05:16.000 --> 00:05:17.800]  為什麼有時候我們說話會出錯
[00:05:17.800 --> 00:05:19.000]  因為我們不夠成熟
[00:05:19.000 --> 00:05:20.000]  因為我們不夠成熟
[00:05:20.000 --> 00:05:21.600]  我們才會口舌犯錯
[00:05:21.600 --> 00:05:22.800]  我們才會口舌犯錯
[00:05:22.800 --> 00:05:26.200]  所以能夠適當控制自己的舌頭
[00:05:26.200 --> 00:05:29.000]  所以可以適當地控制自己的舌頭的話
[00:05:29.000 --> 00:05:31.000]  我們改善我們表達的方式
[00:05:31.000 --> 00:05:32.600]  我們改善我們自己表達的方式
[00:05:32.600 --> 00:05:34.600]  表示我們邁向成熟
