
[00:00:00.000 --> 00:00:07.000]  今早講道的題目是和侍奉有關
[00:00:07.000 --> 00:00:10.000]  我相信大家都同意
[00:00:10.000 --> 00:00:14.000]  侍奉是我們基督徒一個很大的福分
[00:00:14.000 --> 00:00:20.000]  是我們所有屬主的人一個很蒙福的地方
[00:00:20.000 --> 00:00:24.000]  而我們所侍奉的是永生的上帝
[00:00:24.000 --> 00:00:30.000]  弟兄姊妹,我們所侍奉的是永生的上帝
[00:00:30.000 --> 00:00:34.000]  世人都有很多的工作,很多的服侍
[00:00:34.000 --> 00:00:38.000]  但是他們服侍的對象可能是社會
[00:00:38.000 --> 00:00:46.000]  可能是其他人,可能是偶像,可能是金錢
[00:00:46.000 --> 00:00:51.000]  他們不會知道是侍奉永生的上帝
[00:00:51.000 --> 00:00:56.000]  但是唯有所有信主的人我們很清楚知道
[00:00:56.000 --> 00:01:02.000]  我們今天的服侍侍奉是永生的上帝
[00:01:02.000 --> 00:01:06.000]  所以這是一個很大的福分
[00:01:06.000 --> 00:01:09.000]  所以讓我們所有屬主的人
[00:01:09.000 --> 00:01:14.000]  我們要記得這個很大的蒙福的地方
[00:01:14.000 --> 00:01:25.000]  而特別的我想再強調的就是服侍不是僅限於牧師、傳道人和執事或一些領袖
[00:01:25.000 --> 00:01:34.000]  服侍是所有屬主的人,所有基督徒應該要起來擺上的
[00:01:34.000 --> 00:01:38.000]  為什麼?因為聖經很清楚告訴我們
[00:01:38.000 --> 00:01:42.000]  我們所有的信徒都是祭司
[00:01:42.000 --> 00:01:45.000]  所有信徒皆祭司
[00:01:45.000 --> 00:01:52.000]  即是說我們所有信徒都可以直接的起來去服侍永生的上帝
[00:01:52.000 --> 00:01:55.000]  所以每一個頂智妹你有沒有服侍主呢?
[00:01:55.000 --> 00:01:58.000]  你有沒有服侍神呢?你信了主這麼多年
[00:01:58.000 --> 00:02:04.000]  你有沒有為主擺上去服侍這位永生的上帝呢?
[00:02:04.000 --> 00:02:07.000]  還是說我們都留下很多東西給執事做
[00:02:07.000 --> 00:02:12.000]  給直理做、給傳道人做,我們不用了
[00:02:12.000 --> 00:02:14.000]  這樣是不符合聖經的教導
[00:02:14.000 --> 00:02:18.000]  所以蒙福的是我們每一個屬主的人
[00:02:18.000 --> 00:02:20.000]  這個很重要的
[00:02:20.000 --> 00:02:23.000]  所以保羅在羅馬書十二章一節說
[00:02:23.000 --> 00:02:26.000]  所以弟兄們,我以神的慈悲勸你們
[00:02:26.000 --> 00:02:30.000]  將身體獻上當作活祭,是聖潔的,是神所起義的
[00:02:30.000 --> 00:02:34.000]  你們如此侍奉乃是理所當然的
[00:02:34.000 --> 00:02:38.000]  說到弟兄們是包括所有弟兄姊妹的
[00:02:38.000 --> 00:02:40.000]  是每一個信徒的
[00:02:40.000 --> 00:02:43.000]  我們這個服侍是理所當然的
[00:02:43.000 --> 00:02:46.000]  是很好的,是神給我們的
[00:02:46.000 --> 00:02:49.000]  所以希望我們弟兄姊妹一開始的時候
[00:02:49.000 --> 00:02:51.000]  當我們思想侍奉這個主題的時候
[00:02:51.000 --> 00:02:54.000]  要記得所有屬主的人
[00:02:54.000 --> 00:02:57.000]  請起來服侍神
[00:02:57.000 --> 00:02:59.000]  服侍永生的上帝
[00:02:59.000 --> 00:03:02.000]  是聖經清楚的教導
[00:03:02.000 --> 00:03:05.000]  不過當然我們都明白
[00:03:05.000 --> 00:03:07.000]  當我們真的起來服侍的時候
[00:03:07.000 --> 00:03:10.000]  我們覺得都不是一件容易的事
[00:03:10.000 --> 00:03:13.000]  因為面對很多挑戰,很多艱難
[00:03:13.000 --> 00:03:16.000]  很多難處,很多軟弱
[00:03:16.000 --> 00:03:19.000]  我們都不是一個三頭六臂的人
[00:03:19.000 --> 00:03:21.000]  有時候當在侍奉裡面
[00:03:21.000 --> 00:03:25.000]  我們都會落入一些困境裡面
[00:03:25.000 --> 00:03:27.000]  我們都不是一個超人
[00:03:27.000 --> 00:03:29.000]  什麼都做得完
[00:03:29.000 --> 00:03:32.000]  有時候我們會去到一些地步
[00:03:32.000 --> 00:03:35.000]  我們是無心的侍奉
[00:03:35.000 --> 00:03:38.000]  就是說有外在的侍奉
[00:03:38.000 --> 00:03:40.000]  有那種活動在這裡
[00:03:40.000 --> 00:03:42.000]  不過我們的心都不是跟著這些去做
[00:03:42.000 --> 00:03:45.000]  只是一個責任上去做
[00:03:45.000 --> 00:03:47.000]  因為我們慢慢有些疲累
[00:03:47.000 --> 00:03:50.000]  我們真的很累
[00:03:50.000 --> 00:03:51.000]  我們慢慢的時候
[00:03:51.000 --> 00:03:54.000]  我們都沒有一種喜樂的心去服侍
[00:03:54.000 --> 00:03:56.000]  不過有些工作都是要做的
[00:03:56.000 --> 00:03:57.000]  那我就做
[00:03:57.000 --> 00:03:59.000]  又或者當我們做到一個地步的時候
[00:03:59.000 --> 00:04:02.000]  我們覺得我們只是跟一些事工有關
[00:04:02.000 --> 00:04:05.000]  我們的心跟永生神好像沒什麼關係
[00:04:05.000 --> 00:04:06.000]  不認識神
[00:04:06.000 --> 00:04:09.000]  神又好像跟我們隔得很遠
[00:04:09.000 --> 00:04:12.000]  只是跟一些責任,跟一些任務有關
[00:04:12.000 --> 00:04:14.000]  這樣是不是一個侍奉呢?
[00:04:14.000 --> 00:04:15.000]  某程度都是一些侍奉
[00:04:15.000 --> 00:04:19.000]  不過是一些無心的侍奉
[00:04:19.000 --> 00:04:21.000]  是比較不理想
[00:04:21.000 --> 00:04:22.000]  是會的
[00:04:22.000 --> 00:04:25.000]  你問我,我也有這樣的經歷
[00:04:25.000 --> 00:04:27.000]  不單止有這樣的困難
[00:04:27.000 --> 00:04:29.000]  有時候我們去到一個地步
