
[00:00:00.000 --> 00:00:03.880]  今天的經文是選自《耶利米哀歌》
[00:00:03.880 --> 00:00:09.380]  傳統認爲這本書的作者是耶利米
[00:00:09.380 --> 00:00:14.880]  大家知不知道耶利米有個別名是什麼?
[00:00:14.880 --> 00:00:18.220]  《淚眼先知》 大家都很熟讀書
[00:00:18.220 --> 00:00:20.480]  爲什麼叫它做《淚眼先知》呢?
[00:00:20.480 --> 00:00:21.940]  因爲它經常哭泣
[00:00:21.940 --> 00:00:30.240]  它在《耶利米書》裏經常講到它爲國爲民會哭泣流淚
[00:00:30.240 --> 00:00:33.780]  所以稱呼它爲《淚眼先知》
[00:00:33.780 --> 00:00:41.200]  講到眼淚 大家認不認識它?
[00:00:41.200 --> 00:00:43.320]  認識就代表認識它
[00:00:43.320 --> 00:00:46.160]  應該有些人會很喜歡這個玩偶
[00:00:46.160 --> 00:00:49.200]  這個玩偶有個名字叫《Crybaby》
[00:00:49.200 --> 00:00:53.760]  中文有些人稱它爲《哭娃》
[00:00:53.760 --> 00:00:59.000]  設計這個玩偶的設計師是泰國人
[00:00:59.000 --> 00:01:01.040]  她的名字叫做Nisa
[00:01:01.040 --> 00:01:08.140]  Nisa在2016年 她的愛犬離開世界
[00:01:08.140 --> 00:01:10.000]  她很傷心
[00:01:10.000 --> 00:01:15.760]  於是她將對愛犬的思念融入她的畫筆裏
[00:01:15.760 --> 00:01:19.400]  創作了這個《Crybaby》
[00:01:19.400 --> 00:01:25.940]  而那一年也是泰王蒲美鳳駕崩的時間
[00:01:25.940 --> 00:01:31.760]  這位泰王很受泰國人愛戴
[00:01:31.760 --> 00:01:35.920]  《Crybaby》就在這樣的場景裏誕生
[00:01:35.920 --> 00:01:39.680]  所以也很快地爆紅
[00:01:39.680 --> 00:01:45.200]  大家覺得這個《Crybaby》最突出的特徵是什麼?
[00:01:45.200 --> 00:01:48.540]  那個不成比例的眼淚
[00:01:48.540 --> 00:01:50.760]  大到不成比例的眼淚
[00:01:50.760 --> 00:01:53.080]  在創作的過程裏
[00:01:53.080 --> 00:02:01.640]  Nisa選擇用眼淚作爲《Crybaby》的代表性特徵
[00:02:01.640 --> 00:02:12.520]  因爲Nisa覺得眼淚能夠將情緒很具體地表達
[00:02:12.520 --> 00:02:15.680]  並且能夠表達出一個信息
[00:02:15.680 --> 00:02:18.360]  在《Crybaby》的世界裏
[00:02:18.360 --> 00:02:22.640]  哭泣並不是糟糕的事情
[00:02:22.640 --> 00:02:25.640]  而是一個很正常的情緒
[00:02:25.640 --> 00:02:28.440]  哭泣是一個很正常的情緒
[00:02:28.440 --> 00:02:32.240]  其實《Crybaby》能夠勇敢地流眼淚
[00:02:32.240 --> 00:02:34.360]  其實背後的意義就是
[00:02:34.360 --> 00:02:38.360]  要讓所有的悲傷和難過
[00:02:38.360 --> 00:02:42.800]  都有一個正常的管道去排解
[00:02:42.800 --> 00:02:46.080]  而這個管道就是眼淚
[00:02:46.080 --> 00:02:52.560]  眼淚是能夠療愈人的傷痛和疲乏的
[00:02:52.560 --> 00:02:55.240]  其實在成年人的世界裏
[00:02:55.240 --> 00:02:59.920]  哭泣很多時候都會被標籤爲軟弱
[00:02:59.920 --> 00:03:04.840]  情緒化、不成熟
[00:03:04.840 --> 00:03:10.640]  成年人我們經常會掛在口邊叫別人不要哭
[00:03:10.640 --> 00:03:12.080]  去到喪禮也是這樣
[00:03:12.080 --> 00:03:13.280]  叫別人不要哭
[00:03:13.280 --> 00:03:15.680]  其實不是很人道的
[00:03:15.680 --> 00:03:18.120]  有時人們還會多加一句
[00:03:18.120 --> 00:03:19.360]  「哭衰曬」
[00:03:19.360 --> 00:03:20.080]  哭啥呢?
