
[00:00:00.000 --> 00:00:03.040]  我們人生去到某一個階段
[00:00:03.040 --> 00:00:05.040]  我們都會有不同的恐懼
[00:00:05.040 --> 00:00:07.280]  可能害怕一些人 害怕一些事
[00:00:07.280 --> 00:00:09.280]  或者害怕一些未知的將來
[00:00:09.280 --> 00:00:11.400]  有什麼害怕呢?
[00:00:11.400 --> 00:00:20.640]  早陣子 其實近這兩三個星期
[00:00:20.640 --> 00:00:22.000]  我們都很感動 很興奮
[00:00:22.000 --> 00:00:23.920]  因為教會發生了很多不同的事情
[00:00:23.920 --> 00:00:27.840]  第一件事情就是X430音樂報道會
[00:00:27.840 --> 00:00:30.880]  這個完完全全是我們自己弟兄姊妹
[00:00:30.880 --> 00:00:32.880]  在神裡面領受
[00:00:32.880 --> 00:00:35.760]  看到今年很想藉著這個音樂報道會
[00:00:35.760 --> 00:00:38.960]  向一群講廣東話的年輕人傳福音
[00:00:38.960 --> 00:00:40.960]  他們有這個使命
[00:00:40.960 --> 00:00:43.280]  但是當他們領受這個使命的時候
[00:00:43.280 --> 00:00:45.680]  某個程度上內心都有些害怕
[00:00:45.680 --> 00:00:47.680]  害怕什麼呢?
[00:00:47.680 --> 00:00:49.280]  做音樂的 預備音樂的
[00:00:49.280 --> 00:00:51.760]  害怕上台走音 害怕自己唱得不好
[00:00:51.760 --> 00:00:55.680]  又害怕我們能不能夠這麼多人一起
[00:00:55.680 --> 00:00:58.560]  大家有不同的性格 有不同的想法
[00:00:58.560 --> 00:01:00.560]  可不可以同心一起去服侍呢?
[00:01:00.560 --> 00:01:04.160]  又害怕 剛開始我們希望每場有150人
[00:01:04.160 --> 00:01:06.160]  加起來有300人來參加
[00:01:06.160 --> 00:01:08.160]  行不行呢?
[00:01:08.160 --> 00:01:11.360]  我們會有很多很多
[00:01:11.360 --> 00:01:13.360]  一些的擔心
[00:01:13.360 --> 00:01:18.240]  第二件事 近這兩星期我們很感動 很鼓舞的就是
[00:01:18.240 --> 00:01:21.200]  兒童奉獻禮
[00:01:21.200 --> 00:01:24.880]  我們看到一群做家長的弟兄姊妹
[00:01:24.880 --> 00:01:28.000]  他們願意帶小朋友去到神面前
[00:01:28.000 --> 00:01:31.440]  但我相信作父母的他們都分享
[00:01:31.440 --> 00:01:34.560]  他們由開始迎接這個小生命
[00:01:34.560 --> 00:01:36.560]  去到他們的家庭 直到現在
[00:01:36.560 --> 00:01:39.040]  他們都經歷了很多不同的新的挑戰
[00:01:39.040 --> 00:01:40.240]  很多的困難
[00:01:40.240 --> 00:01:43.600]  他們內心都會有一些的恐懼 一些的害怕
[00:01:43.600 --> 00:01:46.160]  甚至呢 他們要在眾人面前
[00:01:46.160 --> 00:01:47.920]  做這個奉獻禮的時候
[00:01:47.920 --> 00:01:50.720]  他們是要立志在神面前
[00:01:50.720 --> 00:01:54.080]  成為自己子女的信仰上面
[00:01:54.080 --> 00:01:56.080]  人生裡面的好榜樣
