
[00:00:00.000 --> 00:00:02.800]  今天會看林前的第七章
[00:00:02.800 --> 00:00:07.880]  林前其實第七章已經說了第三次了
[00:00:07.880 --> 00:00:08.760]  今次應該是
[00:00:08.760 --> 00:00:11.200]  上兩次無論是黃榮基傳道
[00:00:11.200 --> 00:00:12.640]  或者是蔡牧師
[00:00:12.640 --> 00:00:14.440]  他們都是用第七章來做經文
[00:00:14.440 --> 00:00:15.400]  我不知道大家
[00:00:15.400 --> 00:00:17.640]  在當中你覺得對你來說
[00:00:17.640 --> 00:00:20.760]  有什麼幫助或者影響或者提醒
[00:00:20.760 --> 00:00:23.360]  其實第七章最主要是說什麼呢
[00:00:23.360 --> 00:00:24.640]  是說婚姻的
[00:00:24.640 --> 00:00:27.480]  如果大家回去有機會再從頭來看
[00:00:27.480 --> 00:00:30.160]  其實這章是在聖經裡面
[00:00:30.160 --> 00:00:32.480]  說到基督徒的婚姻
[00:00:32.480 --> 00:00:36.200]  或者說到我們信仰裡面的婚姻觀
[00:00:36.200 --> 00:00:37.600]  是一個很重要的經文
[00:00:37.600 --> 00:00:40.840]  如果大家要多點認識我作為一個基督徒
[00:00:40.840 --> 00:00:42.120]  在我們的信仰裡面
[00:00:42.120 --> 00:00:44.320]  我們的婚姻觀念應該是怎樣呢
[00:00:44.320 --> 00:00:46.800]  其實第七章應該是更加重要的
[00:00:46.800 --> 00:00:48.200]  有時候我們會引
[00:00:48.200 --> 00:00:49.640]  或者是如果大家有印象
[00:00:49.640 --> 00:00:52.400]  其實上個星期蔡牧師也引過的
[00:00:52.400 --> 00:00:56.320]  就是用了哥倫多後書的六章十四節
[00:00:56.320 --> 00:00:58.640]  說到信與不信不能同符一
[00:00:58.640 --> 00:01:00.200]  騙這一段的經文
[00:01:00.200 --> 00:01:02.840]  這段經文很多時候我們都在
[00:01:02.840 --> 00:01:05.280]  說到交友戀愛婚姻的時候都會提
[00:01:05.280 --> 00:01:06.680]  但這段經文
[00:01:06.680 --> 00:01:08.720]  實際上在當時的處境
[00:01:08.720 --> 00:01:10.800]  本來不是在說婚姻
[00:01:10.800 --> 00:01:12.520]  是在說另外一些事情
[00:01:12.520 --> 00:01:14.440]  但是這個引申出來
[00:01:14.440 --> 00:01:16.520]  很多時候我們都用了那段經文
[00:01:16.520 --> 00:01:18.880]  來提醒弟兄姊妹
[00:01:18.880 --> 00:01:19.720]  都可以
[00:01:19.720 --> 00:01:22.120]  因為我也覺得婚姻在我們每一個人的
[00:01:22.120 --> 00:01:24.200]  生命裡面是很重要的
[00:01:24.200 --> 00:01:26.440]  所以一些既然我們那段經文
[00:01:26.440 --> 00:01:27.760]  其實其中一個主題是說
[00:01:27.760 --> 00:01:29.480]  工作上的一些合作
[00:01:29.480 --> 00:01:31.040]  你與一些未信的人
[00:01:31.040 --> 00:01:32.960]  但如果我們提到在
[00:01:32.960 --> 00:01:34.600]  我們生命裡面
[00:01:34.600 --> 00:01:35.840]  在我們人生裡面
[00:01:35.840 --> 00:01:37.880]  如果婚姻都是一個很重要的
[00:01:37.880 --> 00:01:40.480]  一個環節或者一個人生階段的時候
[00:01:40.480 --> 00:01:42.400]  其實可以引申下來出去這樣用
[00:01:42.400 --> 00:01:44.640]  但如果大家想認識多一些
[00:01:44.640 --> 00:01:46.640]  基督教的婚姻或基督徒的婚姻觀念
[00:01:46.640 --> 00:01:48.840]  看回哥倫多前書第七章
[00:01:48.840 --> 00:01:51.600]  可能對你有更多的一些提醒
[00:01:52.920 --> 00:01:55.240]  坊間我想最近即將
[00:01:55.240 --> 00:01:57.480]  可能應該明天開始
[00:01:57.480 --> 00:02:00.040]  電視節目又開始搞一些題目
[00:02:00.040 --> 00:02:01.200]  我不知道大家有沒有留意
[00:02:01.200 --> 00:02:03.920]  大家可能不知道看不看電視
[00:02:03.920 --> 00:02:05.920]  我也看了電視
[00:02:05.920 --> 00:02:08.400]  即將的節目是說什麼呢
[00:02:08.400 --> 00:02:10.920]  就是說一些男人
[00:02:10.920 --> 00:02:14.000]  早一兩年前是說過一些叫做性女
[00:02:14.000 --> 00:02:16.160]  大家可能還有印象
[00:02:16.160 --> 00:02:19.040]  當然性就是在說
[00:02:19.040 --> 00:02:22.560]  餘性或者剩下來的女孩子
[00:02:22.560 --> 00:02:24.680]  即是未結婚的那些
[00:02:24.680 --> 00:02:26.760]  但當然她又包裝得很好的
[00:02:26.760 --> 00:02:28.680]  就叫做豐盛人生的
[00:02:28.680 --> 00:02:30.680]  即是豐盛的性女
[00:02:30.680 --> 00:02:31.960]  這是一兩年前的節目
[00:02:31.960 --> 00:02:33.920]  最近接下來就應該是
[00:02:33.920 --> 00:02:36.720]  有一個在說這些叫做熟男
[00:02:36.720 --> 00:02:37.800]  我不知道大家有沒有聽過
[00:02:37.800 --> 00:02:39.960]  或者叫鑽石男
[00:02:39.960 --> 00:02:41.440]  有些這樣的節目也好
[00:02:41.440 --> 00:02:42.200]  電視劇也好
[00:02:42.200 --> 00:02:43.400]  也會說這類的
[00:02:43.400 --> 00:02:45.080]  大家留意一下
[00:02:45.080 --> 00:02:46.760]  其實這些熟男
[00:02:46.760 --> 00:02:48.080]  好像包裝得挺好
[00:02:48.080 --> 00:02:49.560]  叫成熟
[00:02:49.560 --> 00:02:50.840]  但其實這個熟男
[00:02:50.840 --> 00:02:54.320]  其實我想用廣東話來說
[00:02:54.320 --> 00:02:56.920]  我講一下這些叫熟男
[00:02:56.920 --> 00:02:58.040]  即是這些其實就是
[00:02:58.040 --> 00:02:58.840]  熟熟的
[00:02:58.840 --> 00:03:00.720]  可能這些就是從宅男
[00:03:00.720 --> 00:03:02.360]  來到變成一些熟熟的
[00:03:02.360 --> 00:03:03.680]  即是已經發霉的
[00:03:03.680 --> 00:03:05.200]  這些男士
[00:03:05.200 --> 00:03:07.480]  包裝一下叫成熟的男士
[00:03:07.480 --> 00:03:09.880]  當然也要平衡性女
[00:03:09.880 --> 00:03:11.640]  你不可以說別人
[00:03:11.640 --> 00:03:13.920]  剩下來的女孩子嫁不去
[00:03:13.920 --> 00:03:14.520]  性女
[00:03:14.520 --> 00:03:16.240]  即是這些熟男也不是很成熟
[00:03:16.240 --> 00:03:17.120]  其實可能都是
[00:03:17.120 --> 00:03:19.320]  即是宅男熟熟的
[00:03:19.320 --> 00:03:22.120]  即是人生幾乎要發霉了
[00:03:22.120 --> 00:03:23.720]  他們包裝成成熟男
[00:03:23.720 --> 00:03:25.240]  什麼鑽石男
[00:03:25.240 --> 00:03:27.800]  其實這些節目
[00:03:27.800 --> 00:03:29.960]  我間中多數沒有時間看
[00:03:29.960 --> 00:03:32.360]  不過間中也會哭過
[00:03:32.360 --> 00:03:35.080]  其實我覺得他介紹了一些
[00:03:35.080 --> 00:03:39.360]  男女的追男仔追女仔的技巧
[00:03:39.360 --> 00:03:40.280]  所謂的技巧
[00:03:40.280 --> 00:03:41.240]  即是大家還有記憶
[00:03:41.240 --> 00:03:43.080]  我不知道45度角還是15度角
[00:03:43.080 --> 00:03:45.680]  那些方向感
[00:03:45.680 --> 00:03:47.280]  這類的
[00:03:47.280 --> 00:03:49.440]  但當然他其實也包裝著
[00:03:49.440 --> 00:03:51.800]  有些是說男女的交友
[00:03:51.800 --> 00:03:53.440]  婚姻的觀念
[00:03:53.440 --> 00:03:57.960]  這個我覺得更加影響現代人
[00:03:57.960 --> 00:04:00.120]  所以我們作為基督徒
[00:04:00.120 --> 00:04:02.280]  我相信我們需要從聖經裏面
[00:04:02.280 --> 00:04:05.280]  找回一個我們正確的婚姻觀念
[00:04:05.280 --> 00:04:06.480]  可能大家回來教會
[00:04:06.480 --> 00:04:09.240]  都或多或少會聽過
[00:04:09.240 --> 00:04:10.880]  這個婚姻觀其實就影響著
[00:04:10.880 --> 00:04:13.480]  我們的交友戀愛
[00:04:13.480 --> 00:04:15.320]  臨前的第七章
[00:04:15.320 --> 00:04:17.680]  是一段很好的經文
[00:04:17.680 --> 00:04:19.320]  大家可以回去整合一下
[00:04:19.320 --> 00:04:21.320]  因為你分了三次聽
[00:04:21.320 --> 00:04:24.080]  從前兩個星期前開始聽
[00:04:24.080 --> 00:04:25.520]  臨前七章的第一節
[00:04:25.520 --> 00:04:27.120]  開始講到現在
[00:04:27.120 --> 00:04:29.200]  今天就會講最後一段經文
[00:04:29.200 --> 00:04:30.360]  其實講不完的
[00:04:30.360 --> 00:04:31.600]  這段經文講完之後
[00:04:31.600 --> 00:04:32.800]  大家可以再回去自己
[00:04:32.800 --> 00:04:34.400]  從整章的經文再看一下
[00:04:34.400 --> 00:04:35.480]  溫習一下
[00:04:35.480 --> 00:04:36.520]  所以我有幾個重點
[00:04:36.520 --> 00:04:37.200]  想和大家來看看
[00:04:37.200 --> 00:04:38.920]  我們基督徒的婚姻觀念
[00:04:38.920 --> 00:04:40.320]  我們先讀一下經文
