
[00:00:00.000 --> 00:00:01.620]  頂次妹平安
[00:00:01.620 --> 00:00:04.800]  能夠平安來到這裡
[00:00:04.800 --> 00:00:06.460]  是神的恩典
[00:00:06.460 --> 00:00:10.480]  大埔的大火
[00:00:10.480 --> 00:00:14.900]  我相信我們都收了不少的訊息
[00:00:14.900 --> 00:00:17.560]  有讚譽
[00:00:17.560 --> 00:00:19.640]  也有很多的批評
[00:00:19.640 --> 00:00:23.560]  聽了很多的資訊
[00:00:23.560 --> 00:00:25.840]  看了很多的片段
[00:00:25.840 --> 00:00:28.800]  勾起了我們很多的情緒
[00:00:29.640 --> 00:00:31.560]  可能你們當中
[00:00:31.560 --> 00:00:33.120]  有些訊息不是那麼好
[00:00:33.120 --> 00:00:35.680]  對於我來說
[00:00:35.680 --> 00:00:38.080]  守望相助
[00:00:38.080 --> 00:00:40.720]  八方支援的鏡頭
[00:00:40.720 --> 00:00:43.160]  令我受感動
[00:00:43.160 --> 00:00:49.000]  看到一些災民失去家園
[00:00:49.000 --> 00:00:50.960]  失去至親
[00:00:50.960 --> 00:00:53.480]  出現的憤怒
[00:00:53.480 --> 00:00:56.200]  出現的呼天搶地
[00:00:56.200 --> 00:00:57.640]  質疑
[00:00:58.880 --> 00:01:00.040]  我只能夠說
[00:01:00.040 --> 00:01:01.960]  我都嘗試去明白
[00:01:01.960 --> 00:01:05.280]  但我不懂得
[00:01:05.280 --> 00:01:08.640]  也不宜作任何的解釋
[00:01:08.640 --> 00:01:12.600]  接下來我們真的需要代討
[00:01:12.600 --> 00:01:15.240]  因為很多人受驚嚇
[00:01:15.240 --> 00:01:16.880]  就算不在這裡住
[00:01:16.880 --> 00:01:19.160]  有些人說開車經過都不敢望
[00:01:19.160 --> 00:01:21.720]  在場的人
[00:01:21.720 --> 00:01:23.000]  隔壁有一間中學
[00:01:23.000 --> 00:01:24.120]  有一間學校
[00:01:24.120 --> 00:01:26.480]  那些學生沒有建築
[00:01:26.480 --> 00:01:28.560]  很多的創傷
[00:01:28.680 --> 00:01:30.680]  很多悲痛後的治療
[00:01:30.680 --> 00:01:32.440]  不是一朝一夕
[00:01:32.440 --> 00:01:34.960]  可以去痊癒
[00:01:34.960 --> 00:01:37.760]  你和我可能基於
[00:01:37.760 --> 00:01:38.880]  距離
[00:01:38.880 --> 00:01:40.000]  關係
[00:01:40.000 --> 00:01:41.680]  我們能夠做的
[00:01:41.680 --> 00:01:42.680]  就是禱告
[00:01:42.680 --> 00:01:47.160]  我們都要為整個真相的尋求
[00:01:47.160 --> 00:01:48.840]  善後工作
[00:01:48.840 --> 00:01:49.880]  來禱告
[00:01:49.880 --> 00:01:54.200]  雖然最終整體的調查報告未出
[00:01:54.200 --> 00:01:57.920]  但是造成這麼大的
[00:01:58.280 --> 00:01:59.280]  災難
[00:01:59.280 --> 00:02:01.000]  我個人覺得
[00:02:01.000 --> 00:02:02.080]  我相信
[00:02:02.080 --> 00:02:04.240]  既有天災的成分
[00:02:04.240 --> 00:02:06.960]  至少乾燥的天氣
[00:02:06.960 --> 00:02:08.280]  大風
[00:02:08.280 --> 00:02:10.720]  是令到整個火災是蔓延的
[00:02:10.720 --> 00:02:12.200]  很快的蔓延
[00:02:12.200 --> 00:02:15.320]  但更主要我相信
[00:02:15.320 --> 00:02:17.600]  人禍的因素更多
[00:02:17.600 --> 00:02:20.400]  天災難避
[00:02:20.400 --> 00:02:22.680]  人禍可免
[00:02:22.680 --> 00:02:25.120]  如果相關的人
[00:02:25.120 --> 00:02:27.680]  看到自己的錯
[00:02:28.080 --> 00:02:29.440]  不捨得去悔改
[00:02:29.440 --> 00:02:31.200]  或者不肯去悔改
[00:02:31.200 --> 00:02:34.400]  其他人沒有引以為鑒
[00:02:34.400 --> 00:02:36.560]  繼續護我
[00:02:36.560 --> 00:02:38.680]  我相信
[00:02:38.680 --> 00:02:41.280]  災難遲早會再發生
[00:02:41.280 --> 00:02:45.160]  經過這麼大的災難
[00:02:45.160 --> 00:02:47.280]  相信
[00:02:47.280 --> 00:02:48.920]  也希望
[00:02:48.920 --> 00:02:51.560]  類似連環燒的事
[00:02:51.560 --> 00:02:53.680]  不會再在香港發生
[00:02:53.680 --> 00:02:57.000]  但主耶穌再回來
[00:02:57.680 --> 00:02:58.720]  祂是一件
[00:02:58.720 --> 00:03:01.480]  肯定的事實
[00:03:01.480 --> 00:03:07.120]  今天
[00:03:07.120 --> 00:03:10.440]  我們預備迎接主耶穌回來沒有呢?
[00:03:10.440 --> 00:03:14.480]  聖經說
[00:03:14.480 --> 00:03:15.520]  看啊
[00:03:15.520 --> 00:03:17.840]  耶和華大而可畏的日
[00:03:17.840 --> 00:03:19.280]  未到以前
[00:03:19.280 --> 00:03:23.280]  我要差遣以利亞先知到你們那裡去
