
[00:00:00.000 --> 00:00:06.000]  既然是長輩,就表示我年紀差不多了。
[00:00:06.000 --> 00:00:13.000]  剛纔聽到經拜的時候,一首非常好的詩歌,
[00:00:13.000 --> 00:00:20.000]  這是我們的禱告,讓神的話好像甘霖一樣,
[00:00:20.000 --> 00:00:30.000]  靈到我們的心靈裏頭,還有我們的呼求就是我們更愛主,與主的關係更好。
[00:00:30.000 --> 00:00:35.000]  我很盼望這首詩歌成爲我們每一個人的禱告。
[00:00:35.000 --> 00:00:46.000]  我發現近代的基督徒很多已經忘掉每天靈脩這個很重要的功課,
[00:00:46.000 --> 00:00:56.000]  可能你一個禮拜七天,可能有三四天會讀讀聖經吧,那是很不足夠的。
[00:00:56.000 --> 00:01:04.000]  你不會一天不喫飯吧,有時候你說我太胖了,要減肥減肥,
[00:01:04.000 --> 00:01:15.000]  那你可能只是節食一餐,早餐不喫了,午餐晚餐喫更多了,補償補償了。
[00:01:15.000 --> 00:01:24.000]  所以我們不可能不喫飯的,而你說我不喫飯,我喫麪包,我喫其他的東西。
[00:01:24.000 --> 00:01:33.000]  你總得有營養進你的身體裏面,神的話就是我們屬靈的養分。
[00:01:33.000 --> 00:01:41.000]  難怪很多基督徒長得很瘦,就是你的靈命淺得可憐,
[00:01:41.000 --> 00:01:51.000]  聖經裏面很多的知識你都不懂,因爲整本聖經那麼厚,你一次也沒念過。
[00:01:51.000 --> 00:01:58.000]  宋上傑博士,他拿了他的博士學位回到中國的時候,
[00:01:58.000 --> 00:02:08.000]  在海上就把他拿的金鑰匙的獎品,他的畢業證書全部扔在海里面。
[00:02:08.000 --> 00:02:17.000]  然後他回到中國,就被抓進了精神病院,因爲覺得他神經有點問題了。
[00:02:17.000 --> 00:02:30.000]  結果很感恩,他就躲在精神病院裏面,有一件最好的事,他天天念聖經。
[00:02:30.000 --> 00:02:42.000]  將整本聖經六十六卷,從啓示錄讀到創世紀,唸了不曉得多少遍。
[00:02:42.000 --> 00:02:55.000]  結果他出來就成爲神非常重用的僕人,他的神學是在精神病院裏面唸的,
[00:02:55.000 --> 00:03:00.000]  只是念聖經,就認識我們的神。
[00:03:00.000 --> 00:03:05.000]  所以各位親愛的弟兄姊妹,今天我講這篇的信息,
[00:03:05.000 --> 00:03:13.000]  只有一個期望,就是你能夠拿到神給我們的兩份禮物。
[00:03:13.000 --> 00:03:16.000]  請我們低頭我們一同來禱告。
[00:03:16.000 --> 00:03:33.000]  親愛的主,我們感到慚愧,因爲我們相信禰以後,我們的靈命常常是好像停滯在一個點,沒有前進。
[00:03:33.000 --> 00:03:48.000]  就好像一個俗語說:學問,逐門不進,就是退的當中;我們的靈命,逐而不長進,就是在退後的當中。
[00:03:48.000 --> 00:03:53.000]  好像逆水行舟,不進則退。
[00:03:53.000 --> 00:04:12.000]  主禰在此眺望,我們有一份可慕禰的心,有一個愛禰話語的心,以致每一天,我們都拿起那麼寶貝的聖經,我們去唸,我們去了解,我們去認識。
[00:04:12.000 --> 00:04:33.000]  因爲禰的話,就是我們早前的燈,路上的光,不光光照我們,更加是指引我們,在今天那麼複雜,很多思念,很多衝突的社會里面,我們該怎麼樣去行。
[00:04:33.000 --> 00:04:52.000]  以致我們是一個合乎禰心意的人,我們不是隨從世人的意見,世人的看法,聽社會上面的言論,而是我們聽從禰的吩咐。
[00:04:52.000 --> 00:05:03.000]  求主禰施給我們明亮的眼睛,能夠看到禰今天在我們身上的旨意是如何。
[00:05:03.000 --> 00:05:23.000]  以致將來有一天,我們回到天家界裏面的時候,被禰稱讚,我們是又良善,又忠心的僕人,禰所吩咐僕人的工作,我們就在地上爲禰完成了。
[00:05:23.000 --> 00:05:43.000]  恭恭敬敬爲在座每一位弟兄姊妹來禱告,當我們翻開詩篇十九篇來唸的時候,願聖靈在我們心靈裏面對我們說話。我們將禱告,侍奉主耶穌基督的名求。阿們。
