
[00:00:00.000 --> 00:00:01.440]  在上個主日
[00:00:01.440 --> 00:00:05.080]  聶醫生來跟我們分享
[00:00:05.080 --> 00:00:07.460]  與主親密同行
[00:00:07.460 --> 00:00:11.780]  過健康快樂豐盛成功的人生
[00:00:11.780 --> 00:00:14.320]  怎樣可以健康快樂
[00:00:14.320 --> 00:00:16.040]  就是喜樂的心
[00:00:16.040 --> 00:00:17.420]  就是良藥
[00:00:17.420 --> 00:00:19.440]  因為神的說話
[00:00:19.440 --> 00:00:22.820]  我們跟神建立一份親密的關係
[00:00:22.820 --> 00:00:25.700]  神在當中賜給我們
[00:00:25.700 --> 00:00:29.560]  屬天的喜樂滿足
[00:00:29.560 --> 00:00:32.900]  讓我們身心靈都有健康
[00:00:32.900 --> 00:00:37.240]  可以去服侍祂
[00:00:37.240 --> 00:00:39.340]  服侍周圍的人
[00:00:39.340 --> 00:00:43.000]  讓我們自己有一個充實喜樂的人生
[00:00:43.000 --> 00:00:48.680]  我們實在為著神給我們美好的訊息去感謝祂
[00:00:48.680 --> 00:00:51.240]  在三章的十一、十二節
[00:00:51.240 --> 00:00:53.740]  就是一個轉折的經文
[00:00:53.740 --> 00:00:57.840]  將愛和公義的思想結合
[00:00:58.440 --> 00:01:01.440]  去接續下文
[00:01:01.440 --> 00:01:04.320]  彼此相愛是信徒
[00:01:04.320 --> 00:01:07.480]  原來已經有一個舊的命令
[00:01:07.480 --> 00:01:10.760]  如果你看《約翰一書》二章七節
[00:01:10.760 --> 00:01:13.240]  「親愛的弟兄啊
[00:01:13.240 --> 00:01:15.240]  我捨給你們的
[00:01:15.240 --> 00:01:17.360]  不是一條新命令
[00:01:17.360 --> 00:01:21.520]  乃是你們從起初所受的舊命令」
[00:01:21.520 --> 00:01:24.400]  在這裡加以強調
[00:01:24.400 --> 00:01:27.840]  向我們應當彼此相愛
[00:01:28.040 --> 00:01:32.840]  「因為這是你們從起初聽見的命令」
[00:01:32.840 --> 00:01:36.880]  這裡是指基督徒生命當中
[00:01:36.880 --> 00:01:38.640]  一個標記
[00:01:38.640 --> 00:01:40.560]  彼此相愛
[00:01:40.560 --> 00:01:44.480]  就是神祂自己去愛我們
[00:01:44.480 --> 00:01:47.040]  祂很希望我們跟隨祂
[00:01:47.040 --> 00:01:50.160]  能夠彼此相愛
[00:01:50.160 --> 00:01:53.120]  而十二節是一個反面
[00:01:53.120 --> 00:01:58.480]  表達到真恨是魔鬼的一個代表
[00:01:58.480 --> 00:02:02.960]  是引用了該隱作為一個實例
[00:02:02.960 --> 00:02:06.160]  約翰去形容該隱
[00:02:06.160 --> 00:02:09.280]  好像是魔鬼的一個後裔
[00:02:09.280 --> 00:02:12.480]  他是屬於這個惡者
[00:02:12.480 --> 00:02:16.080]  他的兄弟是靖兒
[00:02:16.080 --> 00:02:19.040]  他竟然殺了他的弟弟阿伯
[00:02:19.040 --> 00:02:22.960]  約翰去解釋該隱的行為
[00:02:22.960 --> 00:02:25.240]  是很差
[00:02:25.240 --> 00:02:26.560]  是很兇惡
[00:02:26.560 --> 00:02:29.640]  他弟弟的行為是靖兒
[00:02:29.640 --> 00:02:33.200]  根據我們剛才看第一段聖經
[00:02:33.200 --> 00:02:35.880]  《創世紀》四章裡表達
[00:02:35.880 --> 00:02:40.200]  神去越納阿伯和他的共物
[00:02:40.200 --> 00:02:43.560]  但是不越納該隱的共物
[00:02:43.560 --> 00:02:48.000]  該隱竟然將兄弟殺了
[00:02:48.000 --> 00:02:51.280]  阿伯的共物顯出了該隱
[00:02:51.280 --> 00:02:55.080]  沒有將最好的獻情給神
