
[00:00:00.000 --> 00:00:01.880]  比悲傷更悲傷的學習
[00:00:01.880 --> 00:00:03.640]  今天我們來到下集
[00:00:03.640 --> 00:00:07.520]  這個造反的事件簿
[00:00:07.520 --> 00:00:09.280]  我們重溫這件事
[00:00:09.280 --> 00:00:13.960]  其實是大衛王的三兒子發生這件事
[00:00:13.960 --> 00:00:17.960]  如果我們記得就是大衛王的大兒子
[00:00:17.960 --> 00:00:23.440]  因為強姦了他同父異母的妹妹
[00:00:23.440 --> 00:00:24.920]  而這個原因
[00:00:24.920 --> 00:00:28.320]  壓沙龍就是三兒子很憤怒
[00:00:28.320 --> 00:00:30.000]  所以就殺了大兒子
[00:00:30.000 --> 00:00:36.280]  當時大衛王就將壓沙龍逐出他的範圍
[00:00:36.280 --> 00:00:37.760]  幾年後又回來
[00:00:37.760 --> 00:00:38.880]  回來之後
[00:00:38.880 --> 00:00:40.920]  我們在上次或者前次
[00:00:40.920 --> 00:00:44.360]  跟梁牧師或者我自己有兩次講到
[00:00:44.360 --> 00:00:47.200]  講到壓沙龍越變越差
[00:00:47.200 --> 00:00:48.640]  他的外表很好
[00:00:48.640 --> 00:00:51.840]  聖經講到他外形什麼呢
[00:00:51.840 --> 00:00:53.320]  俊美可以嗎
[00:00:53.320 --> 00:00:56.200]  俊美 我不知道你想起俊美是什麼
[00:00:56.200 --> 00:01:01.200]  或者你看你旁邊的那個你覺得他俊不俊美
[00:01:01.200 --> 00:01:02.520]  好啊 真的好啊
[00:01:02.520 --> 00:01:05.880]  因為很有愛心
[00:01:05.880 --> 00:01:07.320]  俊美不單是這樣
[00:01:07.320 --> 00:01:11.720]  他就說到得人稱讚
[00:01:11.720 --> 00:01:13.960]  一人兩個都說 嘩 好好
[00:01:13.960 --> 00:01:16.080]  但是他的內在不是
[00:01:16.080 --> 00:01:17.560]  他沒有改變
[00:01:17.560 --> 00:01:20.600]  例如他很想見他的老表
[00:01:20.600 --> 00:01:22.960]  不見他
[00:01:22.960 --> 00:01:23.560]  接著他怎樣
[00:01:23.560 --> 00:01:24.840]  就燒到哪裡了
[00:01:24.840 --> 00:01:27.080]  燒了田
[00:01:27.080 --> 00:01:28.440]  你想一想
[00:01:28.440 --> 00:01:29.240]  有沒有人約過你
[00:01:29.240 --> 00:01:30.520]  你不肯見他
[00:01:30.520 --> 00:01:33.040]  你小心 我讓你知道你的地址在哪裡
[00:01:33.040 --> 00:01:34.400]  燒了你家
[00:01:34.400 --> 00:01:36.320]  很奇怪的事情
[00:01:36.320 --> 00:01:38.480]  濫用暴力 濫用權力
[00:01:38.480 --> 00:01:40.280]  並且粗糙過濾 為什麼
[00:01:40.280 --> 00:01:41.640]  因為本來是他太子來的
[00:01:41.640 --> 00:01:42.720]  接任了
[00:01:42.720 --> 00:01:44.240]  就好像現在
[00:01:44.240 --> 00:01:46.840]  我們《英女皇》完結後
[00:01:46.840 --> 00:01:48.760]  查理斯王就接任了
[00:01:48.760 --> 00:01:51.920]  但是當時壓沙龍等不及
[00:01:51.920 --> 00:01:53.400]  他用自己的方法 自己的時間
[00:01:53.400 --> 00:01:54.600]  他要搶
[00:01:54.600 --> 00:01:56.400]  接著說
[00:01:56.400 --> 00:02:00.600]  很多不道德的方法完成目標
[00:02:00.600 --> 00:02:01.640]  我可以這樣形容
[00:02:01.640 --> 00:02:03.360]  上次大概在最後說
[00:02:03.360 --> 00:02:05.720]  其實他很有才華 很有能力
[00:02:05.720 --> 00:02:06.920]  神給他很多力量
[00:02:06.920 --> 00:02:08.440]  他有領袖
[00:02:08.440 --> 00:02:10.120]  他很有策劃力
[00:02:10.120 --> 00:02:13.000]  但是他親自推倒他自己的未來
[00:02:13.000 --> 00:02:14.040]  第一節目我們要知道
[00:02:14.040 --> 00:02:15.200]  我們每個人都有
