
[00:00:00.000 --> 00:00:02.000]  丁兄姐妹早晨
[00:00:02.000 --> 00:00:06.000]  剛才江牧師說我們半夜回來
[00:00:06.000 --> 00:00:08.000]  所以有點睏
[00:00:08.000 --> 00:00:11.000]  不過看到你們好像比我更睏
[00:00:11.000 --> 00:00:13.000]  好像很累
[00:00:13.000 --> 00:00:15.000]  大家昨晚是不是也很晚睡
[00:00:15.000 --> 00:00:19.000]  很開心今天有這個機會跟大家分享
[00:00:19.000 --> 00:00:22.000]  也很感謝大家過去為我們代討
[00:00:22.000 --> 00:00:24.000]  以及在不同的地方
[00:00:24.000 --> 00:00:27.000]  來支持我們一家在柬埔寨宣教的時工
[00:00:27.000 --> 00:00:31.000]  以及一直有紀念我們一家在那邊的需要
[00:00:31.000 --> 00:00:33.000]  在這裏也跟大家說聲謝謝
[00:00:33.000 --> 00:00:38.000]  今天終於有機會親身跟大家見面
[00:00:38.000 --> 00:00:41.000]  我要學一下用現代高科技
[00:00:41.000 --> 00:00:43.000]  在哪裏
[00:00:43.000 --> 00:00:45.000]  是按這個按鈕
[00:00:45.000 --> 00:00:47.000]  上下其實很清楚
[00:00:47.000 --> 00:00:49.000]  看到我這個人也不是很正常
[00:00:49.000 --> 00:00:52.000]  很開心今天可以在這裏
[00:00:52.000 --> 00:00:55.000]  跟大家分享多一點關於我們一家
[00:00:55.000 --> 00:00:58.000]  以及分享剛才講到的經文
[00:00:58.000 --> 00:01:00.000]  我自己叫Rainbow
[00:01:00.000 --> 00:01:02.000]  旁邊的是Calvin
[00:01:02.000 --> 00:01:04.000]  大家看到這張照片
[00:01:04.000 --> 00:01:06.000]  就是我們2021年
[00:01:06.000 --> 00:01:08.000]  大概四年前的時候
[00:01:08.000 --> 00:01:10.000]  是蒙照
[00:01:10.000 --> 00:01:13.000]  神叫我們要離開我們的本族
[00:01:13.000 --> 00:01:15.000]  離開香港
[00:01:15.000 --> 00:01:16.000]  要去異國
[00:01:16.000 --> 00:01:18.000]  就是柬埔寨宣教
[00:01:18.000 --> 00:01:21.000]  你看到我們四個
[00:01:21.000 --> 00:01:25.000]  猜一下我小女兒的嬰兒是否很大
[00:01:25.000 --> 00:01:27.000]  我餵人奶的
[00:01:27.000 --> 00:01:29.000]  猜一下她當時幾多歲
[00:01:29.000 --> 00:01:30.000]  幾多個月
[00:01:30.000 --> 00:01:31.000]  後面
[00:01:31.000 --> 00:01:34.000]  五個月
[00:01:34.000 --> 00:01:35.000]  十個月
[00:01:35.000 --> 00:01:36.000]  抱孫子
[00:01:36.000 --> 00:01:38.000]  你已經有孫子了
[00:01:38.000 --> 00:01:40.000]  九個月
[00:01:40.000 --> 00:01:41.000]  我還在餵人奶
[00:01:41.000 --> 00:01:42.000]  我跟神說
[00:01:42.000 --> 00:01:43.000]  不是啊
[00:01:43.000 --> 00:01:44.000]  這麼糟糕
[00:01:44.000 --> 00:01:46.000]  我還在餵人奶
[00:01:46.000 --> 00:01:49.000]  當時女兒還很小
[00:01:49.000 --> 00:01:51.000]  繼續一路一路信心地走
[00:01:51.000 --> 00:01:54.000]  當時真的正式出工場的時候
[00:01:54.000 --> 00:01:56.000]  就是2022年3月
[00:01:56.000 --> 00:01:59.000]  記不記得當時香港發生什麼重要的事件
[00:01:59.000 --> 00:02:01.000]  說一下大家
[00:02:01.000 --> 00:02:02.000]  疫情
[00:02:02.000 --> 00:02:04.000]  還要是疫情最高峰的時候
[00:02:04.000 --> 00:02:07.000]  還記不記得有沒有去超級市場搶米
[00:02:07.000 --> 00:02:08.000]  說要封城
[00:02:08.000 --> 00:02:10.000]  接著我們就想
[00:02:10.000 --> 00:02:12.000]  怎麼辦怎麼辦
[00:02:12.000 --> 00:02:13.000]  機票怎麼辦
[00:02:13.000 --> 00:02:16.000]  我們一家帶著300公斤的行李
[00:02:16.000 --> 00:02:18.000]  來到柬埔寨
[00:02:18.000 --> 00:02:21.000]  因為神父召我們不是一個短期的擺賞
[00:02:21.000 --> 00:02:23.000]  而是一個十年的宣教旅程
[00:02:23.000 --> 00:02:26.000]  我們獻上了十年的時間給上帝
[00:02:26.000 --> 00:02:28.000]  因為我們知道在跨文化工作
[00:02:28.000 --> 00:02:30.000]  是真的需要一個衛生
[00:02:30.000 --> 00:02:34.000]  所以當時就浩浩蕩蕩進入了工場
[00:02:34.000 --> 00:02:35.000]  感謝主
[00:02:35.000 --> 00:02:36.000]  無穿無爛
[00:02:36.000 --> 00:02:37.000]  大家都看到
[00:02:37.000 --> 00:02:38.000]  我們兩個都還可以
[00:02:38.000 --> 00:02:40.000]  2025年了
[00:02:40.000 --> 00:02:41.000]  旁邊那張照片
[00:02:41.000 --> 00:02:43.000]  就是我們一家四口
[00:02:43.000 --> 00:02:44.000]  兩個女兒
[00:02:44.000 --> 00:02:45.000]  菲菲大女
