
[00:00:00.000 --> 00:00:02.100]  主內大兄姊妹,大家平安
[00:00:02.100 --> 00:00:05.800]  主內的弟兄姊妹,大家平安
[00:00:05.800 --> 00:00:09.700]  有沒有覺得有時候做基督徒做得太久,有點累?
[00:00:09.700 --> 00:00:12.800]  我覺得有時候當基督徒當得久了,覺得累了
[00:00:12.800 --> 00:00:15.400]  我其實聽過很多基督徒都有這樣說過
[00:00:15.400 --> 00:00:17.300]  也聽過蠻多的基督徒這樣說過
[00:00:17.300 --> 00:00:20.500]  他們覺得好像都是不外如是
[00:00:20.500 --> 00:00:22.600]  他們覺得還是不外如是
[00:00:22.600 --> 00:00:28.700]  信主那一刻,當然是心情非常興奮,是不是?
[00:00:28.700 --> 00:00:31.400]  信主那一刻,心情當然是非常興奮
[00:00:31.400 --> 00:00:37.400]  接著很快,牧者就說要鼓勵你去洗禮了
[00:00:37.400 --> 00:00:40.000]  接下來很快的,牧者鼓勵你去洗禮
[00:00:40.000 --> 00:00:43.200]  洗禮當然是一個很快樂的一天,是不是?
[00:00:43.200 --> 00:00:44.900]  洗禮當然是一個很快樂的一天
[00:00:44.900 --> 00:00:47.400]  因為意義是很大的
[00:00:47.400 --> 00:00:49.000]  因為意義是非常大的
[00:00:49.000 --> 00:00:51.100]  不光是演一場戲給你看
[00:00:51.100 --> 00:00:53.200]  不光是演一場戲那樣
[00:00:53.200 --> 00:00:59.400]  是你個人重新得救的重要一個經過
[00:00:59.400 --> 00:01:02.500]  是你個人的重新得救的一個重要的經歷
[00:01:02.500 --> 00:01:06.000]  在眾人面前承認你是一個基督徒
[00:01:06.000 --> 00:01:08.400]  在眾人面前承認你是一個基督徒
[00:01:08.400 --> 00:01:10.400]  特別我們浸禮有一個意義
[00:01:10.400 --> 00:01:13.300]  就是與主一同埋葬,與主一同復活
[00:01:13.300 --> 00:01:15.600]  特別經歷有一個特別的意義
[00:01:15.600 --> 00:01:18.800]  就是跟主一起來埋葬,一同復活
[00:01:18.800 --> 00:01:21.700]  信了主久了,那又怎樣呢?
[00:01:21.700 --> 00:01:23.600]  信了主久了,那又怎樣呢?
[00:01:23.600 --> 00:01:27.400]  最初是很熱血的
[00:01:27.400 --> 00:01:29.400]  最初是很熱血的
[00:01:29.400 --> 00:01:35.300]  教會、牧者、執掌執,叫你做什麼都做
[00:01:35.300 --> 00:01:38.500]  教會、牧者、掌職,讓你做什麼你都會去做
[00:01:38.500 --> 00:01:42.500]  甚至主動要求牧師、傳道有沒有東西給我做
[00:01:42.500 --> 00:01:47.800]  甚至主動要求牧者,有沒有東西讓他去做
[00:01:47.800 --> 00:01:51.000]  團契是分一個都不夠,要分兩三個
[00:01:51.000 --> 00:01:53.700]  團契是分一個都不夠,要分兩三個
[00:01:53.700 --> 00:01:58.200]  差不多要搬進來教會住就最好了
[00:01:58.200 --> 00:02:02.000]  差不多要搬進來教會住就最好了
[00:02:02.000 --> 00:02:07.700]  當然我是很鼓勵會眾有心去侍奉
[00:02:07.700 --> 00:02:10.500]  當然我們是很鼓勵會眾有心去侍奉
[00:02:10.500 --> 00:02:12.100]  但是在我教會這麼多年
[00:02:12.100 --> 00:02:17.500]  我發覺信了主久了,有很多信徒開始冷淡
[00:02:17.500 --> 00:02:24.100]  我發覺信了主久了,有很多信徒開始冷淡
[00:02:24.100 --> 00:02:27.500]  好像真的不外如是
[00:02:27.500 --> 00:02:29.000]  好像真的不外如是
[00:02:29.000 --> 00:02:31.400]  好像我已經信了主了
[00:02:31.400 --> 00:02:32.700]  好像我已經信了主了
