
[00:00:00.000 --> 00:00:02.120]  讓我們一起來讀一段神的話語
[00:00:02.120 --> 00:00:05.680]  是在希伯來書四章九到十一節
[00:00:05.680 --> 00:00:08.400]  讓我們一起來念來
[00:00:08.400 --> 00:00:09.360]  這樣看來
[00:00:09.360 --> 00:00:12.400]  必另有一個安息日的安息
[00:00:12.400 --> 00:00:14.520]  為神的子民存留
[00:00:14.520 --> 00:00:18.160]  因為那進入安息的乃是歇了自己的功
[00:00:18.160 --> 00:00:21.200]  正如神歇了他的功一樣
[00:00:21.200 --> 00:00:24.600]  所以你們務必竭力進入那安息
[00:00:24.600 --> 00:00:29.200]  免得有人學那不信從的樣子跌倒了
[00:00:29.200 --> 00:00:32.040]  在這邊首先有兩個報告事項
[00:00:32.040 --> 00:00:33.840]  第一個報告呢
[00:00:33.840 --> 00:00:37.800]  世界上每七十年都會發生兩件事
[00:00:37.800 --> 00:00:41.240]  第一就是哈雷彗星繞太陽一圈
[00:00:41.240 --> 00:00:45.680]  第二就是劉同慕斯七十歲生日
[00:00:45.680 --> 00:00:47.760]  那在這邊誠摯邀請我們的弟兄姐妹
[00:00:47.760 --> 00:00:51.000]  一起來參加劉慕斯的生日派對
[00:00:51.000 --> 00:00:52.920]  相信在這樣一個派對
[00:00:52.920 --> 00:00:56.080]  我們可以有機會認識不同的這個角度
[00:00:56.080 --> 00:00:58.120]  來認識我們的劉慕斯
[00:00:58.120 --> 00:01:00.040]  那我想最寶貴的是藉這機會
[00:01:00.040 --> 00:01:03.560]  可以和我們的屬靈的老爸說一聲生日快樂
[00:01:03.560 --> 00:01:07.000]  表達我們對他的愛和感謝
[00:01:07.000 --> 00:01:08.200]  那我兒子說啦
[00:01:08.200 --> 00:01:09.200]  如果錯過這一次
[00:01:09.200 --> 00:01:12.760]  下一次再過他下一個七十歲的時候
[00:01:12.760 --> 00:01:15.560]  我兒子已經八十五歲了
[00:01:15.560 --> 00:01:16.840]  所以好不好
[00:01:16.840 --> 00:01:17.840]  跟旁邊的人說
[00:01:17.840 --> 00:01:22.040]  一起來參加劉慕斯的生日派對吧
[00:01:22.040 --> 00:01:25.680]  那今天聚會後就可以在堂外可以來報名
[00:01:25.680 --> 00:01:27.360]  那第二個報告事項是
[00:01:27.360 --> 00:01:30.880]  九月二十九號到十月一號
[00:01:30.880 --> 00:01:34.560]  有一個北美陵梁青年領袖特會
[00:01:34.560 --> 00:01:38.040]  那感謝神將會有
[00:01:38.040 --> 00:01:41.280]  現在已經有三百人數報名
[00:01:41.280 --> 00:01:43.240]  目前已經有一百二十位
[00:01:43.240 --> 00:01:45.600]  來自二十二個不同的
[00:01:45.600 --> 00:01:49.320]  北美陵梁堂的青年領袖已經報名參加
[00:01:49.320 --> 00:01:53.400]  我們期待會是一個非常棒的一個屬靈的盛宴
[00:01:53.400 --> 00:01:55.840]  在這邊也誠摯邀請我們當中的
[00:01:55.840 --> 00:01:58.760]  青年領袖同工們一起來參加
[00:01:58.760 --> 00:02:02.320]  無論您是在哪一個牧區都誠摯邀請你
[00:02:02.320 --> 00:02:03.480]  那也許你會問說
[00:02:03.480 --> 00:02:06.680]  怎麼樣叫做青年領袖或同工呢
[00:02:06.680 --> 00:02:08.320]  如果你在生命河的年輕人
[00:02:08.320 --> 00:02:10.000]  你有在教會服事
[00:02:10.000 --> 00:02:14.240]  你就qualify做青年領袖同工來參加
[00:02:14.240 --> 00:02:18.480]  所以相信這是一個把年輕人的火堆在一起
[00:02:18.480 --> 00:02:23.680]  為著這一代和下一代的復興來禱告的時刻
[00:02:23.680 --> 00:02:26.240]  自從疫情開放以來
[00:02:26.240 --> 00:02:29.560]  上帝真的是在做許多的新事
