
[00:00:00.000 --> 00:00:05.600]  當你坐下的時候,請你和你的家人,弟兄姊妹說,你是有靈魂體的。
[00:00:05.600 --> 00:00:10.800]  在基督教的神學裏面,我們相信人除了有肉體,我們見到這個肉體之外,
[00:00:10.800 --> 00:00:14.400]  我們有我們的魂,有我們的情緒,也有我們的靈。
[00:00:14.400 --> 00:00:18.400]  正正因爲這樣的緣故,就算我們喫飽,我們很開心,
[00:00:18.400 --> 00:00:22.800]  但是我們仍然都覺得會有一樣東西不能夠滿足,
[00:00:22.800 --> 00:00:25.400]  就是因爲我們的靈未能夠得到滿足。
[00:00:25.400 --> 00:00:27.600]  如果當我們的靈不能夠得到滿足的話,
[00:00:27.600 --> 00:00:32.400]  我們人生擁有世上很多的東西,我們都會覺得是不足的。
[00:00:32.400 --> 00:00:34.000]  這個奇怪就在這裏。
[00:00:34.000 --> 00:00:39.200]  所以是靈的需要,靈的滿足不能夠從物質那裏來的。
[00:00:39.200 --> 00:00:42.400]  有很多人在世界上擁有很多的事物,
[00:00:42.400 --> 00:00:46.600]  擁有很多的物質,擁有很多的友情,甚至愛情之後,
[00:00:46.600 --> 00:00:50.400]  仍然發覺是人生總有點的欠缺,
[00:00:50.400 --> 00:00:56.200]  原因就是因爲在我們靈的需要還未得到真正的滿足。
[00:00:56.200 --> 00:01:00.400]  因此,我們今天會爭取下星期將會是Halloween的日子,
[00:01:00.400 --> 00:01:04.600]  我們有一個專題的崇拜,就是關於靈的問題,
[00:01:04.600 --> 00:01:07.200]  是我們今天用的題目,叫做靈的突破。
[00:01:07.200 --> 00:01:11.200]  其實Halloween是在每年的10月31號那一晚,
[00:01:11.200 --> 00:01:14.600]  小朋友就會扮鬼扮馬去到人家的家裏面敲門,
[00:01:14.600 --> 00:01:19.800]  中文的翻譯就是說,要麼你給糖我喫,要麼我就會倒彈。
[00:01:19.800 --> 00:01:26.400]  這種風氣原本是來自愛爾蘭的,
[00:01:26.400 --> 00:01:36.800]  背景是來自天主教在11月1號有一箇中文譯作叫萬聖節,
[00:01:36.800 --> 00:01:40.200]  11月2號也有一個萬靈節,
[00:01:40.200 --> 00:01:44.400]  萬靈節的意思是代表着去追思一些亡魂。
[00:01:44.400 --> 00:01:48.800]  基督教和天主教和東正教其中一個很大的分別就是,
[00:01:48.800 --> 00:01:52.200]  在初期教會我們還沒有新約聖經的時候,
[00:01:52.200 --> 00:01:56.000]  我們也會同樣背誦使徒聖經。
[00:01:56.000 --> 00:02:01.800]  使徒聖經其中一句說話就是說是和衆聖徒相交,
[00:02:01.800 --> 00:02:04.400]  和衆聖徒相交是代表什麼呢?
[00:02:04.400 --> 00:02:10.800]  是基督教的理解是和那些還在世上的聖徒相交,
[00:02:10.800 --> 00:02:15.800]  但是天主教是接受了已經死去的一些信徒,
[00:02:15.800 --> 00:02:20.000]  透過土告,透過彌撒,可以和他們相交。
[00:02:20.000 --> 00:02:24.600]  正正要藉着這個萬聖節去封聖,
[00:02:24.600 --> 00:02:28.600]  就是說將一些聖徒可能生前是不太出名的,
[00:02:28.600 --> 00:02:31.400]  但是他們留下來的品格,
[00:02:31.400 --> 00:02:36.800]  他們的品德或者人生是值得後世的聖徒去跟從和學習的,
[00:02:36.800 --> 00:02:39.800]  這些聖徒就被封爲聖了。
[00:02:39.800 --> 00:02:43.400]  因爲這樣的緣故,人數太衆多,
[00:02:43.400 --> 00:02:47.400]  所以就稱爲萬聖節。
[00:02:47.400 --> 00:02:53.600]  因爲這樣的緣故,加上10月31號,
[00:02:53.600 --> 00:02:57.600]  愛爾蘭有一種慶祝的日子,
[00:02:57.600 --> 00:03:01.800]  這個慶祝正正是背後的理念,
[00:03:01.800 --> 00:03:06.000]  是代表着地獄的門大開,
[00:03:06.000 --> 00:03:11.200]  那些靈界會湧上來和陽間的人可以接觸。
[00:03:11.200 --> 00:03:14.200]  這種觀念和我們中國人的七十四,
[00:03:14.200 --> 00:03:19.800]  是與蘭節非常相似的,在這個觀念上。
[00:03:19.800 --> 00:03:25.000]  很奇怪,我們看電影都有這樣的感覺,
[00:03:25.000 --> 00:03:29.000]  如果電影裏面的主角講廣東話粗口,
[00:03:29.000 --> 00:03:30.800]  我們沒那麼容易接受的,
[00:03:30.800 --> 00:03:33.800]  但是看西片,連愛情片都講粗口的,
[00:03:33.800 --> 00:03:35.400]  但我們又可以接受的。
[00:03:35.400 --> 00:03:40.000]  同樣地,你知道萬聖節叫小朋友扮鬼扮馬,
[00:03:40.000 --> 00:03:42.600]  這是在西方的靈界來的,
[00:03:42.600 --> 00:03:45.000]  所以我們覺得沒什麼所謂,扮一下而已。
[00:03:45.000 --> 00:03:47.800]  但是想象一下,如果七十四如蘭芝,
[00:03:47.800 --> 00:03:49.800]  我們同樣照樣煮一碗,
[00:03:49.800 --> 00:03:54.200]  叫那些小朋友扮牛鬼蛇神,扮黑白無常,
[00:03:54.200 --> 00:03:56.400]  然後去別人家裏按門鈴,
[00:03:56.400 --> 00:04:01.000]  然後你給糖果喫,不是我撒溪錢給你的。
[00:04:01.000 --> 00:04:04.400]  你就接受不了了,你覺得不會吧?
[00:04:04.400 --> 00:04:08.200]  所以這是一個文化的差異。
[00:04:08.200 --> 00:04:11.000]  如果想象一下這種文化差異,
[00:04:11.000 --> 00:04:14.000]  其實廣東話粗口和英文粗口都是粗口,
[00:04:14.000 --> 00:04:17.600]  如果在七十四我們叫小朋友扮鬼扮馬,
[00:04:17.600 --> 00:04:21.800]  和在萬聖節叫小朋友扮鬼扮馬都一樣。
[00:04:21.800 --> 00:04:23.600]  所以今天在散會之後,
[00:04:23.600 --> 00:04:26.200]  我鼓勵你拿一張宣傳的蛋象,
[00:04:26.200 --> 00:04:29.600]  我們好幾年因爲有弟兄的奉獻支持下,
[00:04:29.600 --> 00:04:34.000]  我們能夠在報紙上登了一版廣告,
[00:04:34.000 --> 00:04:36.000]  去解釋萬聖節的來源,
[00:04:36.000 --> 00:04:39.400]  讓香港的教育,因爲在愛爾蘭的興起之後,
[00:04:39.400 --> 00:04:41.800]  這種風俗就傳到了北美,
[00:04:41.800 --> 00:04:44.600]  北美留學或者移民迴歸的人,
[00:04:44.600 --> 00:04:47.000]  就將這種文化帶進來了,
[00:04:47.000 --> 00:04:51.800]  特別是國際學校就更加將這種文化帶進來了。
[00:04:51.800 --> 00:04:56.000]  初初家長以爲這只不過是一種遊戲,
[00:04:56.000 --> 00:04:58.600]  這種只是玩,不要忘記弟兄姐妹,
[00:04:58.600 --> 00:05:02.600]  今天八十後的人經常想着自己是打不死的,
[00:05:02.600 --> 00:05:05.400]  爲什麼呢?是由遊戲在影響他們。
[00:05:05.400 --> 00:05:07.600]  不要以爲玩着玩着,
[00:05:07.600 --> 00:05:10.800]  玩着玩着,我們叫遊戲學習,
[00:05:10.800 --> 00:05:13.200]  玩着玩着就學到了一些東西,
[00:05:13.200 --> 00:05:15.400]  所以不要以爲小朋友玩着玩着,
[00:05:15.400 --> 00:05:18.400]  玩着玩着就學到了一些價值觀。
[00:05:18.400 --> 00:05:21.000]  在萬聖節裏面恐怖的地方,
[00:05:21.000 --> 00:05:23.200]  就是我們說的魔鬼的工作究竟是什麼來的,
[00:05:23.200 --> 00:05:25.800]  魔鬼的工作是最簡單包括兩方面,
[00:05:25.800 --> 00:05:27.200]  第一是迷惑,
[00:05:27.200 --> 00:05:31.800]  什麼叫迷惑呢?就是讓人在不知不覺底下,
[00:05:31.800 --> 00:05:35.200]  去打開他的心門去接受魔鬼,
[00:05:35.200 --> 00:05:37.200]  我們港鬼經驗很多,
[00:05:37.200 --> 00:05:39.600]  但是我不會看鬼片的,
[00:05:39.600 --> 00:05:42.000]  爲什麼呢?我們港鬼經驗這麼多,
[00:05:42.000 --> 00:05:43.000]  爲什麼不看鬼片呢?
[00:05:43.000 --> 00:05:46.600]  第一,港鬼在真實的鬼裏面已經夠害怕了,
[00:05:46.600 --> 00:05:50.000]  何必去看一套假的鬼片嚇自己呢?
[00:05:50.000 --> 00:05:52.000]  鬼片的目的是什麼?
[00:05:52.000 --> 00:05:54.200]  等於看笑片,笑片的目的是什麼?
[00:05:54.200 --> 00:05:57.000]  出來不好笑,不好笑就不好笑,
[00:05:57.000 --> 00:05:58.800]  笑片就是出來要笑,
[00:05:58.800 --> 00:06:00.800]  鬼片的目的是什麼?要嚇到,
[00:06:00.800 --> 00:06:03.200]  嚇到今晚睡不着,那套鬼片就很成功,
