
[00:00:00.000 --> 00:00:01.520]  我自己很深的體會到
[00:00:01.520 --> 00:00:02.320]  新的一年
[00:00:02.320 --> 00:00:06.080]  不知道大家有沒有一些回顧和納怨
[00:00:06.080 --> 00:00:09.560]  我自己今晚會錄《永閃論壇》
[00:00:09.560 --> 00:00:12.200]  題目是《故後瞻前》
[00:00:12.200 --> 00:00:14.040]  看看過去一年
[00:00:14.040 --> 00:00:17.760]  再看看新的一年有什麼可以面對
[00:00:17.760 --> 00:00:20.520]  每一年的開始
[00:00:20.520 --> 00:00:22.520]  有些不信耶穌的人
[00:00:22.520 --> 00:00:23.880]  特別是農曆新年
[00:00:23.880 --> 00:00:26.840]  一定趕著去黃大仙店
[00:00:26.840 --> 00:00:29.040]  上頭柱香
[00:00:29.040 --> 00:00:30.480]  去祈福
[00:00:30.480 --> 00:00:32.680]  其實我們基督徒也需要
[00:00:32.680 --> 00:00:34.160]  在新的一年裡面
[00:00:34.160 --> 00:00:38.160]  要想一想我們應該求神給我們什麼福氣
[00:00:38.160 --> 00:00:41.560]  所以今天會跟大家去看《詩篇》九十篇
[00:00:41.560 --> 00:00:42.800]  我很喜歡一句話
[00:00:42.800 --> 00:00:45.320]  一年之計在於春
[00:00:45.320 --> 00:00:48.080]  一日之計在於晨
[00:00:48.080 --> 00:00:49.760]  大家留意這個晨
[00:00:49.760 --> 00:00:51.640]  不是清晨的晨
[00:00:51.640 --> 00:00:54.360]  是在於我們所相信的晨
[00:00:54.360 --> 00:00:58.320]  我們會不會每一天都仰望我們的晨呢?
[00:00:58.320 --> 00:01:01.080]  今天會跟大家看《詩篇》九十篇
[00:01:01.080 --> 00:01:05.160]  《詩篇》九十篇應該是摩西所寫的
[00:01:05.160 --> 00:01:07.360]  如果我們看回裡面的內容
[00:01:07.360 --> 00:01:11.600]  那些字和《生命記》所用的字是很相符的
[00:01:11.600 --> 00:01:14.240]  如果真的是摩西所寫的話
[00:01:14.240 --> 00:01:17.800]  這篇詩篇應該是整本聖經裡面
[00:01:17.800 --> 00:01:20.040]  最古老的一首詩篇
[00:01:20.040 --> 00:01:22.640]  因為大部分的詩篇都是大衛所寫的
[00:01:22.640 --> 00:01:24.520]  但是大衛已經是很後期了
[00:01:24.520 --> 00:01:26.760]  是摩西帶領以色列出埃及
[00:01:26.760 --> 00:01:28.600]  如果我們再看經文的內容
[00:01:28.600 --> 00:01:31.600]  我們都相信這個真是摩西所寫的
[00:01:31.600 --> 00:01:37.160]  因為頭一部分就講到人生的短暫和無奈
[00:01:37.160 --> 00:01:39.280]  記不記得摩西帶領以色列出埃及
[00:01:39.280 --> 00:01:42.240]  在抗疫中漂流了四十年
[00:01:42.240 --> 00:01:45.040]  因為這群子民不斷的埋怨神
[00:01:45.040 --> 00:01:46.320]  很多的埋怨
[00:01:46.320 --> 00:01:47.600]  很多的不滿
[00:01:47.600 --> 00:01:49.120]  也都缺乏信心
[00:01:49.120 --> 00:01:52.160]  所以神就不容讓這一代的人
[00:01:52.160 --> 00:01:53.720]  可以進入迦南地
[00:01:53.720 --> 00:01:55.640]  是第二代的人才可以進去
[00:01:55.640 --> 00:01:57.680]  就是說這四十年裡面
[00:01:57.680 --> 00:01:59.960]  出埃及的那群人
[00:01:59.960 --> 00:02:02.600]  陸陸續續的死亡
[00:02:02.600 --> 00:02:05.160]  連摩西自己都不能進入迦南地
[00:02:05.160 --> 00:02:09.360]  只有約書和迦勒才能進去
[00:02:09.360 --> 00:02:12.720]  所以摩西看到很多人的死亡
[00:02:12.720 --> 00:02:14.640]  看到人生的苦短
[00:02:14.640 --> 00:02:16.600]  於是他在晚年的時候
[00:02:16.600 --> 00:02:19.320]  就寫了這一篇詩篇
[00:02:19.320 --> 00:02:22.040]  這篇詩篇分開兩大部分
[00:02:22.040 --> 00:02:25.360]  第一部分描繪到人生的無奈
[00:02:25.360 --> 00:02:27.080]  接著他就體會到
[00:02:27.080 --> 00:02:30.280]  應該怎樣向神來呼求
[00:02:30.280 --> 00:02:33.720]  一開始他就講到神是永恆的
[00:02:33.720 --> 00:02:35.080]  人是短暫的
[00:02:35.080 --> 00:02:37.240]  我都頗喜歡這幅構圖
[00:02:37.240 --> 00:02:38.560]  講人生的循環
[00:02:38.560 --> 00:02:39.480]  你有沒有留意到?
[00:02:39.480 --> 00:02:41.920]  一個小孩子小時候很開心玩
[00:02:41.920 --> 00:02:43.720]  長大了就談戀愛
[00:02:43.720 --> 00:02:44.560]  拍拖了
[00:02:44.560 --> 00:02:46.360]  接著就成家立室
[00:02:46.360 --> 00:02:48.480]  到了年老的時候
[00:02:48.480 --> 00:02:50.240]  彼此執子之手
[00:02:50.240 --> 00:02:51.520]  與子皆老
[00:02:51.520 --> 00:02:53.760]  但終於他的配偶離開了
[00:02:53.760 --> 00:02:57.080]  他坐在那裡對著墳墓
[00:02:57.080 --> 00:02:59.400]  但最後他也離開了
[00:02:59.400 --> 00:03:01.440]  所以有兩個墳墓
[00:03:01.440 --> 00:03:04.000]  你看到樹葉都有特別的意思
[00:03:04.000 --> 00:03:05.440]  不知道大家有沒有聽過一首歌
[00:03:05.440 --> 00:03:06.720]  我很喜歡這首歌
[00:03:06.720 --> 00:03:08.560]  聽的時候有很大感受
[00:03:08.560 --> 00:03:11.920]  是關正傑唱的《識別歌》
[00:03:11.920 --> 00:03:13.880]  改編自日本的歌曲
[00:03:13.880 --> 00:03:15.240]  這首歌很好聽
[00:03:15.240 --> 00:03:17.840]  是改編自日本的歌曲
