
[00:00:00.000 --> 00:00:06.560]  丁小蕙的家,丁大蕙的親生父母是葉樹、范雄丁、梁浩
[00:00:06.560 --> 00:00:09.240]  我們可能都很想要看回到是
[00:00:09.240 --> 00:00:13.480]  寬樹或是鹽樹對我們來說真的不容易的事情
[00:00:13.480 --> 00:00:16.880]  很多時候寬樹、鹽樹兩視比較容易
[00:00:16.880 --> 00:00:19.560]  但是如果對方三眼四視地對著你
[00:00:19.560 --> 00:00:20.960]  或者你很反眉
[00:00:20.960 --> 00:00:24.000]  可能他很難受得了鹽樹的光芒
[00:00:24.000 --> 00:00:25.760]  那些鹽樹,我們聽說過
[00:00:25.760 --> 00:00:28.120]  如果我的母親是日本人
[00:00:28.120 --> 00:00:31.560]  或者日本人就要生了,她生了一個很美好的生
[00:00:31.560 --> 00:00:34.120]  如果她們做國人,我相信她們也會很想知道
[00:00:34.120 --> 00:00:35.680]  她們可能會問我
[00:00:35.680 --> 00:00:38.600]  你有沒有看過鹽樹的畫?
[00:00:38.600 --> 00:00:40.680]  你看過它嗎?
[00:00:40.680 --> 00:00:43.920]  我看過,但不算太多,這次…
[00:00:43.920 --> 00:00:47.400]  很後面,但我上次看過鹽樹
[00:00:47.400 --> 00:00:48.960]  那邊的小學的小學
[00:00:48.960 --> 00:00:53.240]  我發現裡面的小學並不是用了鹽種獲的
[00:00:53.240 --> 00:00:56.400]  或者是用了一些有地理的鹽種獲
[00:00:56.400 --> 00:00:59.240]  鹽種獲的鹽種獲是不足夠的
[00:00:59.240 --> 00:01:03.400]  很多人都很欣賞鹽種獲對那種打得死
[00:01:03.400 --> 00:01:06.560]  同時是愈強愈強的精神
[00:01:06.560 --> 00:01:08.240]  但是對我來說
[00:01:08.240 --> 00:01:11.480]  鹽樹最等分我的不是鹽種獲的
[00:01:11.480 --> 00:01:13.920]  而是鹽種獲的愈強愈強的精神
[00:01:13.920 --> 00:01:16.080]  而是具體人格的努力
[00:01:16.080 --> 00:01:17.600]  因為每個人都這樣打
[00:01:17.600 --> 00:01:19.560]  所以我對鹽樹有幾分信口
[00:01:19.560 --> 00:01:22.960]  很多時候都是跟人家打拼的
[00:01:22.960 --> 00:01:24.320]  甚至很多時候
[00:01:24.320 --> 00:01:27.440]  是用鹽種獲成為他的前友
[00:01:27.440 --> 00:01:31.840]  他在頂天三線去保護地球
[00:01:31.840 --> 00:01:34.400]  在今天我們講鹽樹的時候
[00:01:34.400 --> 00:01:38.000]  我們看看主耶穌在我們同學裡面
[00:01:38.000 --> 00:01:39.480]  怎麼會教導我們
[00:01:39.480 --> 00:01:41.200]  我們是真正的鹽樹
[00:01:41.200 --> 00:01:44.560]  怎樣才能夠去真正的鹽樹一個人
[00:01:44.560 --> 00:01:46.320]  他本來的勢力是
[00:01:46.320 --> 00:01:50.000]  馬克、福音十一、二十二、三十五次
[00:01:50.000 --> 00:01:51.320]  我們先來看看
[00:01:51.320 --> 00:01:53.680]  依造的前途是哪一種依造的依造的先
[00:01:53.680 --> 00:01:55.520]  或者世代總督
[00:01:55.520 --> 00:01:58.400]  馬氏、彼得、孫氏、奧
[00:01:58.400 --> 00:01:59.760]  跟著耶穌說
[00:01:59.760 --> 00:02:02.360]  樹下我比天最高
[00:02:02.360 --> 00:02:04.880]  我能夠鹽樹下幾次呢
[00:02:04.880 --> 00:02:07.000]  都七次可以了
[00:02:07.000 --> 00:02:08.080]  耶穌說
[00:02:08.080 --> 00:02:10.960]  我比你先一次七次
[00:02:10.960 --> 00:02:15.160]  太先到七十個七次
[00:02:15.160 --> 00:02:17.160]  在頂天三線當中
[00:02:17.160 --> 00:02:18.720]  鹽樹這個人士
[00:02:18.720 --> 00:02:21.600]  跟著他用鹽樹來發佈書
[00:02:21.600 --> 00:02:23.880]  他們就放火了
[00:02:23.880 --> 00:02:25.680]  然後就用鹽去鹽樹
[00:02:25.680 --> 00:02:27.280]  對耶穌來講
[00:02:27.280 --> 00:02:28.120]  這個就說了
[00:02:28.120 --> 00:02:30.800]  通常都是鹽樹三次
[00:02:30.800 --> 00:02:32.280]  就是多久的極限
[00:02:32.280 --> 00:02:34.920]  一、二、三次就不再鹽樹了
[00:02:34.920 --> 00:02:37.200]  那時候我們也說了
[00:02:37.200 --> 00:02:38.960]  先一、二、三次
[00:02:38.960 --> 00:02:40.720]  如果他三、四次
[00:02:40.720 --> 00:02:41.800]  下次我三次
[00:02:41.800 --> 00:02:43.360]  那我就要去依護他
[00:02:43.360 --> 00:02:45.840]  然後我就不會再鹽樹對方
[00:02:45.840 --> 00:02:47.360]  所以聽見了嗎
[00:02:47.360 --> 00:02:49.040]  彼得、孫氏、彼得、孫氏
[00:02:49.040 --> 00:02:51.720]  是不是鹽樹七次就夠了
