
[00:00:00.000 --> 00:00:01.520]  各位電影姐妹早晨
[00:00:01.520 --> 00:00:02.240]  早晨
[00:00:02.240 --> 00:00:03.440]  願你們平安
[00:00:03.440 --> 00:00:04.320]  平安
[00:00:04.320 --> 00:00:06.600]  巴西等人可以安心一點
[00:00:06.600 --> 00:00:10.880]  在第二次世界大戰期間
[00:00:10.880 --> 00:00:14.520]  在北非戰線和歐洲戰線
[00:00:14.520 --> 00:00:16.320]  主要的指揮官
[00:00:16.320 --> 00:00:18.880]  美國陸軍的五星上將
[00:00:18.880 --> 00:00:21.560]  奧馬爾·布拉德利將軍
[00:00:21.560 --> 00:00:23.680]  奧馬·布拉德利
[00:00:23.680 --> 00:00:28.120]  在戰後他評論他自己所效忠的國家
[00:00:28.480 --> 00:00:32.160]  美國一個由基督教立國的國家
[00:00:32.160 --> 00:00:33.200]  他這樣說
[00:00:33.200 --> 00:00:37.320]  美國雖然在核子技術上是一個巨人
[00:00:37.320 --> 00:00:41.200]  但在道德倫理上卻是一個諸如此類
[00:00:41.200 --> 00:00:43.760]  雖然有強大的力量
[00:00:43.760 --> 00:00:46.480]  但卻摒棄了良知
[00:00:46.480 --> 00:00:50.280]  縱然成就了顯赫的文明
[00:00:50.280 --> 00:00:53.120]  但卻失去了智慧
[00:00:53.120 --> 00:00:55.920]  自從上一個世紀以來
[00:00:55.920 --> 00:01:00.080]  人類雖然在知識 科技 經濟上
[00:01:00.080 --> 00:01:01.880]  有急速的進展
[00:01:01.880 --> 00:01:05.720]  但社會學家卻紛紛去講出
[00:01:05.720 --> 00:01:08.280]  今日的世界所擁有的文明
[00:01:08.280 --> 00:01:10.840]  已經是一個沒有指南針的文明
[00:01:10.840 --> 00:01:15.960]  世人已經失去了生命的方向
[00:01:15.960 --> 00:01:21.520]  現代人不單止不知道怎樣去分辨對或錯
[00:01:21.520 --> 00:01:25.040]  更加爭論並且懷疑
[00:01:25.040 --> 00:01:29.160]  在世界上究竟仍然有真理的存在
[00:01:29.160 --> 00:01:33.440]  是否仍舊有對或錯之分
[00:01:33.440 --> 00:01:38.200]  所有的事情都變了只有相對
[00:01:38.200 --> 00:01:39.720]  卻沒有絕對
[00:01:39.720 --> 00:01:42.320]  不過弟兄姊妹
[00:01:42.320 --> 00:01:45.880]  當我們這群仍然相信有真理
[00:01:45.880 --> 00:01:48.080]  仍然願意信服真理的人
[00:01:48.080 --> 00:01:50.360]  面對不同事情的時候
[00:01:50.360 --> 00:01:51.760]  大家是否相信真理?
[00:01:51.760 --> 00:01:54.680]  是否仍然確信有真理存在?
[00:01:55.920 --> 00:01:57.960]  當我們願意信服真理的時候
[00:01:57.960 --> 00:02:01.360]  我們都不會單單去看自己的喜好
[00:02:01.360 --> 00:02:03.920]  我們卻會去問一問
[00:02:03.920 --> 00:02:07.720]  在神的眼中究竟怎樣看待這件事
[00:02:07.720 --> 00:02:10.880]  究竟這件事是對還是錯呢?
[00:02:10.880 --> 00:02:12.800]  在這樣的情況下
[00:02:12.800 --> 00:02:14.520]  我應該怎樣去做呢?
[00:02:14.520 --> 00:02:16.160]  怎樣去作出抉擇呢?
[00:02:16.160 --> 00:02:18.800]  原來當我們這樣做的時候
[00:02:18.800 --> 00:02:21.280]  我們正在尋求一個屬天的智慧
[00:02:22.440 --> 00:02:25.120]  就是希望在我們人生的旅程裏面
[00:02:25.120 --> 00:02:26.880]  找到一個生命指南針
[00:02:26.880 --> 00:02:29.800]  引領我們人生的方向
[00:02:29.800 --> 00:02:33.720]  在剛才我們一起所看的聖經雅各書
[00:02:33.720 --> 00:02:36.760]  三章十三到十八節裏面
[00:02:36.760 --> 00:02:40.280]  裏面聖經以智慧為題
[00:02:40.280 --> 00:02:43.160]  向我們作出一個很重要的提醒
[00:02:43.160 --> 00:02:45.720]  你是要認清楚
[00:02:45.720 --> 00:02:49.000]  究竟你所擁有的智慧
[00:02:49.800 --> 00:02:52.840]  是從上頭、從神而來
[00:02:52.840 --> 00:02:54.640]  屬天、屬靈的智慧
[00:02:54.640 --> 00:03:02.320]  還是從地獄、從魔鬼、從情欲而生的智慧
[00:03:02.320 --> 00:03:04.920]  你可能會想
[00:03:04.920 --> 00:03:05.800]  喂!牧師
[00:03:05.800 --> 00:03:08.520]  甚麼智慧都有分從神而來
[00:03:08.520 --> 00:03:10.920]  和從魔鬼而來嗎?
[00:03:10.920 --> 00:03:13.120]  那麼這兩種智慧
[00:03:13.120 --> 00:03:16.280]  究竟又為人類帶來甚麼影響呢?
[00:03:19.440 --> 00:03:21.480]  我在這裏鄭重和大家說
[00:03:21.480 --> 00:03:25.080]  智慧的確有從神而來
[00:03:25.080 --> 00:03:26.960]  和從魔鬼而來之分
[00:03:26.960 --> 00:03:30.400]  從上頭、從神而來的智慧
[00:03:30.400 --> 00:03:31.680]  是屬靈的智慧
[00:03:31.680 --> 00:03:34.480]  是能夠叫人明白真理的智慧
[00:03:34.480 --> 00:03:40.200]  是能夠使人得著從神所賜永生的智慧
[00:03:40.200 --> 00:03:46.000]  而那些從地獄、從鬼魔而來的智慧
[00:03:46.000 --> 00:03:48.360]  它絕對不是真正的智慧
[00:03:49.320 --> 00:03:53.440]  它只是會使人永遠的遠離真神
[00:03:53.440 --> 00:03:57.280]  將人帶盡死亡的智慧
[00:03:57.280 --> 00:04:02.120]  既然這兩種智慧所帶給人的結果
[00:04:02.120 --> 00:04:03.800]  有這麼大的分別
[00:04:03.800 --> 00:04:07.160]  那麼我們如何去區分這兩種的智慧呢?
[00:04:07.160 --> 00:04:10.760]  在聖經亞國書三章第十三節
[00:04:10.760 --> 00:04:12.960]  聖經先問我們
[00:04:12.960 --> 00:04:17.200]  你們中間誰是有智慧、有見識的呢?
[00:04:17.200 --> 00:04:20.360]  這個提問正要為我們引申出
[00:04:20.360 --> 00:04:22.240]  什麼叫做屬靈的智慧
[00:04:22.240 --> 00:04:24.280]  三章十三節繼續這樣說
[00:04:24.280 --> 00:04:31.240]  「就當在智慧的溫柔上顯出善行來」
[00:04:31.240 --> 00:04:35.720]  這個正是在隨後三章第十七節之後
[00:04:35.720 --> 00:04:36.960]  三章十七節
[00:04:36.960 --> 00:04:41.440]  聖經所提到的從上頭而來的智慧是怎樣?
[00:04:41.440 --> 00:04:45.360]  當一個人他擁有從上頭而來的智慧的時候
[00:04:45.360 --> 00:04:48.800]  在他的生活裏就會流露出屬於神
[00:04:48.800 --> 00:04:52.640]  屬靈生命那一份的美和善
[00:04:52.640 --> 00:04:54.400]  聖經亞國書指出
[00:04:54.400 --> 00:04:57.040]  智慧原來是一種生活的方式
[00:04:57.040 --> 00:05:00.560]  卻不是智慧、不是智力的指數
[00:05:00.560 --> 00:05:05.840]  真正的智慧本身與人的智力無關
[00:05:05.840 --> 00:05:11.960]  但卻與人的心性有著非常密切的關係
[00:05:11.960 --> 00:05:15.600]  因此亞國書三章十三節這樣說
[00:05:15.600 --> 00:05:19.840]  「你們中間誰是有智慧有見識的呢?
