
[00:00:00.000 --> 00:00:02.000]  孔子明問下大英姐妹平安
[00:00:02.000 --> 00:00:04.000]  孔子問下大英姐妹平安
[00:00:04.000 --> 00:00:06.000]  今日係感恩節係咩
[00:00:06.000 --> 00:00:08.000]  今天係感恩節
[00:00:08.000 --> 00:00:10.000]  但係感恩節會驚係咩
[00:00:10.000 --> 00:00:12.000]  感恩節走過
[00:00:12.000 --> 00:00:14.000]  北美洲呢
[00:00:14.000 --> 00:00:16.000]  始終都係一個
[00:00:16.000 --> 00:00:18.000]  敬畏上帝嘅國家
[00:00:18.000 --> 00:00:20.000]  北美始終係一個敬畏上帝嘅國家
[00:00:20.000 --> 00:00:22.000]  依家係咪好難講呀
[00:00:22.000 --> 00:00:24.000]  依家係咪好難講呀 依家係咪好難講呀
[00:00:24.000 --> 00:00:26.000]  依家係咪好難講呀 依家係咪好難講呀
[00:00:26.000 --> 00:00:28.000]  依家係咪好難講呀
[00:00:28.000 --> 00:00:30.000]  加拿大開國
[00:00:30.000 --> 00:00:32.000]  係由歐洲嚟嘅移民呢
[00:00:32.000 --> 00:00:34.000]  係由歐洲嚟嘅移民
[00:00:34.000 --> 00:00:36.000]  佢哋敬畏上帝 佢哋敬畏上帝
[00:00:36.000 --> 00:00:38.000]  頭先我見到Raymond
[00:00:38.000 --> 00:00:40.000]  天口涼啦 天氣涼啦
[00:00:40.000 --> 00:00:42.000]  我哋要加衫呀嘛 我哋要摘衣服啦
[00:00:42.000 --> 00:00:44.000]  其實係咩呀 天口涼
[00:00:44.000 --> 00:00:46.000]  天氣轉涼 你種嗰啲嘢呢
[00:00:46.000 --> 00:00:48.000]  你收種嘅嘢呢
[00:00:48.000 --> 00:00:50.000]  可以收啦 可以收割啦
[00:00:50.000 --> 00:00:52.000]  通常呢
[00:00:52.000 --> 00:00:54.000]  加拿大人嘅教會呢
[00:00:54.000 --> 00:00:56.000]  加拿大的教會呢
[00:00:56.000 --> 00:00:58.000]  尤其是喺
[00:00:58.000 --> 00:01:00.000]  扣仔嗰啲呀
[00:01:00.000 --> 00:01:04.000]  小鎮嘅呢啲地方
[00:01:04.000 --> 00:01:06.000]  金國主日呢
[00:01:06.000 --> 00:01:08.000]  佢哋個檯面呢 佢哋個檯面呢
[00:01:08.000 --> 00:01:10.000]  擺晒啲咩呀
[00:01:10.000 --> 00:01:12.000]  擺晒啲乜嘢呢
[00:01:12.000 --> 00:01:14.000]  你種嗰啲Pumpkin呀
[00:01:14.000 --> 00:01:16.000]  咩瓜呀
[00:01:16.000 --> 00:01:18.000]  之前南瓜 擺晒喺度
[00:01:18.000 --> 00:01:20.000]  都會擺晒喺度 又叫啲新蚊仔嚟
