
[00:00:00.000 --> 00:00:02.000]  好,我們先來祈禱一下
[00:00:02.000 --> 00:00:08.000]  主啊,求祢藉著今天耶穌所說的話
[00:00:08.000 --> 00:00:11.000]  再次給我們反思
[00:00:11.000 --> 00:00:13.000]  我們要怎樣跟隨主
[00:00:13.000 --> 00:00:16.000]  才有永恆、有意義的價值
[00:00:16.000 --> 00:00:18.000]  願我們都來到祢面前
[00:00:18.000 --> 00:00:20.000]  求祢去屠宗我們的心
[00:00:20.000 --> 00:00:22.000]  開我們的眼
[00:00:22.000 --> 00:00:26.000]  讓我們可以更有生命的成長
[00:00:26.000 --> 00:00:29.000]  更加知道怎樣向著彪竿直跑去跟隨神
[00:00:29.000 --> 00:00:32.000]  要得神為我們預備的獎賞
[00:00:32.000 --> 00:00:33.000]  多謝您聽我們祈禱
[00:00:33.000 --> 00:00:35.000]  奉主耶穌基督得聖的名祈求
[00:00:35.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:41.000]  好,今天一開始想大家去想一想
[00:00:41.000 --> 00:00:45.000]  最近你發覺澳洲很多不同的省都有些遊行
[00:00:45.000 --> 00:00:49.000]  假如你在其中當中
[00:00:49.000 --> 00:00:51.000]  在一條很擠的街上
[00:00:51.000 --> 00:00:56.000]  然後周圍的人就在大聲叫
[00:00:56.000 --> 00:00:58.000]  歡呼
[00:00:58.000 --> 00:01:00.000]  情緒很高漲
[00:01:00.000 --> 00:01:05.000]  你就被這個情緒感染了
[00:01:05.000 --> 00:01:08.000]  你就加入了人群跟著走
[00:01:08.000 --> 00:01:09.000]  走著走著
[00:01:09.000 --> 00:01:13.000]  突然領袖就轉身
[00:01:13.000 --> 00:01:16.000]  對著群眾說
[00:01:16.000 --> 00:01:18.000]  說出一些很驚訝的話
[00:01:18.000 --> 00:01:19.000]  什麼話呢
[00:01:19.000 --> 00:01:23.000]  他說無論你們來到這裡是怎樣都好
[00:01:23.000 --> 00:01:24.000]  如果你不愛我
[00:01:24.000 --> 00:01:27.000]  多過愛你自己的父母、妻子、兒女、弟兄姊妹
[00:01:27.000 --> 00:01:29.000]  和自己的性命
[00:01:29.000 --> 00:01:32.000]  就不能做我的跟隨者
[00:01:32.000 --> 00:01:34.000]  不知道你有沒有被嚇到
[00:01:34.000 --> 00:01:36.000]  你想想這個場景
[00:01:36.000 --> 00:01:38.000]  真的會被嚇到
[00:01:38.000 --> 00:01:40.000]  這些突然說的話
[00:01:40.000 --> 00:01:41.000]  你有什麼感受
[00:01:41.000 --> 00:01:43.000]  有什麼反應呢
[00:01:43.000 --> 00:01:45.000]  即是我都會停下來
[00:01:45.000 --> 00:01:46.000]  想一想
[00:01:46.000 --> 00:01:48.000]  我為什麼在這群人裡面呢
[00:01:48.000 --> 00:01:50.000]  我其實在做什麼呢
[00:01:50.000 --> 00:01:53.000]  我要追求什麼呢
[00:01:53.000 --> 00:01:56.000]  所以今天我們來到教會
[00:01:56.000 --> 00:02:00.000]  我們說我們是跟隨耶穌的頂姐妹
[00:02:00.000 --> 00:02:03.000]  我們其實是追求什麼呢
[00:02:03.000 --> 00:02:06.000]  我們要怎樣去跟隨耶穌呢
[00:02:06.000 --> 00:02:09.000]  剛剛讀了《路加福音經文》
[00:02:09.000 --> 00:02:12.000]  可能是最令我們很多
[00:02:12.000 --> 00:02:19.000]  惆悵或者坐立不安的話語的其中一段
[00:02:19.000 --> 00:02:21.000]  你發覺耶穌好像很不近人情
[00:02:21.000 --> 00:02:26.000]  這麼嚴厲 突然跟隨他的人 開心心 剛剛吃完
[00:02:26.000 --> 00:02:29.000]  剛剛餵飽了四五千人
[00:02:29.000 --> 00:02:31.000]  剛剛吃完東西 跟隨耶穌
[00:02:31.000 --> 00:02:33.000]  為什麼說這些呢
[00:02:33.000 --> 00:02:38.000]  所以我們要看看耶穌其實在說什麼
[00:02:38.000 --> 00:02:40.000]  25節到26節
