
[00:00:00.000 --> 00:00:04.560]  我不知道你記不記得《文素記》的主題是什麽
[00:00:04.560 --> 00:00:07.340]  我上個星期講那個加油站的時候
[00:00:07.340 --> 00:00:11.580]  就會講它的主題叫做「曠野途中的叛逆」
[00:00:11.580 --> 00:00:18.640]  所以如果你當利美記是一幫忠心的利美人
[00:00:18.640 --> 00:00:20.840]  在那裏保護著上帝的聖潔
[00:00:20.840 --> 00:00:25.360]  在《文素記》裏面就有一幫很叛逆的人
[00:00:25.360 --> 00:00:31.800]  帶領以色列人去背叛耶和華 也都是背叛摩西
[00:00:31.800 --> 00:00:35.280]  但是在當中我們會見到曠野的叛逆
[00:00:35.280 --> 00:00:40.400]  也都是曠野裏面上帝對以色列人的拯救
[00:00:40.400 --> 00:00:45.640]  今天就是10月9號星期二
[00:00:45.640 --> 00:00:49.440]  所以如果大家按照我們這個讀經的計劃
[00:00:49.440 --> 00:00:55.300]  應該是讀到去《文素記》的第23、24
[00:00:55.300 --> 00:00:58.360]  明天就會讀第25、26章的
[00:00:58.360 --> 00:01:04.600]  我都想講這個今天講的經文
[00:01:04.600 --> 00:01:07.720]  就是《文素記》23、24、25章
[00:01:07.720 --> 00:01:10.380]  是一個挺有名的故事
[00:01:10.380 --> 00:01:12.320]  但是在講這個故事之前
[00:01:12.320 --> 00:01:16.640]  先看一下整個《文素記》的結構
[00:01:16.640 --> 00:01:21.880]  其實有五個階段 有一個前後呼應
[00:01:21.880 --> 00:01:25.720]  中間就是1、3、5、2、4 上次都講過
[00:01:25.720 --> 00:01:28.600]  今天已經是去到第五個
[00:01:28.600 --> 00:01:31.860]  在摩崖平原裏面的故事了
[00:01:31.860 --> 00:01:36.320]  就是越來越靠近去到這個認祂之地
[00:01:36.320 --> 00:01:38.560]  就準備要進去了
[00:01:38.560 --> 00:01:40.320]  我想和大家看一下
[00:01:40.320 --> 00:01:44.480]  今天要看的第23章、24章、25章
[00:01:44.480 --> 00:01:49.320]  前面的那個背景 在摩崖的平原
[00:01:49.320 --> 00:01:51.520]  《文素記》第22章第一節
[00:01:51.520 --> 00:01:54.340]  以聖人起行在摩崖平原
[00:01:54.340 --> 00:01:58.360]  約旦河東對著耶利哥安營
[00:01:58.360 --> 00:02:00.120]  我不知道你熟不熟悉地理
[00:02:00.120 --> 00:02:03.380]  不熟悉都應該大概有個idea
[00:02:03.380 --> 00:02:06.920]  就是現在我們在講我們在約旦河的東面
[00:02:06.920 --> 00:02:09.920]  就是右手邊 如果你平時看過
[00:02:09.920 --> 00:02:15.440]  你要從右邊轉進去那個聖地
[00:02:15.440 --> 00:02:17.740]  過了約旦河就是認祂之地了
[00:02:17.740 --> 00:02:22.280]  所以是從東邊那裡入口的
[00:02:22.280 --> 00:02:25.800]  它說對著耶利哥安營
[00:02:25.800 --> 00:02:28.200]  如果你熟悉後面的一些故事
[00:02:28.200 --> 00:02:31.120]  你知道耶利哥會發生些什麼事
[00:02:31.120 --> 00:02:35.320]  有一場聖戰打倒了耶利哥
[00:02:35.320 --> 00:02:40.440]  當中只有一個家庭是被拯救
[00:02:40.440 --> 00:02:44.600]  這家家庭成為以色列人當中其中的一個家庭
[00:02:44.600 --> 00:02:47.160]  一個外邦人的家庭 就是Rehab
[00:02:47.160 --> 00:02:53.400]  拉俠的妓女 希望我們以後有機會
[00:02:53.400 --> 00:02:58.280]  去到約書亞紀的時候都會講到拉俠的故事
[00:02:58.280 --> 00:03:01.360]  西伐的兒子巴勒漢見以色列
[00:03:01.360 --> 00:03:04.460]  向阿摩利人所做的一切
[00:03:04.460 --> 00:03:08.680]  摩訶因要以色列百姓這麼多
[00:03:08.680 --> 00:03:10.320]  非常之懼怕
[00:03:10.320 --> 00:03:15.400]  摩訶因以色列人的怨故 就憂懼
[00:03:15.400 --> 00:03:20.640]  其實見到以色列人蒙上帝的大令
[00:03:20.640 --> 00:03:25.160]  上帝的保守 挫敗敵人
