
[00:00:00.000 --> 00:00:02.000]  主持人:各位姐妹們,早安。
[00:00:02.000 --> 00:00:22.000]  《約翰福音》十八章一到二十七節提到耶穌基督被拘捕,被拘捕之後,祂很快送到阿拿的府上。阿拿是上一年的大祭司,但他們將耶穌帶到阿拿的地方,是希望這一位上一年的大祭司能夠做一件很重要的事情,
[00:00:22.000 --> 00:00:38.000]  就是能夠從耶穌基督的身上來詢問耶穌基督,期望能夠找到祂的罪證,然後讓阿拿這一位這麼被尊重的退位的大祭司能夠成為耶穌應該被定罪的一個很重要的證人。
[00:00:38.000 --> 00:00:48.000]  不過我們看過了,我們知道阿拿找不到祂的罪證,於是他們就將耶穌帶到當年的大祭司該亞發那裡。
[00:00:48.000 --> 00:00:58.000]  該亞發曾經說過,如果真是要在猶大當中死了人,然後我們的民族才能夠安全,就讓我們死一個人,就是死耶穌。
[00:00:58.000 --> 00:01:08.000]  但是該亞發也找不到耶穌基督的罪證,於是就落到今天我們要看的這段經文,就是十八章二十八節到十九章十六節。
[00:01:08.000 --> 00:01:20.000]  在這段經文當中,我們看到一連有三場審訊的場景。第一個場景是十八章二十八到四十節。
[00:01:20.000 --> 00:01:38.000]  在第一個審訊,我叫他們做一個高等法院的審訊,然後比拉多審完之後就出來告訴猶太人他的結案陳詞,在十八章三十八節,他說我查不出他有什麼罪來。
[00:01:38.000 --> 00:01:45.000]  當然猶太人很不滿意這個結案陳詞,於是他們上訴,不過上訴的審判官都是比拉多。
[00:01:45.000 --> 00:01:56.000]  然後比拉多回來再問,問完之後,在十九章第四節,比拉多還是說我查不出他有什麼罪來。
[00:01:56.000 --> 00:02:02.000]  當然,比拉多兩次這樣的答案其實是沒有意義的。
[00:02:02.000 --> 00:02:14.000]  因為對猶太人來說,他們為什麼在逾節之前來到這個他們更討厭的羅馬巡撫的面前,他們只有一個目的。
[00:02:14.000 --> 00:02:25.000]  這個目的,在約翰福音十八章三十一節,猶太人已經很清楚地說了出來,他說因為我們沒有殺人的權柄,已經說了。
[00:02:25.000 --> 00:02:36.000]  猶太人的意思是,我帶耶穌來到你的面前,不是要你問他有沒有罪,而是要你定他的罪,因為要殺了他。
[00:02:36.000 --> 00:02:45.000]  於是比拉多第三次終極的審判,不知道是不是終審法院,可能是最後一次。
[00:02:45.000 --> 00:02:52.000]  他知道了猶太人的要求,於是他們為了討好這些猶太人,也令自己不被牽連。
[00:02:52.000 --> 00:03:06.000]  於是,約翰福音十九章十六節,他講他第三次的結案陳詞,就說把耶穌交給冰釘釘在十字架上。
[00:03:06.000 --> 00:03:20.000]  來到這個時候,耶穌基督步向他人生救贖人類的最後一步,完了這個審訊,他就走上苦路,直到被釘在十字架上。
[00:03:20.000 --> 00:03:25.000]  在這三場審訊當中,有三批人,或者說三種人。
[00:03:25.000 --> 00:03:32.000]  第一種是控訴者,第二種是審判官,第三種是被告。
[00:03:32.000 --> 00:03:39.000]  猶太人是控訴者,他們是屬於神的子民,是神的選民。
[00:03:39.000 --> 00:03:48.000]  所以在這段經文當中,我們看到他們很重視律法的要求,因為他們覺得守了律法就是尊重了神。
[00:03:48.000 --> 00:03:55.000]  因此當我們把耶穌帶到羅馬巡撫比拉多的門口,聖經說他們到了衙門門口,就不進去了。
[00:03:55.000 --> 00:04:00.000]  他們把耶穌交給那些冰釘,被那些冰釘帶進去了。
[00:04:00.000 --> 00:04:10.000]  寫記載他們不進去的原因,十八章二十八節,他說:恐怕染了污穢,不能吃如月節的筵席。
[00:04:10.000 --> 00:04:13.000]  是啊,很快就到了如月節。
[00:04:13.000 --> 00:04:27.000]  這群猶太人記得,如月節是他們紀念神,帶領他們離開埃及圍爐之地,釋放他們有自由,然後進入迦南地享受流乃以物,享受當中多的自由的日子。
[00:04:27.000 --> 00:04:38.000]  於是這群猶太人記得,不要在禮儀上玷污自己,不要做禮儀上不容許的事情。
[00:04:38.000 --> 00:04:50.000]  因為原來根據生命記所說,如果人沾染了污穢,最嚴重的要七天後才可以守如月節,可能已經過了,已經到了最後的節慶。
[00:04:50.000 --> 00:04:57.000]  於是這群人有這樣的憂慮,來到羅馬巡撫的面前,來到門口,他們就不進去了。
[00:04:57.000 --> 00:05:12.000]  這個官挺有趣的,就像來到法院門口,不進來了,法官會走出來,走出來門口問,什麼事啊?告誰啊?不知道為什麼,比拉多很有趣。
[00:05:12.000 --> 00:05:24.000]  於是我們從這段經文看到比拉多出來,進去,出來,進去,出來,進去,這個官也算是這樣,表面上也愛民如子,你不進來我出來。
[00:05:24.000 --> 00:05:48.000]  這群猶太人很重視他們對神的信仰當中的禮儀,他們不想給任何機會沾污自己,以致他們不能夠參與宗教節期當中的活動,特別當中有一些要在宗教節期裡面有服事責任的祭司。
[00:05:48.000 --> 00:06:09.000]  我們看這段經文可以看到,祭司也在這裡。不過,這群人,如果我們再看,他們又好像挺謙虛的,因為十八章三十節,他們跟比拉多說,"這人若不是作惡的,我們就不把他交給你。"
[00:06:09.000 --> 00:06:22.000]  因為當比拉多一出來問猶太人,你們為什麼來?他們說,這個人犯了一些法,所以我們把他帶到你面前。比拉多就說,這些是你們宗教上的問題,你們自己回去談吧,不要來這裡犯惡。
[00:06:22.000 --> 00:06:42.000]  但是這群猶太人的意思是說,不是的,巡撫大人,你日理萬機,我們知道你很忙。他說,如果是小事,我們一定不會來麻煩你的。不過,因為福音沒有說,路加方二十三章第二節,讓我們看到這群猶太人告耶穌什麼。
[00:06:42.000 --> 00:06:52.000]  路加方二十三章第二節說,"耶穌誘惑國民,禁止納粹給該殺,並說自己是基督是王。"
